geo,time,nv_mnf_tech_zs_un
afg,1990,13.59084
afg,1991,13.59084
afg,1992,13.59084
afg,1993,13.59084
afg,1994,13.59084
afg,1995,13.59084
afg,1996,13.59084
afg,1997,13.59084
afg,1998,13.59084
afg,1999,13.59084
afg,2000,13.59084
afg,2001,13.59084
afg,2002,13.59084
afg,2003,13.59084
afg,2004,14.27572
afg,2005,2.71766
afg,2006,2.70155
afg,2007,3.06396
afg,2008,9.5593
afg,2009,10.00684
afg,2010,9.48396
afg,2011,9.28515
afg,2012,9.04541
afg,2013,9.38376
afg,2014,9.50743
afg,2015,9.50743
afg,2016,8.46475
afg,2017,6.90133
afg,2018,6.41241
afg,2019,8.46497
ago,1990,4.51858
ago,1991,4.51858
ago,1992,4.51858
ago,1993,4.51858
ago,1994,4.51858
ago,1995,4.51858
ago,1996,4.51858
ago,1997,4.51858
ago,1998,4.51858
ago,1999,4.51858
ago,2000,4.51858
ago,2001,4.51858
ago,2002,4.51858
ago,2003,4.51858
ago,2004,4.51858
ago,2005,4.51858
ago,2006,4.51858
ago,2007,4.51858
ago,2008,4.51858
ago,2009,4.51858
ago,2010,4.51858
ago,2011,4.51858
ago,2012,4.51858
ago,2013,4.51858
ago,2014,4.51858
ago,2015,3.76026
ago,2016,3.3727
ago,2017,3.3727
ago,2018,3.3727
ago,2019,3.3727
alb,1990,7.58115
alb,1991,7.58115
alb,1992,4.64283
alb,1993,4.64283
alb,1994,5.90294
alb,1995,8.07277
alb,1996,1.84379
alb,1997,2.01361
alb,1998,5.11904
alb,1999,7.7033
alb,2000,7.61097
alb,2001,12.30733
alb,2002,7.80105
alb,2003,6.4348
alb,2004,8.79562
alb,2005,16.98425
alb,2006,20.21227
alb,2007,18.95075
alb,2008,14.08801
alb,2009,14.36152
alb,2010,6.55594
alb,2011,10.54919
alb,2012,17.09505
alb,2013,5.63649
alb,2014,6.62827
alb,2015,5.80444
alb,2016,4.46815
alb,2017,4.88104
alb,2018,4.60902
alb,2019,4.60908
are,1990,37.63385
are,1991,37.63385
are,1992,37.63385
are,1993,37.63385
are,1994,37.63385
are,1995,37.63385
are,1996,37.63385
are,1997,37.63385
are,1998,37.63385
are,1999,37.63385
are,2000,37.63385
are,2001,37.63385
are,2002,37.63385
are,2003,37.63385
are,2004,37.63385
are,2005,37.63385
are,2006,37.63385
are,2007,37.63385
are,2008,37.63385
are,2009,37.63385
are,2010,37.63385
are,2011,37.63385
are,2012,37.78255
are,2013,37.87355
are,2014,37.82861
are,2015,35.92971
are,2016,35.91946
