geo,time,en_urb_lcty
afg,1960,285352
afg,1961,300359
afg,1962,316177
afg,1963,332829
afg,1964,350382
afg,1965,368809
afg,1966,388232
afg,1967,408087
afg,1968,428363
afg,1969,449585
afg,1970,471891
afg,1971,495303
afg,1972,528508
afg,1973,573161
afg,1974,621656
afg,1975,674254
afg,1976,731385
afg,1977,793178
afg,1978,860289
afg,1979,932388
afg,1980,977824
afg,1981,1025339
afg,1982,1075233
afg,1983,1127555
afg,1984,1182500
afg,1985,1239961
afg,1986,1300299
afg,1987,1358525
afg,1988,1419444
afg,1989,1482916
afg,1990,1549320
afg,1991,1618697
afg,1992,1691283
afg,1993,1766910
afg,1994,1846031
afg,1995,1928694
afg,1996,2015181
afg,1997,2105292
afg,1998,2199565
afg,1999,2298059
afg,2000,2401109
afg,2001,2508477
afg,2002,2620804
afg,2003,2738161
afg,2004,2834061
afg,2005,2905178
afg,2006,2978181
afg,2007,3053018
afg,2008,3129844
afg,2009,3208383
afg,2010,3289005
afg,2011,3371653
afg,2012,3456496
afg,2013,3543232
afg,2014,3632269
afg,2015,3723543
afg,2016,3817241
afg,2017,3913297
afg,2018,4011770
afg,2019,4114030
afg,2020,4221532
afg,2021,4335770
ago,1960,219427
ago,1961,233134
ago,1962,251373
ago,1963,271039
ago,1964,292274
ago,1965,315108
ago,1966,339760
ago,1967,366341
ago,1968,395043
ago,1969,425905
ago,1970,459225
ago,1971,488590
ago,1972,514050
ago,1973,540761
ago,1974,568901
ago,1975,598504
ago,1976,629692
ago,1977,662412
ago,1978,696882
ago,1979,733145
ago,1980,771349
ago,1981,811430
ago,1982,853654
ago,1983,898124
ago,1984,964072
ago,1985,1034661
ago,1986,1110527
ago,1987,1191955
ago,1988,1279479
ago,1989,1373162
ago,1990,1473848
ago,1991,1581917
ago,1992,1698075
ago,1993,1822407
ago,1994,1940528
ago,1995,2066306
ago,1996,2200426
ago,1997,2342847
ago,1998,2494701
ago,1999,2656398
ago,2000,2828820
ago,2001,3011913
ago,2002,3207133
ago,2003,3415007
ago,2004,3636670
ago,2005,3872050
ago,2006,4123021
ago,2007,4390259
ago,2008,4675223
ago,2009,4977823
ago,2010,5300466
ago,2011,5644022
ago,2012,6010365
ago,2013,6399381
ago,2014,6789357
ago,2015,7023206
ago,2016,7265449
ago,2017,7515345
ago,2018,7774200
ago,2019,8044735
ago,2020,8329798
ago,2021,8631876
alb,1960,134761
alb,1961,137714
alb,1962,139561
alb,1963,141434
alb,1964,143334
alb,1965,145255
alb,1966,147203
alb,1967,149178
alb,1968,151183
alb,1969,153497
alb,1970,156734
alb,1971,160040
alb,1972,163420
alb,1973,166862
alb,1974,170381
alb,1975,173975
alb,1976,177649
alb,1977,181391
alb,1978,185217
alb,1979,189123
alb,1980,193644
alb,1981,198261
alb,1982,202994
alb,1983,207840
alb,1984,212809
alb,1985,217882
alb,1986,223084
alb,1987,228410
alb,1988,233870
alb,1989,239852
alb,1990,247270
alb,1991,254918
alb,1992,262814
alb,1993,270931
alb,1994,279311
alb,1995,287950
alb,1996,296869
alb,1997,306038
alb,1998,315503
alb,1999,325262
alb,2000,335336
alb,2001,344700
alb,2002,351285
alb,2003,357995
alb,2004,364843
alb,2005,371803
alb,2006,378905
alb,2007,386143
alb,2008,393529
alb,2009,401036
alb,2010,408697
alb,2011,416504
alb,2012,424471
alb,2013,432590
alb,2014,440865
