global,time,sl_tlf_acti_1524_ma_zs
world,1990,66.08109
world,1991,65.58395
world,1992,65.14582
world,1993,64.43386
world,1994,63.96735
world,1995,63.30666
world,1996,62.52318
world,1997,61.83485
world,1998,61.21431
world,1999,60.9722
world,2000,60.37391
world,2001,59.97034
world,2002,59.55699
world,2003,59.11882
world,2004,58.97007
world,2005,58.54084
world,2006,57.80489
world,2007,57.02934
world,2008,56.27504
world,2009,55.20741
world,2010,54.19476
world,2011,53.48788
world,2012,52.74621
world,2013,52.02235
world,2014,51.25747
world,2015,50.59097
world,2016,50.04644
world,2017,49.56114
world,2018,49.15123
world,2019,48.94543
world,2020,45.95944
