global,time,se_pre_enrr
world,1970,15.85099
world,1971,15.59294
world,1972,15.37736
world,1973,15.41308
world,1974,15.62688
world,1975,16.21441
world,1976,17.94429
world,1977,20.95856
world,1978,19.77476
world,1979,20.00356
world,1980,21.01931
world,1981,22.43134
world,1982,22.84162
world,1983,23.80685
world,1984,24.76257
world,1985,25.82737
world,1986,27.17306
world,1987,28.38935
world,1988,28.99241
world,1989,28.77658
world,1990,28.68732
world,1991,28.69686
world,1992,28.9123
world,1993,29.02365
world,1994,28.90973
world,1995,29.40596
world,1996,29.96518
world,1997,28.30021
world,1998,31.41189
world,1999,32.11379
world,2000,32.93582
world,2001,33.619
world,2002,33.54076
world,2003,34.40875
world,2004,35.68611
world,2005,37.53684
world,2006,39.55486
world,2007,40.97426
world,2008,42.60295
world,2009,44.19175
world,2010,46.24068
world,2011,49.01616
world,2012,52.13041
world,2013,54.05941
world,2014,54.14334
world,2015,56.10601
world,2016,57.75468
world,2017,59.38232
world,2018,60.17546
world,2019,60.8448
world,2020,60.98555
