geo,time,sm_pop_netm
abw,1962,-4323
abw,1967,-4275
abw,1972,-3537
abw,1977,-5470
abw,1982,-1921
abw,1987,-5194
abw,1992,14218
abw,1997,6926
abw,2002,6263
abw,2007,-441
abw,2012,1253
abw,2017,1004
afg,1962,-20000
afg,1967,-20000
afg,1972,-20000
afg,1977,-1153959
afg,1982,-3345095
afg,1987,-1525351
afg,1992,3076383
afg,1997,-867540
afg,2002,744193
afg,2007,-1046361
afg,2012,521769
afg,2017,-314602
ago,1962,-296717
ago,1967,-587286
ago,1972,199800
ago,1977,199800
ago,1982,234148
ago,1987,188491
ago,1992,142812
ago,1997,199800
ago,2002,261100
ago,2007,357301
ago,2012,166267
ago,2017,32066
alb,1962,-99
alb,1967,-99
alb,1972,-99
alb,1977,-99
alb,1982,-99
alb,1987,-99
alb,1992,-443212
alb,1997,-179606
alb,2002,-176774
alb,2007,-217358
alb,2012,-136590
alb,2017,-69998
are,1962,37882
are,1967,53823
are,1972,260488
are,1977,372430
are,1982,184159
are,1987,256638
are,1992,368126
are,1997,498394
are,2002,1189616
are,2007,3592436
are,2012,270000
are,2017,200000
arg,1962,122000
arg,1967,130000
arg,1972,142000
arg,1977,-230000
arg,1982,140000
arg,1987,160000
arg,1992,-105000
arg,1997,-128000
arg,2002,-125000
arg,2007,-120000
arg,2012,30000
arg,2017,24000
arm,1962,70335
arm,1967,103399
arm,1972,86404
arm,1977,17214
arm,1982,-51230
arm,1987,-67528
arm,1992,-496288
arm,1997,-223873
arm,2002,-160521
arm,2007,-183361
arm,2012,-30535
arm,2017,-24989
atg,1962,-1880
atg,1967,-1202
atg,1972,-7018
atg,1977,-4428
atg,1982,-3763
atg,1987,-2890
atg,1992,2231
atg,1997,2469
atg,2002,252
atg,2007,1887
atg,2012,943
atg,2017,0
aus,1962,384343
aus,1967,806193
aus,1972,259531
aus,1977,235744
aus,1982,453572
aus,1987,654209
aus,1992,351078
aus,1997,388419
aus,2002,589282
aus,2007,1210802
aus,2012,989375
aus,2017,791229
aut,1962,15996
aut,1967,50401
aut,1972,82001
aut,1977,5502
aut,1982,18002
aut,1987,110999
aut,1992,227841
aut,1997,65082
aut,2002,178117
aut,2007,153763
aut,2012,267172
aut,2017,324998
aze,1962,0
aze,1967,-40000
aze,1972,-50466
aze,1977,-50466
aze,1982,-101568
aze,1987,-161568
aze,1992,-115116
aze,1997,-111849
aze,2002,36523
aze,2007,53579
aze,2012,8499
aze,2017,6002
bdi,1962,-84989
bdi,1967,-57900
bdi,1972,-266496
bdi,1977,-150290
bdi,1982,-139146
bdi,1987,-180004
bdi,1992,-320001
bdi,1997,-455304
bdi,2002,-24721
bdi,2007,30004
bdi,2012,-70001
bdi,2017,10003
bel,1962,38304
bel,1967,47288
bel,1972,70980
bel,1977,73523
bel,1982,18478
bel,1987,42556
bel,1992,106947
bel,1997,50870
bel,2002,219560
bel,2007,294270
bel,2012,258672
bel,2017,240000
ben,1962,-24295
ben,1967,-23742
ben,1972,-24845
ben,1977,-19393
ben,1982,-10848
ben,1987,-8723
ben,1992,68259
ben,1997,-2851
ben,2002,25005
ben,2007,-48776
ben,2012,-42268
ben,2017,-10000
bfa,1962,-144723
bfa,1967,-144723
bfa,1972,-170263
bfa,1977,-217400
bfa,1982,-217400
bfa,1987,-183699
bfa,1992,-150001
bfa,1997,-137499
bfa,2002,-125000
bfa,2007,-125000
bfa,2012,-125000
bfa,2017,-125000
bgd,1962,-142378
bgd,1967,-161822
bgd,1972,-3045287
bgd,1977,-1137344
bgd,1982,-793826
