global,time,dt_nfl_unfp_cd
world,1977,66620002.74658
world,1979,148960006.71387
world,1980,151139999.38965
world,1981,129690002.44141
world,1982,113629997.25342
world,1983,122500000
world,1984,119230003.35693
world,1985,127639999.38965
world,1986,100889999.38965
world,1987,106409996.03271
world,1988,128419998.16894
world,1989,156479995.72754
world,1990,179690002.44141
world,1991,171940002.44141
world,1992,127330001.83106
world,1993,134520004.27246
world,1994,201679992.67578
world,1995,229220001.2207
world,1996,214800003.05176
world,1997,217250000
world,1998,215509994.50684
world,1999,186809997.55859
world,2000,133750000
world,2001,312910003.66211
world,2002,311420013.42773
world,2003,271779998.7793
world,2004,195289993.28613
world,2005,199250000
world,2006,210100006.10352
world,2007,213949996.94824
world,2008,270959991.45508
world,2009,344230010.98633
world,2010,311410003.66211
world,2011,311579986.57227
world,2012,329311828.61328
world,2013,351743194.58008
world,2014,337643432.61719
world,2015,311861938.47656
world,2016,257235168.45703
world,2017,214554763.79395
world,2018,210850006.10352
world,2019,400831817.62695
