global,time,nv_agr_totl_kd_zg
world,1969,2.6329
world,1970,5.22924
world,1971,2.04435
world,1972,0.2151
world,1973,5.1997
world,1974,3.00518
world,1975,3.41366
world,1976,1.22156
world,1977,2.55507
world,1978,1.67035
world,1979,1.2309
world,1980,2.22783
world,1981,4.36912
world,1982,5.31615
world,1983,3.82985
world,1984,5.86536
world,1985,2.68382
world,1986,2.317
world,1987,2.36438
world,1988,5.04509
world,1989,2.66952
world,1990,4.17184
world,1991,0.88829
world,1992,3.15743
world,1993,0.60146
world,1994,1.51174
world,1995,1.77591
world,1996,5.19501
world,1997,1.36955
world,1998,2.23222
world,1999,3.70062
world,2000,3.10312
world,2001,1.85831
world,2002,1.80058
world,2003,2.78562
world,2004,4.33955
world,2005,3.85518
world,2006,2.79344
world,2007,1.37289
world,2008,3.37879
world,2009,2.51796
world,2010,2.87814
world,2011,3.76566
world,2012,1.35341
world,2013,4.6654
world,2014,2.89156
world,2015,2.57418
world,2016,2.25406
world,2017,3.65344
world,2018,2.41472
world,2019,3.04327
world,2020,2.0488
