geo,time,per_sa_allsa_adq_pop_tot
afg,2007,27.62096
ago,2018,4.06619
alb,2008,5.86384
alb,2012,6.01725
arg,2006,12.67109
arg,2010,10.96218
arg,2011,11.33435
arg,2012,10.47017
arg,2013,11.31358
arg,2014,15.3433
arg,2016,13.03507
arg,2017,9.6271
arg,2018,10.57188
arg,2019,12.61303
arm,2008,15.15156
arm,2009,16.96725
arm,2010,18.38447
arm,2011,15.53443
arm,2012,18.20594
arm,2013,17.06769
arm,2014,16.98853
arm,2015,15.89235
arm,2016,15.57544
arm,2017,17.35873
arm,2018,18.29854
aze,2015,6.08188
bfa,2003,50.20563
bfa,2014,5.50184
bfa,2018,5.01635
bgd,2005,19.71067
bgd,2010,3.99774
bgd,2016,4.70101
bgr,2007,13.02211
bih,2007,17.14553
bih,2015,13.80217
blr,2008,6.82576
blr,2009,7.47889
blr,2010,7.16078
blr,2012,8.14675
blr,2013,11.09487
blr,2014,12.75644
blr,2015,12.82195
blr,2016,42.15554
blr,2017,13.80611
blr,2018,13.5391
blr,2019,13.99784
blz,2009,8.61616
bol,2006,7.73246
bol,2007,7.50842
bol,2008,10.86815
bol,2009,10.59543
bol,2011,7.99992
bol,2012,7.75809
bol,2014,7.62378
bol,2015,7.24707
bol,2016,6.93267
bol,2017,8.99511
bra,2009,9.42545
bra,2011,8.30442
bra,2012,9.09803
bra,2015,17.26838
bra,2016,19.08354
bra,2017,19.96999
bra,2018,20.4183
bra,2019,21.05441
btn,2007,2.10345
bwa,2009,9.53291
bwa,2015,21.14709
chl,2006,4.40445
chl,2009,7.19604
chl,2011,7.34198
chl,2013,7.65582
chl,2015,5.37865
chl,2017,8.53974
chn,2013,2.33767
civ,2008,4.54823
civ,2015,14.74204
cmr,2007,18.4085
cmr,2014,2.61399
cod,2012,37.45359
cog,2005,39.78516
col,2010,5.96233
col,2011,5.08934
col,2012,5.16551
col,2014,5.09546
col,2015,7.6753
col,2016,6.99962
col,2017,7.03461
col,2018,6.93075
col,2019,6.84314
cpv,2007,7.05143
cri,2008,21.90328
cri,2010,11.95016
cri,2011,11.71817
cri,2012,12.40574
cri,2014,14.03932
cri,2015,14.00538
cri,2016,14.84692
cri,2017,16.22968
cri,2018,16.00859
cri,2019,14.29528
dji,2012,11.90926
dma,2002,21.01073
dom,2007,5.28536
dom,2008,4.93927
dom,2009,4.96002
dom,2010,4.81174
dom,2011,4.49238
dom,2012,5.24712
dom,2013,5.70444
dom,2014,5.25434
dom,2015,5.17441
dom,2016,5.06381
dom,2017,4.58166
dom,2018,4.33931
dom,2019,4.1298
ecu,2008,10.50483
ecu,2010,11.42508
ecu,2011,11.6862
ecu,2012,10.41707
ecu,2014,10.75277
ecu,2015,10.98162
