geo,time,se_xpd_tert_zs
abw,1998,10.10195
abw,1999,11.63897
abw,2000,10.58496
abw,2001,12.16233
abw,2002,11.84006
abw,2004,10.97108
abw,2005,11.48529
abw,2012,20.72298
abw,2013,21.67269
abw,2014,20.02153
abw,2015,25.09833
abw,2016,18.39152
afg,1971,24.05744
afg,1972,20.85179
afg,1973,20.45141
afg,1975,17.08569
afg,1979,24.07936
afg,1980,19.56901
afg,1981,20.82823
afg,1982,24.16379
afg,1983,21.97058
afg,2010,9.03217
afg,2011,8.98621
afg,2012,12.74171
afg,2013,11.75683
afg,2014,12.41128
afg,2015,15.95379
ago,1985,5.582
ago,1986,5.83863
ago,1987,6.95546
ago,2005,8.2836
ago,2006,8.70122
alb,1994,10.74165
alb,2013,21.92905
alb,2015,21.15599
alb,2016,19.09854
alb,2017,18.85009
and,2002,6.88234
and,2004,4.96431
and,2005,3.88254
and,2006,6.6278
and,2007,4.53195
and,2009,3.59818
and,2010,3.86129
and,2011,3.84056
and,2013,4.58887
and,2014,6.07554
and,2015,5.47481
and,2016,5.8952
and,2017,5.67515
and,2018,5.64106
arg,1970,24
arg,1972,19.33086
arg,1973,23.87173
arg,1974,19.13876
arg,1975,30.72407
arg,1976,27.49602
arg,1977,20.04424
arg,1978,21.70391
arg,1979,22.8224
arg,1980,21.78625
arg,1982,15.92735
arg,1983,18.63354
arg,1984,18.44237
arg,1985,34.95818
arg,1986,33.23076
arg,1987,48.66027
arg,1989,47.7402
arg,1990,47.34859
arg,1996,20.89081
arg,1998,21.15821
arg,1999,17.14144
arg,2000,18.13501
arg,2001,17.13208
arg,2002,17.49278
arg,2003,16.18717
arg,2004,17.20481
arg,2005,16.24196
arg,2006,17.75414
arg,2007,17.7498
arg,2008,17.66036
arg,2009,18.85052
arg,2010,19.85806
arg,2011,19.43274
arg,2012,19.94066
arg,2013,20.23468
arg,2014,20.40408
arg,2015,20.5357
arg,2016,20.36758
arg,2017,22.08034
arm,1996,14.94845
arm,2008,11.29243
arm,2009,9.3612
arm,2010,11.65396
arm,2011,11.2919
arm,2012,9.49214
arm,2013,10.31781
