geo,time,se_prm_gint_fe_zs
bel,2013,99.94111
bel,2014,98.5628
bel,2015,99.08476
bel,2016,98.47758
bel,2017,98.36288
ben,1971,28.32092
ben,1972,31.6714
ben,1973,37.32076
ben,1974,31.46964
ben,1975,40.28229
ben,1976,36.83247
ben,1977,40.21984
ben,1978,40.1985
ben,1979,53.25724
ben,1980,43.19315
ben,1981,48.51216
ben,1982,48.43281
ben,1983,45.40784
ben,1984,45.12495
ben,1985,46.7776
ben,1986,45.08559
ben,1987,49.81484
ben,1988,48.65395
ben,1989,47.99656
ben,1990,50.40738
ben,1991,51.68482
ben,1992,50.60023
ben,1993,55.17815
ben,1994,57.32138
ben,1995,60.28569
ben,1996,63.25235
ben,1997,64.10959
ben,1998,74.98095
ben,2000,86.81011
ben,2001,88.51617
ben,2002,91.41592
ben,2003,92.38007
ben,2004,97.91551
ben,2005,100.37305
ben,2006,113.27211
ben,2008,151.00665
ben,2010,142.03888
ben,2011,140.14543
ben,2012,150.55762
ben,2013,149.74043
ben,2014,152.596
ben,2015,157.95207
ben,2016,155.48541
ben,2017,146.31718
ben,2018,143.51042
bfa,1971,10.50442
bfa,1972,11.99585
bfa,1973,12.17068
bfa,1974,12.41763
bfa,1975,12.03012
bfa,1976,12.13626
bfa,1977,11.98724
bfa,1978,13.32378
bfa,1979,13.68365
bfa,1980,15.09575
bfa,1981,16.30811
bfa,1982,17.40851
bfa,1983,18.9834
bfa,1984,19.72477
bfa,1985,23.82773
bfa,1987,24.34522
bfa,1988,22.06728
bfa,1989,25.65352
bfa,1990,25.99213
bfa,1991,26.62296
bfa,1992,25.02674
bfa,1993,28.35191
bfa,1994,27.77163
bfa,1995,35.5278
bfa,1996,35.87926
bfa,1999,38.51352
bfa,2000,39.52245
bfa,2001,41.85015
bfa,2002,43.79278
bfa,2003,49.10153
bfa,2004,66.03634
bfa,2005,68.46562
bfa,2006,69.14674
bfa,2007,77.43007
bfa,2008,86.00839
bfa,2009,81.47572
bfa,2010,87.21232
bfa,2011,87.92227
bfa,2012,89.94089
bfa,2013,92.75426
bfa,2014,96.8213
bfa,2015,102.0643
bfa,2016,103.40907
bfa,2017,106.10846
bfa,2018,108.13255
bgd,1976,84.09535
bgd,1981,97.25626
bgd,2005,124.86697
bgd,2006,125.75152
bgd,2007,107.27446
bgd,2008,108.93593
bgd,2009,114.14046
bgd,2010,117.22117
bgd,2011,130.03518
bgd,2013,126.46843
bgd,2015,116.85365
bgd,2016,106.04715
bgd,2017,105.79181
bgd,2018,109.285
bgr,1986,105.2868
bgr,1987,107.12417
bgr,1988,96.79044
bgr,1989,93.497
bgr,1990,89.77658
bgr,1991,93.31917
bgr,1992,91.12071
bgr,1993,95.65516
bgr,1994,100.0207
bgr,1995,101.7718
bgr,1996,105.57277
bgr,1997,105.53016
bgr,1998,108.36782
bgr,1999,98.60697
bgr,2000,100.22643
bgr,2001,103.17971
bgr,2002,103.35228
bgr,2003,105.40104
bgr,2004,104.97617
bgr,2005,97.27837
bgr,2006,105.53386
bgr,2007,118.13941
bgr,2008,115.81082
bgr,2009,104.90311
bgr,2010,101.749
bgr,2011,100.553
bgr,2012,98.72813
bgr,2013,95.96103
bgr,2014,94.80501
bgr,2015,91.44641
bgr,2016,89.8141
bgr,2017,91.35652
bhr,1982,90.2704
bhr,1983,95.7667
bhr,1984,108.1019
bhr,1985,110.66697
bhr,1986,107.99383
bhr,1987,102.84622
bhr,1988,101.28993
bhr,1989,99.80233
bhr,1991,105.83287
bhr,1992,82.98605
bhr,1993,103.91289
bhr,1994,103.76635
bhr,1995,104.91405
bhr,1996,104.4226
bhr,1998,103.13969
bhr,1999,105.37097
bhr,2000,99.61603
bhr,2001,94.92585
bhr,2002,89.96411
bhr,2003,91.74922
bhr,2004,90.14143
bhr,2005,90.00672
bhr,2006,96.26337
bhr,2008,87.30398
bhr,2009,90.07312
