geo,time,ic_frm_brib_zs
uga,2013,22
ukr,2008,38.5
ukr,2013,49.3
ukr,2019,37.4
ury,2006,2.2
ury,2010,2.2
ury,2017,2.4
uzb,2008,55.5
uzb,2013,6
uzb,2019,5.9
vct,2010,4.9
ven,2006,3.8
ven,2010,10.3
vnm,2009,38.3
vnm,2015,26.1
vut,2009,11.9
wsm,2009,30.5
yem,2010,68.9
yem,2013,64.3
zaf,2007,4.2
zaf,2020,1.5
zmb,2007,7.1
zmb,2013,14.7
zmb,2019,9.6
zwe,2011,16.2
zwe,2016,17.5
