geo,time,is_air_psgr
aus,1986,15497300
aus,1987,16880200
aus,1988,18816300
aus,1989,15114300
aus,1990,17553400
aus,1991,21860100
aus,1992,23886600
aus,1993,26929300
aus,1994,26888500
aus,1995,28831400
aus,1996,30075100
aus,1997,30953500
aus,1998,30185700
aus,1999,31579700
aus,2000,32577569
aus,2001,33477398
aus,2002,39021581
aus,2003,41386432
aus,2004,41596552
aus,2005,44657324
aus,2006,46951775
aus,2007,48728837
aus,2008,51488427
aus,2009,50026967
aus,2010,60640913
aus,2011,63360310.33777
aus,2012,66355274
aus,2013,68197955
aus,2014,68123237.66932
aus,2015,69779346
aus,2016,72446421
aus,2017,74257326
aus,2018,75667645.03475
aus,2019,76850596.719
aus,2020,23627140.505
aut,1970,511400
aut,1971,582100
aut,1972,706600
aut,1973,830900
aut,1974,840800
aut,1975,912100
aut,1976,1060800
aut,1977,1136600
aut,1978,1238900
aut,1979,1301600
aut,1980,1284500
aut,1981,1358100
aut,1982,1447600
aut,1983,1498400
aut,1984,1514000
aut,1985,1708000
aut,1986,1640400
aut,1987,1879700
aut,1988,1964600
aut,1989,2283800
aut,1990,2532100
aut,1991,2605700
aut,1992,3024200
aut,1993,3296900
aut,1994,3747900
aut,1995,4265400
aut,1996,4718600
aut,1997,5153900
aut,1998,5871500
aut,1999,6056600
aut,2000,6641875
aut,2001,6550376
aut,2002,7070344
aut,2003,6902780
aut,2004,7619372
aut,2005,8037890
aut,2006,8785116
aut,2007,9140909
aut,2008,9140680
aut,2009,8520740
aut,2010,13493793
aut,2011,14088251.66406
aut,2012,14518841.05297
aut,2013,15037454
aut,2014,15210489
aut,2015,14718641
aut,2016,14724774
aut,2017,16171640
aut,2018,12935505
aut,2019,46476602
aut,2020,13285414
aze,1992,1454900
aze,1993,1383400
aze,1994,1380000
aze,1995,1156000
aze,1996,1232900
aze,1997,981800
aze,1998,669400
aze,1999,571700
aze,2000,545800
aze,2001,543800
aze,2002,575300
aze,2003,683700
aze,2004,1007000
aze,2005,1134300
aze,2006,1253400
aze,2007,1440700
aze,2008,756338
aze,2009,839514
aze,2010,796698
aze,2011,1348414
aze,2012,1560084
aze,2013,1651710
aze,2014,1770192
aze,2015,1803112
aze,2016,1961639
aze,2017,2331308
aze,2018,2279546
aze,2019,2585280
aze,2020,545265
bdi,1976,4000
bdi,1977,4500
bdi,1978,5000
bdi,1979,5500
bdi,1980,11000
bdi,1981,5000
bdi,1982,5500
bdi,1983,6000
bdi,1984,8800
bdi,1985,8600
bdi,1986,5500
bdi,1987,21000
bdi,1988,11200
bdi,1989,7800
bdi,1990,8300
bdi,1991,8300
bdi,1992,8900
bdi,1993,8900
bdi,1994,8900
bdi,1995,9400
bdi,1996,9400
bdi,1997,12000
bdi,1998,12000
bel,1970,1366200
bel,1971,1402000
bel,1972,1457700
bel,1973,1562900
bel,1974,1606700
bel,1975,1585200
bel,1976,1682000
bel,1977,1839400
bel,1978,1976500
bel,1979,2042900
bel,1980,1974200
bel,1981,2053000
bel,1982,2000800
bel,1983,1956600
bel,1984,2031600
bel,1985,2188400
bel,1986,2233200
bel,1987,2362100
bel,1988,2604600
bel,1989,2812100
bel,1990,3132700
bel,1991,3018200
bel,1992,3146300
bel,1993,3650600
bel,1994,4192900
bel,1995,5000900
bel,1996,5173600
bel,1997,6872100
bel,1998,8748400
bel,1999,9965200
bel,2000,10738119
bel,2001,8489007
bel,2002,2341816
bel,2003,2904114
bel,2004,3264582
bel,2005,3340509
bel,2006,3641155
bel,2007,4078094
bel,2008,5878585
bel,2009,4858700
bel,2010,7528586.30425
bel,2011,8638553.1
bel,2012,9508165.31495
bel,2013,9521421
bel,2014,10535219
bel,2015,11473055
bel,2016,12545322
bel,2017,13676844
bel,2018,13639487
bel,2019,14279187
bel,2020,3520849.848
ben,1970,29500
ben,1971,31000
ben,1972,25900
ben,1973,28100
ben,1974,31500
ben,1975,35000
ben,1976,40400
ben,1977,45400
ben,1978,52200
ben,1979,57300
ben,1980,61100
ben,1981,74800
ben,1982,78300
ben,1983,79500
ben,1984,80400
ben,1985,86000
ben,1986,108400
ben,1987,104100
ben,1988,103700
ben,1989,74000
ben,1990,76300
ben,1991,66300
ben,1992,66300
ben,1993,68200
ben,1994,69200
ben,1995,74100
ben,1996,75100
ben,1997,85500
ben,1998,90500
ben,1999,83900
ben,2000,77273
ben,2001,46364
ben,2010,53012.81818
ben,2011,58314.1
ben,2012,58314.1
ben,2013,137640
ben,2014,60264
ben,2015,112392
ben,2016,899
bfa,1970,30100
bfa,1971,31600
bfa,1972,26500
bfa,1973,28700
bfa,1974,32500
bfa,1975,36200
bfa,1976,41900
bfa,1977,47200
bfa,1978,54700
bfa,1979,59800
bfa,1980,72800
bfa,1981,75800
bfa,1982,78200
bfa,1983,93200
bfa,1984,93400
bfa,1985,100200
bfa,1986,158400
bfa,1987,126600
bfa,1988,126200
bfa,1989,131500
bfa,1990,136600
bfa,1991,126600
bfa,1992,126600
bfa,1993,128500
bfa,1994,129500
bfa,1995,137500
bfa,1996,138400
bfa,1997,96600
bfa,1998,101600
bfa,1999,147200
bfa,2000,143529
bfa,2001,100286
bfa,2002,53236
bfa,2003,54475
bfa,2004,61364
bfa,2005,66273
bfa,2006,73131
bfa,2007,77810
bfa,2008,80543
bfa,2009,79345
bfa,2010,160000
bfa,2011,133709.77917
bfa,2012,125693.69644
bfa,2013,138996
bfa,2014,117420
bfa,2015,122590
bfa,2016,144950
bfa,2017,145049
bfa,2018,189545.33688
bfa,2019,185841
bfa,2020,70228
bgd,1973,490000
bgd,1974,431400
bgd,1975,490500
bgd,1976,453300
bgd,1977,470300
bgd,1978,544200
bgd,1979,624200
bgd,1980,613700
bgd,1981,591400
bgd,1982,621500
bgd,1983,623000
bgd,1984,741800
bgd,1985,845300
bgd,1986,852400
bgd,1987,861000
bgd,1988,1004900
bgd,1989,997400
bgd,1990,1044100
bgd,1991,1020800
bgd,1992,1051500
bgd,1993,1083100
bgd,1994,1215900
bgd,1995,1261400
bgd,1996,1252000
bgd,1997,1314700
bgd,1998,1152500
bgd,1999,1215400
bgd,2000,1331369
bgd,2001,1449980
bgd,2002,1536102
bgd,2003,1587606
bgd,2004,1650276
bgd,2005,1634473
bgd,2006,1729451
bgd,2007,1242865
bgd,2008,1224222
bgd,2009,1409414
bgd,2010,1818901.01883
bgd,2011,2022388.57222
bgd,2012,2195061.6803
bgd,2013,2781708
bgd,2014,3051914.73321
bgd,2015,3997815
bgd,2016,3815869
bgd,2017,4660739.03831
bgd,2018,5677396
bgd,2019,6260241
bgd,2020,2984121.694
bgr,1970,988900
bgr,1971,985200
bgr,1972,1025000
bgr,1973,1085000
bgr,1974,1130000
bgr,1975,1150000
bgr,1976,1370000
bgr,1977,1400000
bgr,1978,1500000
bgr,1979,1755000
bgr,1980,1787500
bgr,1981,1787000
bgr,1982,1675000
bgr,1983,1790000
bgr,1984,1950000
bgr,1985,2090000
bgr,1986,1965300
bgr,1987,2095000
bgr,1988,2163600
bgr,1989,1997700
bgr,1990,1907000
bgr,1991,645700
bgr,1992,814000
bgr,1993,915800
bgr,1994,789200
bgr,1995,862700
bgr,1996,718200
bgr,1997,721700
bgr,1998,827700
bgr,1999,734700
bgr,2000,535246
bgr,2001,233963
bgr,2002,62798
bgr,2003,310952
