geo,time,ag_lnd_arbl_zs
abw,1961,11.11111
abw,1962,11.11111
abw,1963,11.11111
abw,1964,11.11111
abw,1965,11.11111
abw,1966,11.11111
abw,1967,11.11111
abw,1968,11.11111
abw,1969,11.11111
abw,1970,11.11111
abw,1971,11.11111
abw,1972,11.11111
abw,1973,11.11111
abw,1974,11.11111
abw,1975,11.11111
abw,1976,11.11111
abw,1977,11.11111
abw,1978,11.11111
abw,1979,11.11111
abw,1980,11.11111
abw,1981,11.11111
abw,1982,11.11111
abw,1983,11.11111
abw,1984,11.11111
abw,1985,11.11111
abw,1986,11.11111
abw,1987,11.11111
abw,1988,11.11111
abw,1989,11.11111
abw,1990,11.11111
abw,1991,11.11111
abw,1992,11.11111
abw,1993,11.11111
abw,1994,11.11111
abw,1995,11.11111
abw,1996,11.11111
abw,1997,11.11111
abw,1998,11.11111
abw,1999,11.11111
abw,2000,11.11111
abw,2001,11.11111
abw,2002,11.11111
abw,2003,11.11111
abw,2004,11.11111
abw,2005,11.11111
abw,2006,11.11111
abw,2007,11.11111
abw,2008,11.11111
abw,2009,11.11111
abw,2010,11.11111
abw,2011,11.11111
abw,2012,11.11111
abw,2013,11.11111
abw,2014,11.11111
abw,2015,11.11111
abw,2016,11.11111
abw,2017,11.11111
abw,2018,11.11111
afg,1961,11.71767
afg,1962,11.79426
afg,1963,11.87085
afg,1964,11.94743
afg,1965,11.94743
afg,1966,12.00104
afg,1967,12.01483
afg,1968,12.01483
afg,1969,12.03933
afg,1970,12.05465
afg,1971,12.1006
afg,1972,12.11592
afg,1973,12.11592
afg,1974,12.11592
afg,1975,12.11592
afg,1976,12.11592
afg,1977,12.11592
afg,1978,12.11592
afg,1979,12.11592
afg,1980,12.11592
afg,1981,12.11592
afg,1982,12.11592
afg,1983,12.11592
afg,1984,12.11592
afg,1985,12.11592
afg,1986,12.11592
afg,1987,12.11592
afg,1988,12.11592
afg,1989,12.11592
afg,1990,12.11592
afg,1991,12.11592
afg,1992,12.11592
afg,1993,11.98419
afg,1994,11.79885
afg,1995,11.72227
afg,1996,11.71308
afg,1997,11.77128
afg,1998,11.88157
afg,1999,11.72227
afg,2000,11.76822
afg,2001,11.76822
afg,2002,11.76056
afg,2003,11.90454
afg,2004,11.97194
afg,2005,11.95509
afg,2006,11.93824
afg,2007,11.93824
afg,2008,11.93824
