global,time,ny_gdp_mktp_cd
world,1960,1390297773982.94995
world,1961,1446418444335.73999
world,1962,1548223014126.96997
world,1963,1669094093589.46997
world,1964,1827513817035.52002
world,1965,1990866749111.92969
world,1966,2160633278615.57007
world,1967,2298979948006.62012
world,1968,2481354510516.72021
world,1969,2736896297380.91992
world,1970,2992438432818.81006
world,1971,3305488181723.12939
world,1972,3811564536740.60938
world,1973,4650050380519.26953
world,1974,5359410722750.84961
world,1975,5970098794053.76953
world,1976,6490818872059.41992
world,1977,7341425175460.21094
world,1978,8646230866561.90039
world,1979,10042590469890.19922
world,1980,11321396246860.5
world,1981,11712447147704.30078
world,1982,11595933309689.09961
world,1983,11823742466334.90039
world,1984,12255569438482.09961
world,1985,12889898391561.5
world,1986,15241194224711.59961
world,1987,17347632790771.59961
world,1988,19373475763787.89453
world,1989,20171334961132.80078
world,1990,22739516285919
world,1991,23707017314929.80078
world,1992,25393696182655.10156
world,1993,25822450379473.19922
world,1994,27872421364037.89453
world,1995,31043806328491.80078
world,1996,31736284484872.89453
world,1997,31619825562446.69531
world,1998,31539696077319.89453
world,1999,32736603313313
world,2000,33831940878252.89453
world,2001,33614851304324.39844
world,2002,34918207662527.30078
world,2003,39147973173629.29688
world,2004,44114320822433.60156
world,2005,47777852489302.60156
world,2006,51778667523963
world,2007,58337541912663.10156
world,2008,64071495709700.29688
world,2009,60781014428238.89844
world,2010,66500496746881.50781
world,2011,73671458898770.5
world,2012,75311560526567.01562
world,2013,77443227662994
world,2014,79575525744225.70312
world,2015,75117144172406.28125
world,2016,76313195980325.57812
world,2017,81224639219699.20312
world,2018,86274296671018.78125
world,2019,87568054060440.89062
world,2020,84746978784172.78125
