global,time,st_int_rcpt_xp_zs
world,1995,8.5198
world,1996,7.94723
world,1997,7.74691
world,1998,7.6679
world,1999,7.64495
world,2000,7.0325
world,2001,7.01608
world,2002,6.93478
world,2003,6.44033
world,2004,6.32068
world,2005,6.42221
world,2006,5.99473
world,2007,5.93344
world,2008,5.69582
world,2009,6.47542
world,2010,6.02393
world,2011,5.74978
world,2012,5.82126
world,2013,6.11852
world,2014,6.36825
world,2015,6.99215
world,2016,7.18694
world,2017,7.10187
world,2018,7.03106
world,2019,7.3771
