geo,time,sl_srv_empl_zs
afg,1991,24.14
afg,1992,24.14
afg,1993,24.03
afg,1994,24.08
afg,1995,24.19
afg,1996,24.24
afg,1997,24.33
afg,1998,24.46
afg,1999,24.59
afg,2000,24.68
afg,2001,24.72
afg,2002,25.59
afg,2003,25.95
afg,2004,26.12
afg,2005,26.53
afg,2006,26.93
afg,2007,27.66
afg,2008,28.23
afg,2009,29.48
afg,2010,30.77
afg,2011,31.69
afg,2012,32.83
afg,2013,33.85
afg,2014,34.82
afg,2015,35.76
afg,2016,36.87
afg,2017,37.99
afg,2018,38.41
afg,2019,38.96
ago,1991,51.3
ago,1992,51.34
ago,1993,51.13
ago,1994,51.35
ago,1995,51.95
ago,1996,52.56
ago,1997,53
ago,1998,53.34
ago,1999,53.64
ago,2000,53.93
ago,2001,54.12
ago,2002,54.66
ago,2003,54.62
ago,2004,54.74
ago,2005,53.05
ago,2006,51.21
ago,2007,49.47
ago,2008,47.63
ago,2009,45.74
ago,2010,43.27
ago,2011,40.82
ago,2012,40.84
ago,2013,40.96
ago,2014,41.13
ago,2015,41.28
ago,2016,41.46
ago,2017,41.82
ago,2018,42.11
ago,2019,42.47
alb,1991,30.51
alb,1992,30.44
alb,1993,30.75
alb,1994,31.13
alb,1995,31.61
alb,1996,32.34
alb,1997,32.31
alb,1998,33.04
alb,1999,33.8
alb,2000,34.37
alb,2001,35.02
alb,2002,35.38
alb,2003,35.92
alb,2004,36.43
alb,2005,36.85
alb,2006,37.22
alb,2007,37.5
alb,2008,37.57
alb,2009,36.01
alb,2010,37.32
alb,2011,35.75
alb,2012,36.73
alb,2013,38.92
alb,2014,40
alb,2015,40.05
alb,2016,40.58
alb,2017,42.54
alb,2018,42.97
alb,2019,43.43
are,1991,58.2
are,1992,58.28
are,1993,58.29
are,1994,58.38
are,1995,58.37
are,1996,58.37
are,1997,58.31
are,1998,58.44
are,1999,58.66
are,2000,58.72
are,2001,59.3
are,2002,59.91
are,2003,60.05
are,2004,60.18
are,2005,60.27
are,2006,60.02
are,2007,59.88
are,2008,60.01
are,2009,60.46
are,2010,61.14
are,2011,61.8
are,2012,62.27
are,2013,62.75
are,2014,62.95
are,2015,63
are,2016,63.33
are,2017,63.77
are,2018,63.94
are,2019,64.39
arg,1991,66.75
arg,1992,67.24
arg,1993,69.83
arg,1994,70.95
arg,1995,72.29
arg,1996,74.23
arg,1997,73.65
arg,1998,74.34
arg,1999,75.58
arg,2000,76.55
arg,2001,77.15
arg,2002,78.8
arg,2003,76.81
arg,2004,75.81
arg,2005,75.46
arg,2006,75.28
arg,2007,74.95
arg,2008,74.78
arg,2009,75.58
arg,2010,75.39
arg,2011,75.39
arg,2012,75.73
arg,2013,75.44
arg,2014,75.29
arg,2015,76.08
arg,2016,76.99
arg,2017,77.5
arg,2018,77.99
arg,2019,78.1
arm,1991,39.32
arm,1992,39.21
arm,1993,39.28
arm,1994,39.44
arm,1995,39.78
arm,1996,40.13
arm,1997,40.44
arm,1998,40.83
arm,1999,41.21
arm,2000,41.53
arm,2001,42.03
arm,2002,42.48
arm,2003,42.98
arm,2004,43.32
arm,2005,43.6
arm,2006,44.05
arm,2007,44.5
arm,2008,44.01
arm,2009,43.47
arm,2010,43.99
arm,2011,44.39
arm,2012,45.07
arm,2013,46.72
arm,2014,48.45
arm,2015,48.76
arm,2016,50.62
arm,2017,51.95
arm,2018,51.43
arm,2019,51.2
aus,1991,71.14
aus,1992,71.66
aus,1993,71.59
aus,1994,71.93
aus,1995,72.6
aus,1996,73.03
aus,1997,73.24
aus,1998,73.65
aus,1999,73.9
aus,2000,73.53
aus,2001,74.51
aus,2002,74.7
aus,2003,75.2
aus,2004,75.02
aus,2005,75.29
aus,2006,75.31
aus,2007,75.5
aus,2008,75.07
aus,2009,75.63
aus,2010,75.79
aus,2011,76.35
aus,2012,76.49
aus,2013,76.93
aus,2014,76.92
aus,2015,77.97
aus,2016,78.02
aus,2017,77.97
aus,2018,77.5
aus,2019,78.38
aut,1991,58.38
aut,1992,58.95
aut,1993,59.76
aut,1994,60.33
aut,1995,60.56
aut,1996,62.27
aut,1997,63.47
aut,1998,63.95
aut,1999,64.01
aut,2000,63.93
aut,2001,64.83
aut,2002,65.39
aut,2003,65.58
aut,2004,68.37
aut,2005,67.15
