global,time,sl_fam_work_fe_zs
world,1991,29.42467
world,1992,29.11298
world,1993,28.71057
world,1994,28.34684
world,1995,27.97655
world,1996,27.54648
world,1997,27.2816
world,1998,27.07212
world,1999,26.62322
world,2000,26.17537
world,2001,25.75316
world,2002,25.36406
world,2003,25.12847
world,2004,24.50212
world,2005,23.939
world,2006,23.02711
world,2007,22.22587
world,2008,21.50159
world,2009,21.00553
world,2010,20.44343
world,2011,19.80653
world,2012,19.23472
world,2013,18.74027
world,2014,18.31775
world,2015,17.78434
world,2016,17.20547
world,2017,16.57458
world,2018,16.02747
world,2019,15.5376
