geo,time,en_atm_ghgt_kt_ce
afg,1990,15180
afg,1991,15100
afg,1992,13630
afg,1993,13460
afg,1994,13270
afg,1995,13480
afg,1996,14440
afg,1997,15340
afg,1998,16100
afg,1999,16910
afg,2000,15080
afg,2001,13490
afg,2002,16090
afg,2003,16780
afg,2004,16520
afg,2005,17400
afg,2006,21040
afg,2007,24880
afg,2008,31540
afg,2009,36960
afg,2010,44910
afg,2011,58650
afg,2012,66750
afg,2013,74800
afg,2014,84620
afg,2015,93730
afg,2016,95370
afg,2017,97300
afg,2018,98920
ago,1990,42180
ago,1991,42840
ago,1992,43170
ago,1993,43950
ago,1994,44100
ago,1995,48460
ago,1996,46480
ago,1997,46680
ago,1998,49410
ago,1999,48770
ago,2000,49590
ago,2001,51730
ago,2002,55610
ago,2003,65370
ago,2004,67740
ago,2005,67230
ago,2006,68080
ago,2007,74850
ago,2008,76080
ago,2009,79690
ago,2010,84120
ago,2011,86040
ago,2012,84930
ago,2013,88410
ago,2014,88980
ago,2015,90620
ago,2016,91240
ago,2017,87180
ago,2018,79730
alb,1990,11310
alb,1991,8950
alb,1992,6890
alb,1993,6830
alb,1994,7670
alb,1995,7430
alb,1996,7150
alb,1997,6420
alb,1998,6670
alb,1999,7890
alb,2000,8220
alb,2001,8190
alb,2002,8820
alb,2003,9250
alb,2004,9310
alb,2005,9100
alb,2006,9000
alb,2007,9050
alb,2008,8790
alb,2009,8850
alb,2010,9130
alb,2011,9630
alb,2012,9240
alb,2013,9440
alb,2014,9930
alb,2015,9850
alb,2016,9720
alb,2017,10290
alb,2018,10080
and,1990,430
and,1991,430
and,1992,430
and,1993,440
and,1994,440
and,1995,460
and,1996,490
and,1997,510
and,1998,540
and,1999,570
and,2000,590
and,2001,590
and,2002,600
and,2003,610
and,2004,640
and,2005,660
and,2006,640
and,2007,640
and,2008,640
and,2009,620
and,2010,630
and,2011,600
and,2012,600
and,2013,590
and,2014,580
and,2015,580
and,2016,590
and,2017,590
and,2018,590
are,1990,69710
are,1991,76250
are,1992,74820
are,1993,77760
are,1994,84370
are,1995,90780
are,1996,96090
are,1997,103860
are,1998,108390
are,1999,112690
are,2000,113340
are,2001,127370
are,2002,131600
are,2003,139310
are,2004,148020
are,2005,156700
are,2006,162950
are,2007,174270
are,2008,199890
are,2009,202080
are,2010,208580
are,2011,214630
are,2012,226570
are,2013,237630
are,2014,240020
are,2015,252850
are,2016,259650
are,2017,269820
are,2018,263240
arg,1990,243030
arg,1991,248010
arg,1992,252410
arg,1993,254920
arg,1994,260000
arg,1995,260580
arg,1996,272500
arg,1997,274400
arg,1998,278480
arg,1999,283170
arg,2000,284590
arg,2001,277330
arg,2002,274150
arg,2003,295740
arg,2004,310990
arg,2005,315570
arg,2006,330120
arg,2007,343550
arg,2008,347610
arg,2009,328570
arg,2010,334590
arg,2011,344800
arg,2012,348940
arg,2013,358180
arg,2014,356100
arg,2015,362560
arg,2016,366370
arg,2017,367320
arg,2018,365650
arm,1990,24310
arm,1991,24940
arm,1992,14820
arm,1993,8630
arm,1994,6110
arm,1995,6710
arm,1996,5650
arm,1997,6260
arm,1998,6180
arm,1999,5670
arm,2000,6020
arm,2001,6140
arm,2002,5810
arm,2003,6230
arm,2004,6620
arm,2005,7350
arm,2006,7770
arm,2007,8440
arm,2008,8990
arm,2009,7900
arm,2010,7750
arm,2011,8380
arm,2012,9360
arm,2013,9300
arm,2014,9260
arm,2015,9260
arm,2016,9510
arm,2017,9280
arm,2018,9360
atg,1990,360
atg,1991,370
atg,1992,450
atg,1993,430
atg,1994,430
atg,1995,460
atg,1996,490
atg,1997,520
atg,1998,570
atg,1999,590
atg,2000,610
atg,2001,650
atg,2002,710
atg,2003,750
atg,2004,760
atg,2005,790
atg,2006,860
atg,2007,920
atg,2008,970
atg,2009,1930
atg,2010,1040
atg,2011,1070
atg,2012,1290
atg,2013,1060
atg,2014,1070
atg,2015,1100
atg,2016,1130
atg,2017,1160
atg,2018,1210
aus,1990,503820
aus,1991,503740
aus,1992,505910
aus,1993,505590
aus,1994,508670
aus,1995,516760
aus,1996,514520
aus,1997,522740
aus,1998,550570
aus,1999,583610
aus,2000,608210
aus,2001,634100
aus,2002,627080
aus,2003,546710
aus,2004,605380
aus,2005,568380
aus,2006,611700
aus,2007,614990
aus,2008,587260
aus,2009,601070
aus,2010,571220
aus,2011,673130
aus,2012,670930
aus,2013,581890
aus,2014,593500
aus,2015,594580
aus,2016,573390
aus,2017,619790
aus,2018,615380
aut,1990,76260
aut,1991,80460
aut,1992,74670
aut,1993,74590
aut,1994,74690
aut,1995,77160
aut,1996,80880
aut,1997,79870
aut,1998,79850
aut,1999,78030
aut,2000,78240
aut,2001,82550
aut,2002,83860
aut,2003,88940
aut,2004,89750
aut,2005,89790
aut,2006,87470
aut,2007,84390
aut,2008,83950
aut,2009,77000
aut,2010,82720
aut,2011,80790
aut,2012,77570
aut,2013,78120
aut,2014,74350
aut,2015,75480
aut,2016,75660
aut,2017,77830
aut,2018,74980
aze,1990,76760
aze,1991,85780
aze,1992,62020
aze,1993,70160
aze,1994,63630
aze,1995,61580
aze,1996,56940
aze,1997,57030
aze,1998,57850
aze,1999,58180
aze,2000,60260
aze,2001,60620
aze,2002,61530
aze,2003,59240
aze,2004,60530
aze,2005,64520
aze,2006,67560
aze,2007,66220
aze,2008,73800
aze,2009,74710
aze,2010,78990
aze,2011,82310
aze,2012,83480
aze,2013,83030
aze,2014,83210
aze,2015,82030
aze,2016,81890
aze,2017,80520
aze,2018,80260
bdi,1990,2940
bdi,1991,3040
bdi,1992,3080
bdi,1993,3100
bdi,1994,3040
bdi,1995,3140
bdi,1996,3120
bdi,1997,3150
bdi,1998,3160
bdi,1999,3100
bdi,2000,3050
bdi,2001,3000
bdi,2002,2960
bdi,2003,2920
bdi,2004,2950
bdi,2005,2980
bdi,2006,3130
bdi,2007,3200
bdi,2008,3330
bdi,2009,3490
bdi,2010,3810
bdi,2011,4010
bdi,2012,4070
bdi,2013,4430
bdi,2014,4370
bdi,2015,4350
bdi,2016,4750
bdi,2017,5390
bdi,2018,5520
bel,1990,130730
bel,1991,135670
bel,1992,133750
bel,1993,131580
bel,1994,136940
bel,1995,137110
bel,1996,142470
bel,1997,139270
bel,1998,142050
bel,1999,138190
bel,2000,138310
bel,2001,138690
bel,2002,131410
bel,2003,134790
bel,2004,133360
bel,2005,129500
bel,2006,126520
bel,2007,121860
bel,2008,124200
bel,2009,117130
bel,2010,124460
bel,2011,112180
bel,2012,111590
bel,2013,112860
bel,2014,106460
bel,2015,111520
bel,2016,110360
bel,2017,108250
bel,2018,108750
ben,1990,4760
ben,1991,4890
ben,1992,5010
ben,1993,5120
ben,1994,5410
ben,1995,5270
ben,1996,6510
ben,1997,6910
ben,1998,7230
ben,1999,7220
ben,2000,7790
ben,2001,7320
ben,2002,8240
ben,2003,8250
ben,2004,8360
ben,2005,9430
ben,2006,10270
ben,2007,11140
ben,2008,10960
ben,2009,11640
ben,2010,12270
ben,2011,12480
ben,2012,12500
ben,2013,13200
ben,2014,13790
ben,2015,14430
ben,2016,16100
ben,2017,16270
ben,2018,17380
bfa,1990,12510
bfa,1991,12950
bfa,1992,13260
bfa,1993,13520
bfa,1994,13980
bfa,1995,14370
bfa,1996,14400
bfa,1997,15010
bfa,1998,15160
bfa,1999,15500
bfa,2000,16620
bfa,2001,15810
bfa,2002,16550
bfa,2003,20030
bfa,2004,20630
bfa,2005,21300
bfa,2006,21350
bfa,2007,22100
bfa,2008,22940
bfa,2009,23640
bfa,2010,24810
bfa,2011,25250
bfa,2012,25970
bfa,2013,26990
bfa,2014,27490
bfa,2015,28240
bfa,2016,29650
bfa,2017,30560
bfa,2018,30850
bgd,1990,92360
bgd,1991,92540
bgd,1992,94440
bgd,1993,95650
bgd,1994,98090
bgd,1995,103120
bgd,1996,103650
bgd,1997,105940
bgd,1998,105870
bgd,1999,109910
bgd,2000,112250
bgd,2001,116870
bgd,2002,120430
bgd,2003,122030
bgd,2004,123760
bgd,2005,128390
bgd,2006,133590
bgd,2007,136520
bgd,2008,144740
bgd,2009,148380
bgd,2010,155970
bgd,2011,161700
bgd,2012,165250
bgd,2013,168630
bgd,2014,173510
bgd,2015,182600
bgd,2016,183500
bgd,2017,192420
bgd,2018,198970
bgr,1990,98340
bgr,1991,81120
bgr,1992,75250
bgr,1993,73770
bgr,1994,69880
bgr,1995,71100
bgr,1996,71630
bgr,1997,69110
