global,time,dt_oda_odat_gi_zs
world,1970,0.8045
world,1971,0.83596
world,1972,0.7641
world,1973,0.79796
world,1974,0.93073
world,1975,1.17018
world,1976,1.00543
world,1977,0.92133
world,1978,1.03664
world,1979,1.00457
world,1980,1.09343
world,1981,1.05085
world,1982,1.02299
world,1983,0.99121
world,1984,0.95977
world,1985,0.99202
world,1986,0.98972
world,1987,0.95027
world,1988,0.87641
world,1989,0.85358
world,1990,0.97271
world,1991,1.01845
world,1992,0.96061
world,1993,0.88797
world,1994,0.86554
world,1995,0.75698
world,1996,0.70717
world,1997,0.62091
world,1998,0.66675
world,1999,0.66082
world,2000,0.59232
world,2001,0.64545
world,2002,0.76208
world,2003,0.77706
world,2004,0.74948
world,2005,0.92722
world,2006,0.82371
world,2007,0.72525
world,2008,0.77192
world,2009,0.88258
world,2010,0.79197
world,2011,0.75175
world,2012,0.69894
world,2013,0.76644
world,2014,0.78754
world,2015,0.75712
world,2016,0.81637
world,2017,0.78337
world,2018,0.73046
world,2019,0.72376
