geo,time,fm_lbl_bmny_zg
abw,1986,12.30879
abw,1987,41.8752
abw,1988,17.45925
abw,1989,23.37959
abw,1990,17.27007
abw,1991,16.84078
abw,1992,12.50855
abw,1993,6.3939
abw,1994,12.59048
abw,1995,5.22624
abw,1996,3.15133
abw,1997,4.59035
abw,1998,13.08177
abw,1999,10.417
abw,2000,2.30547
abw,2001,5.88744
abw,2002,10.48571
abw,2003,8.87589
abw,2004,3.21575
abw,2005,6.19175
abw,2006,2.3735
abw,2007,3.3006
abw,2008,16.56406
abw,2009,5.74962
abw,2010,-0.28133
abw,2011,0.1268
abw,2012,8.25049
abw,2013,-3.72017
abw,2014,5.59842
abw,2015,9.45258
abw,2016,9.50091
abw,2017,1.76411
abw,2018,3.23121
abw,2019,4.39809
abw,2020,4.87154
afg,1961,10.29186
afg,1962,17.8273
afg,1963,15.5792
afg,1964,22.88812
afg,1965,17.42676
afg,1966,0.08505
afg,1967,-0.36822
afg,1968,16.75195
afg,1969,18.00085
afg,1970,7.21213
afg,1971,11.30786
afg,1972,13.9374
afg,1973,7.63014
afg,1974,13.4734
afg,1975,12.45581
afg,1976,24.1961
afg,1977,27.99609
afg,1978,16.26291
afg,1979,18.56404
afg,1980,16.85329
afg,1981,17.44982
afg,1982,17.95871
afg,1985,10.40951
afg,1986,12.32956
afg,1987,50.69048
afg,1988,34.53083
afg,1989,37.15665
afg,1990,40.59458
afg,2007,42.39516
afg,2008,31.38382
afg,2009,33.04507
afg,2010,26.94713
afg,2011,21.30917
afg,2012,8.72773
afg,2013,9.91448
afg,2014,8.13557
afg,2015,3.07902
afg,2016,9.72543
afg,2017,4.09327
afg,2018,2.57415
afg,2019,5.70436
afg,2020,12.06375
ago,1996,4105.57282
ago,1997,71.94431
ago,1998,57.64813
ago,1999,528.19433
ago,2000,303.7355
ago,2001,163.0031
ago,2002,156.34068
ago,2003,68.09831
ago,2004,48.55197
ago,2005,60.70599
ago,2006,59.85093
ago,2007,49.42144
ago,2008,104.56612
ago,2009,21.47568
ago,2010,5.2878
ago,2011,37.14696
ago,2012,4.89819
ago,2013,14.1466
ago,2014,16.1892
ago,2015,11.77631
ago,2016,13.46824
ago,2017,0.62545
ago,2018,20.42806
ago,2019,30.11412
ago,2020,24.30077
