geo,time,sl_emp_1524_sp_ma_ne_zs
afg,2008,69.01
afg,2012,61.23
afg,2014,61.33
afg,2017,49.04
afg,2020,44.85
ago,2004,24.34
ago,2009,39.91
ago,2010,45.65
ago,2011,48.23
ago,2014,23.79
alb,2007,26.8
alb,2008,27.52
alb,2009,29.47
alb,2010,28.09
alb,2011,38.86
alb,2012,29.72
alb,2013,24.23
alb,2014,21.07
alb,2015,23.67
alb,2016,22.89
alb,2017,24.86
alb,2018,30.55
alb,2019,31.21
are,2017,59.5
are,2018,61.9
are,2019,57.03
are,2020,39.15
arg,2004,40.88
arg,2005,41.38
arg,2006,42.35
arg,2008,41.8
arg,2009,41.12
arg,2010,41.32
arg,2011,41.43
arg,2012,41.86
arg,2013,40.66
arg,2014,38.78
arg,2017,37.43
arg,2018,36.6
arg,2019,34.78
arg,2020,28.23
arm,2007,28.86
arm,2008,22.99
arm,2009,21.42
arm,2010,32.65
arm,2011,31.86
arm,2012,25.47
arm,2013,32.52
arm,2014,29.71
arm,2015,31.53
arm,2016,27.65
arm,2017,25.01
arm,2018,28.55
arm,2019,27.38
arm,2020,25.23
aus,1979,67.96
aus,1980,69.22
aus,1981,70.7
aus,1982,67.68
aus,1983,61.76
aus,1984,62.5
aus,1985,63.82
aus,1986,64.34
aus,1987,63.57
aus,1988,64.67
aus,1989,67.36
aus,1990,65.31
aus,1991,59.09
aus,1992,57.22
aus,1993,57.52
aus,1994,60.23
aus,1995,62.22
aus,1996,61.68
aus,1997,60.25
aus,1998,61.03
aus,1999,61.96
aus,2000,62.6
aus,2001,61.69
aus,2002,61.79
aus,2003,62.4
aus,2004,62.74
aus,2005,64.17
aus,2006,64.47
aus,2007,64.99
aus,2008,65.48
aus,2009,61.62
aus,2010,61.29
aus,2011,60.57
aus,2012,59.73
aus,2013,58.58
aus,2014,57.44
aus,2015,58.15
aus,2016,57.91
aus,2017,58.21
aus,2018,59.39
aus,2019,59.5
aus,2020,55.9
aus,2021,59.52
aut,1994,62.26
aut,1995,60.94
aut,1996,58.4
aut,1997,56.63
aut,1998,57.09
aut,1999,59.17
aut,2000,56.53
aut,2001,55.6
aut,2002,55.9
aut,2003,54.9
aut,2004,52.77
aut,2005,54.76
aut,2006,55.77
aut,2007,57.04
aut,2008,57.59
aut,2009,55.82
aut,2010,56.62
aut,2011,58.04
aut,2012,57.1
aut,2013,56.43
aut,2014,54.26
aut,2015,53.96
aut,2016,52.93
aut,2017,52.14
aut,2018,53.89
aut,2019,54.78
aut,2020,52.73
aze,2007,35.21
aze,2008,32.3
aze,2009,28.78
aze,2010,20.88
aze,2011,29.19
bdi,2014,44.9
bdi,2017,44.9
bel,1983,37.09
bel,1984,34.72
bel,1985,35.56
bel,1986,37.05
bel,1987,36.53
bel,1988,33.54
bel,1989,33.86
bel,1990,33.28
bel,1991,33.44
bel,1992,32.56
bel,1993,29.83
bel,1994,29.66
bel,1995,28.92
bel,1996,29.41
bel,1997,28.55
bel,1998,29.22
bel,1999,27.47
bel,2000,33.74
bel,2001,31.84
bel,2002,31.33
bel,2003,30.42
bel,2004,30.19
bel,2005,29.73
bel,2006,30.35
bel,2007,29.94
bel,2008,29.73
bel,2009,27.4
bel,2010,27.29
bel,2011,27.74
bel,2012,27.82
bel,2013,25.34
bel,2014,24.52
bel,2015,24.99
bel,2016,24.02
bel,2017,24.44
bel,2018,26.35
bel,2019,27.28
bel,2020,25.57
ben,2010,35.85
ben,2011,36.44
ben,2018,30.48
bfa,2006,71.84
bfa,2014,56.09
bfa,2018,25.19
bgd,2006,65.32
bgd,2010,55.47
bgd,2013,48.33
bgd,2016,53.12
bgd,2017,49
bgr,2000,22.97
bgr,2001,21.09
bgr,2002,21.41
bgr,2003,23.1
bgr,2004,24.97
bgr,2005,23.85
bgr,2006,25.39
bgr,2007,27.13
bgr,2008,29.32
bgr,2009,27.98
bgr,2010,27.25
bgr,2011,25.05
bgr,2012,24.88
bgr,2013,23.97
bgr,2014,24.03
bgr,2015,24.02
bgr,2016,23.11
bgr,2017,26.48
bgr,2018,24.17
bgr,2019,25.01
bgr,2020,21.65
bhr,1991,47.19
bhr,2001,45.71
bhr,2010,51.48
bhr,2011,49.85
bhr,2015,54.24
bih,2006,15.85
bih,2007,17.9
bih,2008,21.83
bih,2009,21.32
bih,2010,17.49
bih,2011,16.76
bih,2012,14
bih,2013,14.76
bih,2014,13.34
bih,2015,15.72
bih,2016,18.27
bih,2017,22.58
bih,2018,25.95
bih,2019,26.89
bih,2020,25.97
blr,2009,46.8
blr,2020,39.8
blz,2012,52.97
blz,2013,52.91
blz,2014,54.43
blz,2015,52.92
blz,2016,53.69
blz,2017,53.56
blz,2019,55.78
bol,2005,50.11
bol,2006,56.53
bol,2008,55.26
bol,2009,54.05
bol,2011,57.79
bol,2012,52.58
bol,2013,50.11
bol,2014,58.23
bol,2015,50.52
bol,2016,47.09
bol,2017,47.91
bol,2018,51.41
bol,2019,51.84
bol,2020,48.3
bra,1995,70.12
bra,1996,66.32
bra,1997,66.05
bra,1998,63.89
bra,1999,62.69
bra,2001,61.49
bra,2002,61.9
bra,2003,61.08
bra,2004,62.63
bra,2005,62.81
bra,2006,62.53
bra,2007,62.44
bra,2008,62.79
bra,2009,61.06
bra,2011,58.78
bra,2012,57.07
bra,2013,55.97
bra,2014,54.9
bra,2015,52.43
bra,2016,47.64
bra,2017,46.82
bra,2018,47.2
bra,2019,48.35
bra,2020,42.49
brb,2013,38.46
brb,2014,33.14
brb,2015,33.14
brb,2016,33.34
brb,2017,31.47
brb,2018,36.01
brb,2019,32.62
brn,2014,30.05
brn,2017,30.71
brn,2018,32.39
brn,2019,37.3
brn,2020,36.94
btn,2009,39.41
btn,2010,37.6
btn,2011,32.86
btn,2012,26.2
btn,2014,23.1
btn,2015,25.7
bwa,1996,24.72
bwa,2006,33.77
bwa,2009,31.67
bwa,2010,29.82
bwa,2013,32.28
bwa,2019,22.76
bwa,2020,21.9
can,1976,59.89
can,1977,59.76
can,1978,60.41
can,1979,63.05
can,1980,63.36
can,1981,63.5
can,1982,56.13
can,1983,55.25
can,1984,57.29
can,1985,58.91
can,1986,60.74
can,1987,62.54
can,1988,64.01
can,1989,64.79
can,1990,62.6
can,1991,57.1
can,1992,54.41
can,1993,53.43
can,1994,54.1
can,1995,54.3
can,1996,53.23
can,1997,52.74
can,1998,52.94
can,1999,55.29
can,2000,56.72
can,2001,56.45
can,2002,57.32
can,2003,57.69
can,2004,57.47
can,2005,56.71
can,2006,57.74
can,2007,59.18
can,2008,59.03
can,2009,53.42
can,2010,53.09
can,2011,54.18
can,2012,53.15
can,2013,54.14
can,2014,54.23
can,2015,54.42
can,2016,54.05
can,2017,55.39
can,2018,55.42
can,2019,56.2
can,2020,48.97
can,2021,54.58
che,1991,70.73
che,1992,68.38
che,1993,67.77
che,1994,64.46
che,1995,64.32
che,1996,66.04
che,1997,63.54
che,1998,67.46
che,1999,64.05
che,2000,66.54
che,2001,64.65
che,2002,65.37
che,2003,64.58
che,2004,62.66
che,2005,60.95
che,2006,64.59
che,2007,65.4
che,2008,63.56
che,2009,60.85
che,2010,63.48
che,2011,63.96
che,2012,62.94
che,2013,62.91
che,2014,62.44
che,2015,60.59
che,2016,61.84
che,2017,63.87
che,2018,62.59
che,2019,60.78
che,2020,59.44
chl,1990,43.45
chl,1992,47.77
chl,1994,44.86
chl,1996,46.83
chl,1997,45.2
chl,1998,43.33
chl,1999,39.31
chl,2000,37.5
chl,2001,36.33
chl,2002,35.7
chl,2003,35.04
chl,2004,34.76
chl,2005,34.5
chl,2006,35.65
chl,2007,35.97
chl,2008,37.44
chl,2009,34.15
chl,2010,36.56
chl,2011,37.55
chl,2012,36.05
chl,2013,35.34
chl,2014,35
chl,2015,35.2
chl,2016,33.59
chl,2017,31.81
chl,2018,30.42
chl,2019,27.34
chl,2020,23.03
civ,2012,45.78
civ,2013,47.87
civ,2016,39.91
civ,2017,29.96
cmr,2007,66.3
cmr,2010,57.94
cmr,2014,49.54
cod,2005,37.07
cod,2012,28.58
cog,2005,24.39
cog,2009,40.73
col,2001,52.15
col,2002,51.36
col,2003,52.62
col,2004,50.54
col,2005,51.19
col,2007,47.86
col,2008,47.12
col,2009,50.02
col,2010,51.21
col,2011,53.32
col,2012,55.07
col,2013,54.23
col,2014,54.28
col,2015,55.57
col,2016,53.13
col,2017,52.31
col,2018,51.72
col,2019,48.94
col,2020,42.85
com,2004,14.09
com,2014,13.9
cpv,2015,20.4
cpv,2017,27.94
cpv,2018,27.73
cpv,2019,28.92
cri,1990,68.14
cri,1991,63.84
cri,1992,64.83
cri,1993,65.31
cri,1994,64.23
cri,1995,63.18
cri,1996,59.6
cri,1997,60.65
cri,1998,62.28
cri,1999,57.96
cri,2000,58.64
cri,2001,57.06
cri,2002,55.14
cri,2003,56.43
cri,2004,54.23
cri,2005,53.51
cri,2006,54.74
cri,2007,58.28
cri,2008,53.61
cri,2009,48.22
cri,2010,47.06
cri,2011,42.81
cri,2012,45.68
cri,2013,44.28
cri,2014,44.74
cri,2015,42.64
cri,2016,41.92
cri,2017,42.35
cri,2018,42.65
cri,2019,36.89
cri,2020,32.6
cym,2006,53.32
cym,2007,44.41
cym,2008,49.63
cym,2011,38.54
cym,2012,39.2
cym,2013,37.35
cym,2014,38
cym,2015,43.51
cyp,2000,39.53
cyp,2001,40.39
cyp,2002,37.66
cyp,2003,38.61
cyp,2004,40.33
cyp,2005,40.49
cyp,2006,40.95
cyp,2007,39.08
cyp,2008,39.36
cyp,2009,36.38
cyp,2010,34.41
cyp,2011,31.77
cyp,2012,30.49
cyp,2013,24.01
cyp,2014,25.78
cyp,2015,24.03
cyp,2016,26.55
cyp,2017,24.24
cyp,2018,27.35
cyp,2019,30.41
cyp,2020,30.42
cze,1993,55.54
cze,1994,55.22
cze,1995,54.54
cze,1996,53.88
cze,1997,49.48
cze,1998,47.59
cze,1999,42.71
cze,2000,39.34
cze,2001,37.27
cze,2002,35.7
cze,2003,32.54
cze,2004,29.68
cze,2005,31.34
cze,2006,31.45
cze,2007,32.84
cze,2008,32.36
cze,2009,31.07
cze,2010,29.59
cze,2011,29.03
cze,2012,29.19
cze,2013,29.93
cze,2014,32.34
cze,2015,33.13
cze,2016,33.76
cze,2017,33.78
