global,time,sl_tlf_cact_fm_zs
world,1990,67.13859
world,1991,67.20366
world,1992,67.31241
world,1993,67.31186
world,1994,67.55726
world,1995,67.64808
world,1996,67.72979
world,1997,67.81552
world,1998,67.9023
world,1999,68.04859
world,2000,68.12234
world,2001,68.09077
world,2002,68.07323
world,2003,68.12138
world,2004,68.08195
world,2005,68.1729
world,2006,67.99691
world,2007,67.92437
world,2008,67.68371
world,2009,67.61791
world,2010,67.34722
world,2011,67.25328
world,2012,67.16316
world,2013,67.19492
world,2014,67.30261
world,2015,67.4319
world,2016,67.58849
world,2017,67.80704
world,2018,67.94973
world,2019,68.25474
world,2020,67.60625
world,2021,67.75562
