geo,time,se_pre_enrl_tc_zs
abw,1999,25.82857
abw,2000,26.5
abw,2001,25.59821
abw,2002,23.72951
abw,2003,21.52593
abw,2004,20.11348
abw,2005,19.59028
abw,2006,20.58621
abw,2007,20.66667
abw,2008,19.16084
abw,2009,18.66897
abw,2010,19.50694
abw,2011,18.92517
abw,2012,19.55102
afg,1970,23.30952
afg,1971,23.69048
afg,1972,20.98462
afg,1973,18.26027
afg,1974,19.90541
afg,1975,19.90526
afg,1976,17.62805
afg,1977,16.96818
afg,1980,12.11382
afg,1981,11.55814
afg,1982,14.84326
afg,1984,17.20433
afg,1985,19.47308
afg,1986,11.96146
afg,2003,7.22769
ago,2010,37.06511
ago,2011,31.54112
ago,2016,63.05314
alb,1971,19.3187
alb,1972,19.43494
alb,1980,21.58619
alb,1981,22.22249
alb,1982,21.84876
alb,1983,22.125
alb,1984,22.3913
alb,1985,22.60677
alb,1986,22.80474
alb,1987,22.74525
alb,1988,22.87314
alb,1989,22.8345
alb,1990,23.03529
alb,1991,22.95321
alb,1992,20.01636
alb,1993,15.96477
alb,1994,17.56116
alb,1995,18.15357
alb,1996,19.14312
alb,1997,18.8734
alb,1998,19.21831
alb,1999,19.9741
alb,2000,21.04087
alb,2001,20.9017
alb,2002,21.98123
alb,2003,21.67022
alb,2004,21.17837
alb,2005,20.52241
alb,2006,20.26414
alb,2007,20.08508
alb,2008,19.64409
alb,2009,19.10484
alb,2010,18.0777
alb,2011,18.87546
alb,2012,18.50724
alb,2013,18.20031
alb,2014,18.2537
alb,2015,18.34831
alb,2016,17.70366
alb,2017,17.48363
alb,2018,17.09409
and,1983,12.74834
and,2002,14.52381
and,2003,14.83146
and,2004,14.68539
and,2005,13.90052
and,2006,12.44762
and,2007,12.79
and,2008,13.33511
and,2009,13.08696
and,2010,12.89305
and,2011,13.29609
and,2012,13.67978
and,2013,14.08721
and,2014,13.70391
and,2015,13.40884
and,2016,13.68421
and,2017,13.88344
and,2018,13.27711
are,1973,24.81818
are,1975,18.78723
are,1989,22.4007
are,1990,21.6722
are,1991,20.73557
are,1992,20.66723
are,1993,20.14951
are,1994,20.13261
are,1995,19.55232
are,1996,19.87341
are,1997,17.88553
are,1998,18.23457
are,1999,18.54967
are,2000,18.6185
are,2001,18.35519
are,2002,18.19403
are,2003,19.29611
are,2004,18.49218
are,2005,18.66298
are,2006,18.30117
are,2007,20.78976
are,2009,18.16438
are,2010,18.53158
are,2011,17.76772
are,2012,16.78486
are,2013,15.73945
are,2014,18.77004
are,2015,23.35983
are,2016,29.27323
arg,1970,19.18129
arg,1971,18.94324
arg,1972,18.94918
arg,1973,20.09487
arg,1974,19.75833
arg,1975,19.43457
arg,1976,19.51832
arg,1977,19.53382
arg,1979,19.77802
arg,1980,19.5464
arg,1981,20.73927
arg,1982,20.77486
arg,1983,20.34754
arg,1984,19.96782
arg,1985,19.10489
arg,1986,18.06957
arg,1987,18.38805
arg,1988,17.90407
arg,1994,15.3651
arg,1997,15.99262
arg,1998,21.43752
arg,1999,23.79198
arg,2001,23.86941
arg,2002,23.71277
arg,2003,21.65935
arg,2004,19.62456
arg,2005,19.29073
arg,2006,18.53316
arg,2007,17.65757
arg,2008,19.92434
arm,1980,11.63107
arm,1989,11.09904
arm,1990,10.07843
arm,1999,7.27091
arm,2000,7.62922
arm,2001,7.25404
arm,2002,7.95262
arm,2003,8.32081
arm,2004,8.67364
arm,2005,9.25901
arm,2006,9.46229
arm,2007,9.49101
arm,2008,9.78508
arm,2009,10.06521
arm,2010,9.83875
arm,2011,9.47919
arm,2012,9.39831
arm,2013,8.6052
arm,2014,8.9872
arm,2015,8.7287
arm,2016,8.55367
arm,2017,8.39484
arm,2018,6.2709
asm,1984,18.45
asm,1985,19.66
asm,1986,20.41837
asm,1987,21.91176
asm,1988,25.53846
asm,1989,27.98058
asm,1990,27.90291
asm,1991,27.96117
asm,1992,21.90244
atg,1975,28.33333
atg,1976,22.90698
atg,1977,31.53846
atg,1978,26.35
atg,2000,6.19697
atg,2007,12.87778
atg,2008,11.27273
atg,2010,9.40824
atg,2011,8.52448
aut,1971,27.21207
aut,1972,27.12961
aut,1973,30.79548
aut,1974,30.18892
aut,1975,29.16014
aut,1976,27.66547
aut,1977,26.09417
aut,1978,25.18208
aut,1979,24.42726
aut,1980,23.70444
aut,1981,23.42778
aut,1982,22.65294
aut,1983,22.43253
aut,1984,21.65977
aut,1985,21.64476
aut,1986,22.25542
aut,1987,22.23204
aut,1988,21.99806
aut,1989,21.70653
aut,1990,21.33414
aut,1991,20.88423
aut,1992,20.46772
aut,1993,20.26791
aut,1994,18.18161
aut,1995,16.78911
aut,1996,17.07066
aut,1997,16.75732
aut,1998,16.63873
aut,1999,15.96409
aut,2002,15.8013
aut,2003,15.12515
aut,2004,14.82778
aut,2005,14.20749
aut,2006,13.63871
aut,2007,13.53305
aut,2008,13.39389
aut,2009,12.77952
aut,2010,12.41306
aut,2011,12.0153
aut,2012,11.91715
aut,2013,11.67849
aut,2014,11.73775
aut,2015,11.41381
aut,2016,11.14827
aut,2017,11.54012
aze,1981,8.05114
aze,1986,8.1949
aze,1989,7.07288
aze,1990,7.66493
aze,1991,7.14722
aze,1992,6.71
aze,1993,6.39556
aze,1994,6.17532
aze,1995,7.36675
aze,1996,7.14587
aze,1997,7.39032
aze,1998,7.32678
aze,1999,7.39572
aze,2000,8.32657
aze,2001,8.5632
aze,2002,8.70669
aze,2003,8.75217
aze,2004,8.68532
aze,2005,8.63661
aze,2006,8.7904
aze,2007,8.75156
