global,time,ic_reg_durs_fe
world,2003,51.56716
world,2004,48.53125
world,2005,50.78528
world,2006,47.91018
world,2007,43.38529
world,2008,40.02339
world,2009,37.80523
world,2010,36.01453
world,2011,31.95115
world,2012,31.43258
world,2013,26.85021
world,2014,24.36952
world,2015,23.47289
world,2016,23.07537
world,2017,21.56239
world,2018,20.56466
world,2019,19.65903
