person,time,annual_income
a_jayson_adair,2021,26400000
a_jayson_adair,2022,28380000
a_jerrold_perenchio,2002,104286000
a_jerrold_perenchio,2003,88251000
a_jerrold_perenchio,2004,97362000
a_jerrold_perenchio,2005,83664000
a_jerrold_perenchio,2006,99353999
a_jerrold_perenchio,2007,102330000
a_jerrold_perenchio,2008,103323000
a_jerrold_perenchio,2009,72732000
a_jerrold_perenchio,2010,68733000
a_jerrold_perenchio,2011,70488000
a_jerrold_perenchio,2012,71760000
a_jerrold_perenchio,2013,77100000
a_jerrold_perenchio,2014,78936000
a_jerrold_perenchio,2015,82538999
a_jerrold_perenchio,2016,79482000
a_jerrold_perenchio,2017,84000000
abdul_aziz_al_ghurair,2002,72198000
abdul_aziz_al_ghurair,2003,76740000
abdul_aziz_al_ghurair,2004,133422000
abdul_aziz_al_ghurair,2005,135954000
abdul_aziz_al_ghurair,2006,236393999
abdul_aziz_al_ghurair,2007,272880000
abdul_aziz_al_ghurair,2008,296637000
abdul_aziz_al_ghurair,2009,257868000
abdul_aziz_al_ghurair,2010,114555000
abdul_aziz_al_ghurair,2011,86508000
abdul_aziz_al_ghurair,2012,90480000
abdul_majeed_alhokair,2015,42797999
abdul_majeed_alhokair,2017,36000000
abdul_rasyid,2016,33627000
abdulla_al_futtaim,2006,47963999
abdulla_al_futtaim,2007,102330000
abdulla_al_futtaim,2008,66660000
abdulla_al_futtaim,2009,59508000
abdulla_al_futtaim,2010,36003000
abdulla_al_futtaim,2011,41652000
abdulla_al_futtaim,2012,49920000
abdulla_al_futtaim,2013,50886000
abdulla_al_futtaim,2014,75900000
abdulla_al_futtaim,2015,97823999
abdulla_al_futtaim,2016,94766999
abdulla_al_futtaim,2017,123000000
abdulla_al_futtaim,2018,94545000
abdulla_al_futtaim,2019,70125000
abdulla_al_futtaim,2020,57771000
abdulla_al_futtaim,2021,58080000
abdulla_al_futtaim,2022,64500000
abdulla_bin_ahmad_al_ghurair,2013,95604000
abdulla_bin_ahmad_al_ghurair,2014,145728000
abdulla_bin_ahmad_al_ghurair,2015,195647999
abdulla_bin_ahmad_al_ghurair,2016,149793000
abdulla_bin_ahmad_al_ghurair,2017,204000000
abdulla_bin_ahmad_al_ghurair,2018,169035000
abdulla_bin_ahmad_al_ghurair,2019,129030000
abdulla_bin_ahmad_al_ghurair,2020,101787000
abdulla_bin_ahmad_al_ghurair,2021,73920000
abdulla_bin_ahmad_al_ghurair,2022,67080000
abdullah_al_rajhi,2006,130187999
