person,time,daily_income
acharya_balakrishna,2017,304109
acharya_balakrishna,2018,941917
acharya_balakrishna,2019,507205
acharya_balakrishna,2020,399460
acharya_balkrishna,2017,205479
acharya_balkrishna,2018,494506
acharya_balkrishna,2019,376561
acharya_balkrishna,2020,82906
acharya_balkrishna,2021,159123
acharya_balkrishna,2022,134301
achmad_hamami,2012,188054
achmad_hamami,2013,135189
achmad_hamami,2014,133084
achmad_hamami,2015,108879
achmad_hamami,2016,83753
adam_bowen,2019,84534
adam_foroughi,2022,91890
adam_kwok,2019,192123
adam_kwok,2020,158276
adam_kwok,2021,188054
adam_kwok,2022,162575
adam_kwok_kai_fai,2018,698589
adam_kwok_kai_fai,2019,614794
adam_kwok_kai_fai,2020,587884
adam_kwok_kai_fai,2021,535232
adam_kwok_kai_fai,2022,459452
adam_neumann,2016,125630
adam_neumann,2017,205479
adam_neumann,2018,196232
adam_neumann,2019,315082
adam_neumann,2022,98958
adi_godrej,2003,115635
adi_godrej,2004,197589
adi_godrej,2005,181463
adi_godrej,2006,244043
adi_godrej,2007,383153
adi_godrej,2008,502232
adi_godrej,2009,298898
adi_godrej,2010,466290
adi_godrej,2011,640800
adi_godrej,2012,205150
adi_godrej,2013,304175
adi_godrej,2014,291123
adi_godrej,2015,402016
adi_godrej,2016,184257
adi_godrej,2017,205479
adi_godrej,2018,227630
adi_godrej,2019,207493
adi_godrej,2020,143202
adi_godrej,2021,173589
adi_godrej,2022,176712
adrian_paval,2022,70684
aerin_lauder,2014,91495
aerin_lauder,2015,117254
aerin_lauder,2016,175882
aerin_lauder,2017,131506
aerin_lauder,2018,196232
aerin_lauder,2019,192123
aerin_lauder,2020,158276
aerin_lauder,2021,274849
aerin_lauder,2022,247397
agnete_kirk_thinggaard,2018,423863
agnete_kirk_thinggaard,2019,361191
agnete_kirk_thinggaard,2020,459756
agnete_kirk_thinggaard,2021,629260
agnete_kirk_thinggaard,2022,579616
ahmet_calik,2008,136972
ahmet_calik,2009,90575
ahmet_calik,2010,89671
ahmet_calik,2011,114115
ahmet_calik,2012,111123
ahmet_calik,2013,143638
ahmet_calik,2014,91495
ahmet_calik,2015,117254
ahmet_calik,2016,108879
ahmet_calik,2017,115068
ahmet_calik,2018,125589
ahmet_calik,2019,146013
ahmet_calik,2020,113054
ahmet_calik,2021,108493
ahmet_calik,2022,106027
ahmet_nazif_zorlu,2005,95506
ahmet_nazif_zorlu,2006,103249
ahmet_nazif_zorlu,2007,168213
ahmet_nazif_zorlu,2008,210024
ahmet_nazif_zorlu,2009,117747
ahmet_nazif_zorlu,2010,134506
ahmet_nazif_zorlu,2011,158005
ahmet_nazif_zorlu,2012,119671
ahmet_nazif_zorlu,2013,118290
ahmet_nazif_zorlu,2014,99813
ahmet_nazif_zorlu,2015,117254
ahmet_nazif_zorlu,2016,108879
ahmet_nazif_zorlu,2017,106849
ahmet_nazif_zorlu,2018,109890
ahmet_nazif_zorlu,2021,79561
ahsen_ozokur,2008,109578
ahsen_ozokur,2010,98638
ahsen_ozokur,2011,122893
ahsen_ozokur,2012,111123
ahsen_ozokur,2013,101391
ahsen_ozokur,2014,128926
ahsen_ozokur,2015,142380
ai_lihua,2017,82191
ai_lihua,2018,102041
ai_lihua,2020,75369
ai_lihua,2021,79561
ai_lihua,2022,113095
ai_luming,2018,86342
ai_luming,2021,94027
ai_luming,2022,98958
aidan_barclay,2022,106027
airat_shaimiev,2013,92942
airat_shaimiev,2014,91495
airat_shaimiev,2015,96316
airat_shaimiev,2017,90410
airat_shaimiev,2018,94191
airat_shaimiev,2019,99904
