income_3groups,time,income_mountain_50bracket_shape_for_log
high_income,1966,"36914,51185,59783,61983,57276,46387,31828,17714,7479,2741,1816,2732,9588,34186,82507,132878,143210,114790,129956,243970,423384,697613,1239288,2324951,4192958,7137962,11212637,16718344,24334937,31406208,33464349,29551633,21391917,12775115,6299736,2682206,1062392,473485,227834,74192,17324,8805,6931,3781,1265,361,146,67,24,10"
high_income,1967,"36734,51465,60467,62988,58511,47680,32985,18470,7754,2640,1506,2255,8663,32495,80572,132200,144384,114776,124284,232411,405722,666368,1179958,2220137,4046101,6967996,11071099,16594795,24297426,31618242,33994646,30275594,22100597,13317580,6631368,2848828,1136010,504420,245717,84372,20662,9522,7297,4058,1395,398,158,75,26,13"
high_income,1968,"34973,50685,60597,63985,60340,50023,35409,20372,8851,2935,1436,1923,7151,28330,74398,128440,147259,118900,116940,212607,377452,616604,1079570,2019627,3722058,6502196,10511152,15855181,23496132,31234822,34458917,31448424,23527335,14527025,7404403,3241713,1308161,569403,282322,104399,26731,10956,7997,4560,1642,487,200,99,40,18"
high_income,1969,"34187,50725,61483,65780,63053,53427,39070,23597,11123,4045,1697,1751,6400,26296,71375,126715,149226,122804,117031,207199,368268,598877,1036822,1927467,3578162,6319411,10376274,15903319,23974015,32252713,35834037,32845923,24724027,15421197,7976391,3537277,1445955,626630,312995,121565,32728,12351,8714,5241,2016,588,228,121,60,30"
high_income,1970,"35432,51924,62560,66625,63568,53608,38994,23421,10992,4029,1694,1736,6783,27907,74520,129953,149984,121393,118057,211820,372352,602299,1044813,1947007,3617473,6410928,10541523,16195940,24435193,32778431,36262655,33033074,24688724,15284704,7906905,3518201,1457212,650054,329291,130920,38488,14240,9605,6138,2592,784,298,156,84,42"
high_income,1971,"34746,51838,62982,67498,64833,55089,40477,24611,11725,4303,1697,1566,6108,26142,71967,128605,151748,123747,114988,202843,359357,579427,999000,1855702,3463158,6188755,10274165,15853438,24063340,32665419,36658427,33812555,25583524,16013698,8385642,3765009,1566216,694703,356275,148272,47025,16237,10032,6589,2923,892,333,170,92,49"
high_income,1972,"32260,50516,62689,68227,66588,57602,43296,27077,13473,6201,6043,10128,17594,34704,72920,125328,154072,132215,124320,225094,405886,630499,1031400,1856070,3412069,6130110,10700969,17808236,28005017,36521994,40331274,36926985,28073246,17851277,9542070,4346370,1808743,778645,396457,169602,48672,15412,9901,6844,3147,965,351,169,89,50"
high_income,1973,"29256,48785,62113,68815,68363,60297,46427,29935,15387,6827,5758,9550,16543,32219,70160,129578,173934,161041,139524,227704,439742,713594,1146335,2027971,3870313,7580358,14872559,28289581,43999970,55372493,58254949,51454688,37498413,23132762,12211183,5503368,2278879,975524,471928,198564,54478,15336,9775,7079,3412,1081,385,183,89,51"
high_income,1974,"30783,50266,63459,69895,69050,60531,46262,29576,15045,6942,7984,17472,35290,64827,113846,179692,232557,237642,237554,353157,610194,942895,1467705,2526568,4730392,9334597,18845349,36049134,55182548,68533455,69741183,59555683,41855026,24965349,12918127,5777406,2404798,1058613,538077,255181,93732,30909,12953,7499,3552,1136,388,179,88,51"
high_income,1975,"32528,51937,64977,71116,69797,60730,45953,28916,14321,6383,7681,17617,36435,67651,118102,183337,232630,233010,231078,349378,611166,952961,1495149,2599863,4904959,9741391,19724553,37471214,57065375,70378229,71007605,60197142,41874087,24707371,12590580,5549891,2297208,1018594,520348,236461,80153,27426,12198,6425,2644,768,279,119,69,36"
high_income,1976,"29737,50343,64501,71843,71947,64447,51257,35605,21792,13567,13262,20389,35559,63659,113236,183288,245303,257605,248442,341921,581683,904876,1401914,2405153,4530225,9041783,18399000,35836639,57671879,74308749,76687135,66492250,47382798,28155663,14479094,6430441,2651227,1150856,583587,270143,91351,31077,13307,6496,2570,777,293,136,75,44"
high_income,1977,"27398,49012,64122,72418,73446,66719,54101,38588,24363,15375,14397,21063,35606,62623,111202,183377,254027,279915,282631,392147,672836,1081238,1731903,2911321,5065013,9285698,17930058,34393628,56232516,73809961,77509864,68550600,50075320,30226151,15807900,7113605,2944670,1267700,640371,305793,104807,34409,14242,6852,2747,799,278,129,68,41"
high_income,1978,"22777,46894,63177,72745,74966,69321,57091,41222,25958,15533,13133,18736,31815,55791,99555,171327,256255,302169,295105,359363,592167,951860,1576268,2865048,5418384,10876249,21710152,40041768,63039789,81694673,84688300,74355752,54636198,33473874,17842610,8178862,3428787,1460205,704833,316353,105318,34835,14604,6886,2732,794,278,145,83,40"
high_income,1979,"21443,46108,63072,73500,76870,72832,62473,48437,34372,23722,19314,21764,31904,57333,111233,199288,296774,343351,327746,390627,636025,1000405,1637183,3058314,6044853,12294077,25076301,47438408,73366790,92118327,94645125,82283299,60167911,36814561,19666578,9070296,3800223,1614385,786627,374655,126764,40008,15997,7450,3015,888,301,146,71,40"
high_income,1980,"22767,47639,64538,74762,77824,73383,62863,48895,35028,24644,20380,22842,33498,61383,120033,212655,311167,360892,364522,469678,777834,1248362,2087625,3800958,7039974,13331139,26224314,48689210,75479982,94731908,97598257,84405472,61450763,37221507,19672284,8998478,3744679,1605527,809984,408261,148399,44641,16424,7787,3322,945,270,116,60,35"
