west_and_rest,time,income_mountain_50bracket_shape_for_log
rest,1800,"57422,91405,147435,245431,422222,729704,1244889,2047331,3402636,5851336,10427855,18615216,32080700,51391076,74949338,96721897,112387604,116838488,106330917,84861616,59459136,37966041,23124373,13731761,7997298,4657905,2726166,1614774,972719,595223,369483,231735,145628,90966,56113,34046,20236,11873,6810,3809,2048,1108,562,260,118,51,27,6,0,0"
rest,1801,"57659,91742,148028,246476,424251,733527,1252085,2060210,3425738,5892713,10501549,18743552,32291673,51694263,75330603,97131206,112784811,117139193,106501158,84926385,59468621,37969584,23130716,13737412,8001310,4660438,2727793,1615775,973285,595544,369660,231822,145661,90976,56107,34051,20217,11876,6812,3809,2050,1109,560,259,118,51,27,5,0,0"
rest,1802,"57890,92119,148659,247656,426544,737976,1260551,2075790,3454677,5945372,10596151,18907643,32550415,52070404,75805310,97628898,113262149,117471555,106623280,84881666,59367158,37895771,23088286,13714048,7988819,4653590,2723945,1613478,971862,594642,369036,231388,145339,90746,55955,33953,20167,11830,6788,3796,2044,1108,556,257,117,51,27,5,0,0"
rest,1803,"58136,92493,149310,248866,428868,742484,1269193,2091773,3484428,5999421,10692878,19074802,32811902,52447919,76274792,98120276,113733424,117796267,106743566,84841674,59276513,37833652,23053677,13695237,7978560,4647889,2720629,1611425,970562,593756,368443,230978,145044,90524,55804,33857,20111,11792,6778,3790,2036,1107,553,255,116,50,27,5,0,0"
rest,1804,"58351,92820,149852,249840,430757,746273,1276934,2107148,3514227,6054334,10791201,19244274,33075366,52826527,76743716,98608030,114197737,118120660,106865756,84812254,59197166,37778198,23022249,13677743,7969085,4642553,2717511,1609501,969306,592924,367862,230551,144702,90276,55648,33758,20064,11772,6759,3781,2031,1099,552,253,114,50,27,5,0,0"
rest,1805,"58647,93285,150622,251217,433359,751165,1286134,2124079,3545591,6111186,10892692,19418325,33345717,53219278,77225066,99109542,114672517,118439171,106975754,84767620,59111364,37720791,22990239,13659887,7958687,4636435,2713865,1607325,967947,592064,367289,230146,144443,90091,55521,33678,20008,11746,6740,3772,2023,1098,553,253,115,50,26,5,0,0"
rest,1806,"58878,93669,151300,252506,435904,756120,1295750,2142053,3579151,6172349,11001777,19604197,33634923,53636052,77725949,99612216,115121871,118724706,107062476,84717318,59027422,37666788,22962868,13646342,7952361,4633620,2712470,1606491,967367,591630,366963,229894,144236,89936,55417,33614,19964,11729,6729,3770,2017,1096,552,252,115,50,26,6,0,0"
rest,1807,"59040,93939,151782,253545,438105,760677,1304832,2159368,3611879,6232320,11108934,19786249,33916877,54041184,78216859,100119753,115588333,119027893,107160336,84670900,58943728,37613651,22937009,13635285,7949147,4633431,2712826,1606611,967352,591529,366797,229721,144089,89820,55329,33564,19937,11721,6724,3766,2023,1093,550,249,115,50,26,6,0,0"
rest,1808,"59429,94536,152775,255258,441169,766302,1315289,2178562,3647304,6296404,11222946,19980129,34219318,54482052,78759235,100694893,116131709,119373898,107240950,84560536,58790277,37507696,22878052,13602517,7930218,4622643,2706849,1603452,965623,590577,366293,229438,143928,89738,55292,33547,19937,11723,6732,3770,2021,1103,557,249,115,50,26,6,0,0"
rest,1809,"59715,94995,153542,256665,443880,771535,1325372,2197413,3682413,6360188,11336178,20171612,34515745,54908568,79273291,101220920,116610728,119681519,107337356,84507912,58698119,37446323,22845047,13584316,7920213,4617166,2703609,1601442,964273,589708,365704,229009,143627,89521,55149,33450,19885,11697,6717,3763,2014,1100,556,247,114,51,26,6,0,0"
rest,1810,"59909,95323,154152,257856,446408,776726,1335785,2217460,3720819,6431637,11465334,20392935,34865160,55421292,79907826,101894599,117248728,120139930,107558579,84549801,58672910,37429239,22840330,13585880,7924176,4620832,2706033,1602721,964948,589978,365798,228973,143546,89444,55103,33425,19861,11684,6711,3762,2019,1100,552,245,113,50,26,6,0,0"
