world_4region,time,income_mountain_50bracket_shape_for_log
africa,1819,"8954,14420,22680,35147,53689,81551,125017,198249,327815,560059,974722,1673714,2796347,4389585,6268689,8114560,9584362,10163845,9653587,8390870,6681132,4947465,3411472,2189542,1342129,799169,467871,274714,161805,94865,55320,32451,19246,11556,7028,4327,2622,1591,947,554,276,164,69,33,21,12,10,4,0,0"
africa,1820,"8983,14466,22759,35260,53870,81834,125464,198956,329003,562127,978415,1680146,2807684,4408572,6296658,8151277,9627471,10209123,9696451,8427715,6711348,4970960,3428861,2201423,1349713,803783,470597,276306,162755,95432,55637,32644,19353,11627,7083,4352,2638,1607,955,558,279,164,69,34,21,12,10,4,0,0"
africa,1821,"8755,14160,22320,34684,53152,80964,124306,197336,326628,558489,972989,1672439,2796902,4395977,6292178,8160174,9660675,10274558,9777666,8509821,6780203,5025252,3470801,2233928,1373222,819328,480129,281816,166013,97303,56720,33261,19704,11829,7193,4428,2681,1629,972,565,288,166,72,34,21,12,10,4,0,0"
africa,1822,"8850,14294,22531,34967,53542,81465,124965,198163,327716,559932,975304,1676883,2805874,4414483,6324819,8208064,9725167,10347013,9848448,8572768,6834094,5067559,3501489,2253850,1384797,825874,483846,284004,167268,98062,57183,33521,19864,11926,7256,4460,2696,1642,980,571,289,166,74,34,21,12,10,4,0,0"
africa,1823,"8876,14331,22580,35074,53718,81773,125428,198886,328871,561935,979354,1684763,2818121,4435239,6360360,8259235,9789466,10425063,9929289,8650138,6900669,5121705,3543059,2283634,1404451,838223,491296,288391,169832,99564,58038,34019,20159,12094,7353,4532,2738,1668,990,580,297,169,76,34,21,13,10,4,0,0"
africa,1824,"8883,14348,22630,35150,53854,82024,125830,199473,329864,564018,984324,1694747,2834552,4462097,6402387,8316053,9858283,10505513,10011043,8726360,6965662,5173883,3582517,2311617,1422698,849614,498160,292427,172216,100960,58860,34497,20438,12268,7468,4582,2782,1691,1005,590,306,169,82,34,22,13,10,4,0,0"
africa,1825,"8895,14369,22679,35243,54020,82292,126234,200110,330903,565846,988101,1702532,2848676,4487598,6444991,8374774,9929101,10588568,10095971,8805497,7033840,5229174,3624630,2341678,1442541,862005,505563,296749,174724,102431,59707,34980,20722,12441,7568,4666,2821,1718,1025,593,312,169,84,35,22,13,10,4,0,0"
africa,1826,"8915,14411,22743,35358,54197,82602,126704,200805,332059,568034,992862,1712382,2865704,4515971,6490212,8435991,10002873,10674312,10182158,8885450,7101818,5283847,3666235,2371526,1462286,874425,513087,301180,177308,103924,60560,35474,21023,12620,7677,4724,2868,1747,1039,603,322,171,86,35,22,13,10,5,0,0"
africa,1827,"8922,14433,22767,35374,54209,82547,126460,199972,330231,564934,988592,1709771,2869451,4533127,6528841,8498568,10088903,10777297,10286203,8979793,7180033,5344252,3710709,2402735,1482674,887070,520820,305797,180071,105571,61522,36050,21357,12820,7799,4797,2911,1769,1052,617,329,174,90,35,22,14,10,5,0,0"
africa,1828,"8952,14475,22851,35509,54439,82920,127034,200845,331625,567350,993207,1718859,2885852,4561989,6576466,8563609,10166937,10867043,10377508,9065799,7253303,5403324,3755474,2434414,1503464,900114,528741,310529,182900,107251,62521,36618,21709,13032,7929,4875,2956,1799,1075,625,339,175,93,35,23,14,10,5,0,0"
