un_sdg_region,time,income_mountain_50bracket_shape_for_log
un_australia_and_new_zealand,1823,"7,14,23,35,55,86,140,243,461,937,1978,4077,8044,15663,30177,52201,70651,72943,61989,45263,28301,16440,9559,5570,3217,1849,1069,626,380,240,159,110,78,57,42,31,24,16,11,9,5,4,2,1,1,0,0,0,0,0"
un_australia_and_new_zealand,1824,"6,13,21,33,51,80,128,220,411,828,1744,3618,7184,13984,27070,48032,68147,73536,64375,48327,31051,18147,10527,6138,3551,2043,1180,688,415,260,170,117,84,61,45,33,25,17,12,9,6,4,2,1,1,0,0,0,0,0"
un_australia_and_new_zealand,1825,"4,12,20,30,47,74,119,202,374,745,1563,3257,6506,12686,24631,44521,65567,73586,66208,50903,33553,19773,11451,6679,3870,2228,1285,749,448,279,181,124,88,64,47,35,26,19,14,10,6,4,2,1,1,0,0,0,0,0"
un_australia_and_new_zealand,1826,"4,11,19,30,46,71,115,193,355,705,1476,3083,6180,12052,23443,42859,64410,73644,67063,52085,34666,20491,11860,6919,4012,2309,1332,775,462,287,186,127,90,66,48,36,26,19,14,10,6,4,2,1,1,0,0,0,0,0"
un_australia_and_new_zealand,1827,"3,10,19,29,44,67,108,181,331,653,1361,2854,5746,11219,21845,40436,62373,73381,68211,53838,36457,21728,12572,7333,4255,2451,1412,821,488,301,195,132,94,68,50,37,27,20,14,10,6,5,2,1,1,0,0,0,0,0"
un_australia_and_new_zealand,1828,"3,10,17,28,42,66,104,174,313,613,1274,2673,5397,10547,20551,38366,60451,72948,69119,55354,38048,22852,13221,7707,4477,2580,1486,863,511,315,202,137,96,70,51,38,28,20,15,10,7,5,3,1,1,0,0,0,0,0"
un_australia_and_new_zealand,1829,"2,8,14,23,36,56,90,149,269,527,1101,2340,4797,9459,18488,34973,56991,71934,70678,58094,41054,25161,14604,8507,4951,2855,1641,950,560,343,218,146,102,74,54,41,30,22,16,11,7,5,4,2,1,1,0,0,0,0"
un_australia_and_new_zealand,1830,"1,4,10,16,25,39,64,106,190,368,764,1636,3436,6942,13627,25965,44646,63786,71982,65309,50700,34224,20437,11875,6946,4038,2329,1345,787,471,296,193,133,94,68,51,38,28,20,14,10,7,5,2,1,1,0,0,0,0"
un_australia_and_new_zealand,1831,"1,4,8,15,24,38,60,100,177,340,703,1504,3170,6436,12668,24240,42346,62086,72241,67132,53047,36487,22013,12791,7480,4354,2513,1450,846,506,315,205,139,99,73,54,40,29,21,15,10,7,5,3,2,1,1,0,0,0"
un_australia_and_new_zealand,1832,"1,3,8,14,22,34,56,93,163,313,649,1394,2962,6051,11954,23009,40860,61246,72861,68813,55026,38289,23239,13505,7898,4602,2658,1532,893,532,330,214,145,103,75,55,41,30,22,16,11,8,5,3,2,1,1,0,0,0"
un_australia_and_new_zealand,1833,"1,3,7,13,22,34,54,89,158,301,623,1340,2861,5861,11590,22403,40318,61400,73866,70277,56506,39460,23995,13948,8156,4754,2746,1583,923,548,340,220,149,105,76,57,42,31,23,16,11,8,5,3,2,1,1,0,0,0"
un_australia_and_new_zealand,1834,"1,3,7,11,18,29,48,80,140,267,554,1195,2571,5314,10577,20525,37370,58435,73199,72431,59929,43070,26808,15640,9147,5351,3100,1787,1040,614,377,241,161,113,81,60,44,32,24,17,11,8,6,3,2,1,1,0,0,0"
un_australia_and_new_zealand,1835,"0,2,4,10,16,25,41,68,116,213,424,885,1879,3926,7974,15530,28235,45756,63914,72992,67683,53926,37529,22861,13346,7826,4563,2628,1511,876,519,320,205,137,95,69,50,37,27,19,13,9,7,4,2,1,1,0,0,0"
un_australia_and_new_zealand,1836,"0,2,4,10,15,26,41,68,116,212,418,874,1862,3893,7867,15316,28323,46993,66196,75120,68979,54416,37368,22528,13109,7682,4482,2593,1502,877,524,325,209,141,98,71,52,38,28,20,14,10,7,4,2,2,1,0,0,0"
un_australia_and_new_zealand,1837,"0,1,4,9,15,24,39,64,108,194,378,784,1669,3519,7196,14136,26287,44120,63707,75073,71470,57982,41095,25311,14798,8676,5062,2915,1673,968,571,350,222,148,102,73,53,38,28,20,14,10,7,4,3,2,1,0,0,0"
un_australia_and_new_zealand,1838,"0,2,4,9,15,24,39,64,107,192,372,772,1653,3499,7158,14084,26479,45115,65442,76753,72701,58721,41349,25369,14828,8696,5070,2919,1675,969,572,351,223,149,102,73,54,39,28,20,14,10,7,4,3,2,1,0,0,0"
