global,time,income_mountain_50bracket_shape_for_log
world,1800,"58033,92672,151094,253149,435301,751002,1279061,2101675,3488582,5987976,10649848,18991432,32752949,52623753,77191541,100722116,119055679,126688106,119138990,99500016,74264820,51152904,33252081,20718346,12449453,7361327,4379552,2631669,1582865,949588,571921,348134,212390,129174,78325,47020,27841,16332,9331,5180,2753,1468,757,345,166,75,45,16,10,3"
world,1801,"58278,93027,151696,254236,437419,754971,1286506,2114954,3512409,6030759,10726428,19125621,32975448,52948772,77610546,101190461,119536262,127096770,119438157,99697277,74394314,51247160,33302770,20734324,12451630,7360359,4380285,2633972,1585242,951373,573122,348935,212916,129524,78549,47181,27925,16396,9367,5202,2766,1473,760,344,169,75,45,15,10,3"
world,1802,"58486,93372,152204,255291,439548,759193,1294636,2130073,3540716,6082467,10819431,19286665,33228296,53315015,78070871,101668632,119990162,127403740,119555179,99697281,74387289,51331593,33446847,20877644,12568880,7438375,4426444,2661090,1601104,960315,577962,351538,214341,130304,79011,47459,28099,16493,9437,5235,2792,1488,764,350,170,77,46,15,10,3"
world,1803,"58736,93760,153084,256776,442276,764310,1304169,2147297,3572121,6138663,10918885,19457302,33494428,53699660,78552600,102182590,120499066,127786786,119756475,99773973,74437850,51398198,33524300,20945885,12614344,7459590,4429380,2654752,1592428,953263,573414,348918,212674,129361,78451,47130,27909,16369,9380,5204,2767,1483,758,344,167,71,40,15,4,0"
world,1804,"58991,94150,153769,257977,444551,768707,1312809,2163894,3603458,6195461,11019449,19629418,33761244,54082764,79027507,102681358,120977348,128121382,119872876,99767051,74425402,51455204,33648331,21087222,12737705,7546535,4479099,2679346,1603240,957608,574992,349414,212664,129282,78365,47063,27886,16366,9354,5196,2764,1479,755,347,165,71,39,15,4,0"
world,1805,"59256,94556,154283,259143,446855,773116,1321293,2179902,3633808,6251361,11120228,19803371,34032906,54480717,79522676,103212140,121509386,128533582,120130546,99885364,74488252,51516320,33668766,21074308,12721737,7541396,4487693,2696299,1620321,970173,582781,353843,215379,130749,79225,47557,28171,16538,9462,5251,2785,1493,765,350,170,77,45,15,10,4"
world,1806,"59485,94940,155028,260523,449548,778310,1331250,2198362,3668057,6313561,11231088,19992351,34327395,54906863,80039625,103739165,121991293,128860878,120275784,99928079,74525740,51602233,33778577,21166401,12787299,7577419,4501187,2699310,1619636,968859,581832,353405,215093,130643,79193,47580,28191,16573,9488,5277,2795,1501,770,352,169,74,40,16,5,0"
world,1807,"59669,95243,155269,261415,451644,782794,1340361,2215962,3701593,6375313,11341518,20179840,34618234,55326371,80552896,104282626,122509694,129227614,120448842,99962440,74524473,51625609,33820181,21214101,12842810,7633150,4549502,2740502,1651460,989912,594127,360011,218866,132561,80199,48105,28458,16722,9568,5313,2819,1500,765,351,171,79,46,17,10,5"
world,1808,"60090,95893,156654,263085,454510,788259,1350860,2235482,3737640,6440327,11456842,20375746,34924698,55776602,81117921,104908698,123146255,129719001,120680000,100006816,74482331,51552473,33802647,21260038,12892810,7662754,4552341,2724961,1630649,972875,583082,353656,214957,130459,79024,47446,28108,16511,9446,5242,2777,1497,760,346,168,72,40,16,5,0"
world,1809,"60405,96379,157383,264578,457384,793714,1361199,2254609,3773109,6504782,11571642,20570772,35228330,56216199,81653571,105467965,123669477,130077033,120836141,100041911,74505287,51631482,33892600,21324154,12941666,7695617,4573184,2740975,1642534,980423,587384,356086,216478,131354,79590,47807,28344,16678,9552,5309,2811,1518,769,350,170,77,41,16,6,0"
world,1810,"60560,96663,157759,266047,460537,799852,1373000,2276875,3815377,6583370,11714128,20816109,35619927,56802677,82396364,106282278,124474436,130752057,121315442,100305245,74632866,51704266,33867297,21248149,12874733,7661451,4578887,2767792,1672446,1003978,602901,365211,221916,134279,81189,48670,28800,16928,9690,5385,2850,1527,771,354,173,82,46,19,10,7"
world,1811,"61148,97538,159424,268824,465106,807669,1386896,2301780,3860609,6665185,11859669,21063452,36014709,57394742,83141679,107102057,125273880,131383039,121720659,100544992,74800016,51836711,33927413,21243287,12850983,7642346,4569923,2762811,1667855,1000352,600614,364122,221251,133958,81041,48611,28796,16933,9699,5388,2856,1531,779,355,178,85,45,19,10,6"
world,1812,"61479,98085,160690,270742,468593,814323,1399733,2326321,3906403,6748093,12005948,21308979,36402541,57967519,83858220,107897136,126069737,132036144,122163917,100855293,75070130,52058007,34098371,21366391,12929909,7684500,4586678,2762111,1659689,992601,595638,361528,219574,133180,80642,48426,28723,16884,9665,5375,2849,1535,785,359,174,81,41,16,7,0"
world,1813,"61119,97448,159571,269575,467515,814083,1402271,2335461,3930802,6803523,12118678,21517085,36747684,58510032,84642713,108704411,126674901,132384252,122430484,101212756,75465223,52481092,34498528,21692677,13176388,7859990,4708704,2851064,1723119,1034293,621343,377051,229083,138826,84049,50487,29942,17620,10105,5646,2997,1615,823,379,186,87,46,16,9,0"
world,1814,"61450,97986,160863,271712,471303,820845,1414310,2356553,3968198,6869861,12235559,21720343,37078929,58999756,85282569,109446192,127490591,133164292,123096145,101749899,75892240,52824470,34757672,21865816,13301079,7947920,4763130,2878534,1733382,1036904,621560,376871,228611,138561,83898,50388,29893,17583,10082,5612,2985,1616,815,377,185,87,46,17,9,0"
world,1815,"62082,98937,161827,273922,475591,829111,1430692,2388135,4028185,6979582,12422320,22025909,37567143,59668650,86095293,110319809,128323133,133790625,123541536,102070258,76150785,53069362,34942704,21995626,13391887,8028177,4848158,2964711,1806851,1088690,653635,395348,239678,144609,87278,52287,30937,18182,10423,5797,3062,1649,826,384,195,96,53,26,10,10"
world,1816,"62367,99341,163069,275518,478128,833275,1437271,2398303,4045002,7009822,12488455,22164098,37795242,60083574,86682092,111055900,129258462,134838812,124532090,102880838,76778630,53479204,35162925,22102698,13426831,8027663,4836847,2943620,1783525,1071362,643677,390686,237031,143506,86808,52103,30893,18183,10427,5806,3077,1662,841,387,191,94,48,19,10,1"
world,1817,"62704,99846,164035,277391,481736,840166,1450331,2422511,4089692,7091008,12632378,22409670,38190812,60667237,87423880,111895193,130125872,135591509,125111416,103319790,77157867,53828681,35456969,22326385,13591433,8144802,4918606,2999618,1819750,1093279,656430,398114,241309,145971,88263,52971,31397,18476,10596,5901,3118,1680,855,396,196,95,50,20,10,2"
world,1818,"63025,100373,165144,279474,485771,847823,1464701,2448868,4137598,7176857,12781770,22659333,38586524,61234921,88124921,112662560,130884614,136215256,125553664,103681248,77521845,54241433,35895189,22722072,13916314,8380172,5066353,3084867,1866176,1117645,668967,404717,244653,147807,89281,53560,31760,18694,10713,5957,3152,1702,857,401,199,97,50,21,10,2"
world,1819,"64025,101946,167804,283341,491667,857224,1480186,2474693,4181825,7253565,12915590,22888094,38952824,61780719,88829510,113485856,131747078,136962039,126133387,104141249,77981919,54702236,36293998,23007984,14092814,8477444,5116992,3106971,1872500,1118106,668489,404306,244286,147715,89224,53548,31772,18667,10685,5931,3132,1691,856,398,197,97,50,22,10,2"
