main_religion_2008,time,income_mountain_50bracket_shape_for_log
christian,1800,"25997,45599,81216,145106,260078,452568,744403,1082332,1439081,1852804,2518670,3672563,5591608,8525212,12597130,17897280,23750451,28701994,31085125,30300064,26973625,21844683,15764979,10500067,6602120,3996725,2429113,1487089,896544,529035,309371,182453,108090,64275,38680,23309,13972,8342,4828,2682,1447,783,422,209,106,55,38,16,10,3"
christian,1801,"26068,45723,81467,145626,261162,454629,748051,1087674,1446042,1861442,2530274,3689884,5618605,8569366,12672629,18008197,23894409,28859005,31235392,30427361,27080040,21928715,15807891,10510390,6600415,3993127,2428052,1488230,898186,530354,310277,183068,108493,64556,38857,23432,14049,8393,4860,2698,1458,787,424,209,109,55,38,15,10,3"
christian,1802,"26100,45822,81590,146008,262045,456433,751282,1092409,1452080,1868404,2538593,3700336,5631134,8586410,12702854,18046023,23933937,28884133,31251499,30465972,27158016,22075648,15988795,10674414,6728906,4077235,2477580,1517316,915262,540066,315636,186021,110170,65518,39436,23784,14255,8516,4944,2744,1486,802,431,216,111,57,39,15,10,3"
christian,1803,"26162,45956,82065,146795,263487,459032,755693,1098773,1460258,1878128,2550455,3715738,5651329,8617241,12754930,18121982,24032125,28992128,31355028,30581278,27290199,22200643,16100284,10761675,6784833,4104161,2483728,1512907,907778,533793,311615,183761,108757,64753,38992,23523,14111,8418,4893,2716,1465,798,428,212,109,52,33,15,4,0"
christian,1804,"26242,46089,82357,147303,264470,460940,759218,1104482,1468251,1888149,2562823,3731490,5670372,8643893,12797028,18179239,24096028,29048774,31372330,30612600,27360018,22316867,16259121,10922549,6918794,4196899,2536675,1539399,919764,538905,313699,184610,109011,64847,39023,23532,14126,8432,4878,2715,1465,800,425,216,108,52,32,15,4,0"
christian,1805,"26326,46235,82463,147762,265438,462757,762434,1109291,1474682,1896197,2573564,3746741,5691657,8680128,12857819,18266090,24214800,29190105,31539946,30771674,27499992,22431924,16310468,10926637,6912094,4196759,2548081,1558043,937922,552157,321966,189364,111955,66469,39989,24089,14452,8631,5001,2776,1492,815,435,219,112,58,39,15,10,4"
christian,1806,"26368,46349,82772,148361,266678,465159,766678,1115627,1483280,1907360,2589049,3769502,5723646,8729267,12925644,18336073,24277840,29251277,31609668,30870203,27626738,22579525,16455342,11037765,6987713,4238067,2564479,1562770,938345,551592,321508,189289,111926,66550,40076,24187,14520,8686,5040,2804,1507,825,440,221,111,55,34,16,5,0"
christian,1807,"26360,46375,82592,148490,267343,466827,770042,1121015,1490901,1917582,2603277,3789594,5750317,8770411,12988659,18421545,24376219,29351501,31705922,30958236,27711545,22662415,16531070,11104192,7053435,4299378,2615926,1605874,971370,573441,334355,196275,115957,68645,41201,24783,14827,8856,5131,2849,1532,828,436,221,113,60,40,17,10,5"
christian,1808,"26584,46752,83537,149384,268753,469454,774737,1128218,1500872,1930775,2621631,3816018,5788023,8832681,13085406,18555689,24541342,29531796,31855689,31089876,27801265,22686235,16569485,11179097,7117730,4335870,2622045,1591905,951331,556771,323476,189977,112073,66545,40014,24110,14459,8631,4994,2769,1488,816,424,215,111,53,34,16,5,0"
christian,1809,"26708,46959,83820,150092,270172,472043,779185,1134842,1509868,1942653,2638429,3840421,5821778,8886191,13160609,18646869,24636721,29618125,31933540,31179869,27914991,22829260,16696587,11263914,7177996,4374966,2646429,1610024,964550,565172,328347,192799,113862,67630,40702,24544,14740,8824,5117,2843,1528,839,435,219,114,58,35,16,6,0"
christian,1810,"26610,46879,83625,150611,271564,474807,784130,1142677,1521567,1960075,2665921,3883644,5887707,8997460,13321661,18846348,24857547,29877620,32219015,31413244,28075051,22930728,16688141,11197006,7115998,4343573,2653790,1637928,995203,589262,344231,202218,119502,70696,42394,25471,15230,9096,5266,2922,1566,847,439,225,118,64,40,19,10,7"
christian,1811,"26950,47398,84752,152448,274439,479382,791456,1153714,1537592,1983533,2701863,3938870,5971882,9128660,13492413,19043072,25055010,30068965,32411239,31606325,28262804,23089806,16769518,11207416,7102206,4330532,2648415,1635066,991872,586411,342457,201442,119049,70511,42330,25461,15259,9114,5279,2927,1572,855,447,227,122,67,40,19,10,6"
christian,1812,"27012,47559,85432,153384,276145,482589,797365,1163711,1552780,2005268,2733135,3982256,6031851,9215822,13602432,19177693,25208090,30237283,32592371,31826930,28520786,23314661,16944578,11333257,7183143,4373905,2665869,1634873,984126,578984,337740,199064,117540,69845,42012,25320,15203,9087,5259,2918,1570,863,451,231,118,63,36,16,7,0"
