un_sdg_ldc,time,income_mountain_50bracket_shape_for_log
un_least_developed,1800,"5832,9644,15749,25352,40074,62517,97240,154221,253863,436510,779991,1406645,2463064,4071318,6176764,8254281,9827925,10509445,10404837,9296435,7441994,5439595,3745436,2462096,1542512,933643,554258,328489,195133,115761,68598,40893,24574,14909,9144,5648,3480,2134,1294,749,409,239,122,62,38,16,10,3,0,0"
un_least_developed,1801,"5825,9625,15733,25325,40039,62440,97116,153971,253398,435653,778366,1403790,2458937,4066172,6171388,8247760,9819982,10500826,10395963,9286393,7433684,5433695,3741695,2460000,1541716,933277,554111,328480,195159,115774,68600,40894,24564,14904,9144,5643,3470,2132,1292,749,407,238,122,62,38,16,10,3,0,0"
un_least_developed,1802,"5817,9615,15714,25296,40002,62381,97012,153776,252999,434896,776972,1401315,2455418,4061959,6167124,8242136,9812178,10491669,10386420,9275643,7424848,5427693,3738409,2458545,1541676,933509,554330,328667,195300,115868,68647,40913,24567,14900,9137,5640,3469,2127,1291,745,406,238,122,62,38,16,10,3,0,0"
un_least_developed,1803,"5810,9602,15698,25275,39968,62331,96917,153582,252645,434216,775693,1399004,2452124,4058023,6163240,8237068,9805330,10483717,10378118,9265949,7416615,5421918,3734940,2456715,1541075,933332,554299,328716,195365,115903,68667,40920,24576,14889,9129,5632,3465,2121,1289,747,405,238,121,61,38,16,10,3,0,0"
un_least_developed,1804,"5805,9597,15681,25252,39924,62268,96806,153360,252241,433479,774337,1396625,2448733,4054006,6159151,8231649,9797838,10475591,10370275,9257012,7409551,5417256,3732371,2455647,1541230,933620,554542,328931,195516,115996,68713,40949,24574,14889,9124,5631,3461,2123,1284,745,404,237,121,61,38,16,10,3,0,0"
un_least_developed,1805,"5786,9578,15657,25216,39882,62198,96678,153142,251830,432709,772921,1394090,2445162,4049780,6155098,8226838,9792059,10469462,10363854,9249222,7402932,5412612,3729657,2454288,1540915,933615,554609,329023,195601,116060,68739,40960,24578,14886,9118,5626,3456,2119,1281,745,404,237,121,61,39,16,10,3,0,0"
un_least_developed,1806,"5772,9556,15642,25203,39858,62154,96587,152931,251387,431863,771319,1391281,2441135,4044914,6150322,8221345,9785454,10462468,10357018,9241793,7397336,5409547,3728706,2454492,1541886,934532,555283,329515,195912,116225,68829,41009,24598,14889,9117,5624,3452,2117,1281,743,401,235,121,61,39,16,10,3,0,0"
un_least_developed,1807,"5764,9545,15621,25181,39824,62113,96500,152756,251048,431229,770121,1389108,2438034,4041260,6147023,8217377,9780077,10456325,10350878,9234798,7391691,5405618,3726642,2453780,1542198,934936,555608,329754,196072,116323,68880,41023,24606,14887,9117,5620,3451,2118,1281,743,401,236,121,60,39,16,10,3,0,0"
un_least_developed,1808,"5757,9535,15614,25175,39807,62075,96428,152613,250762,430717,769149,1387359,2435711,4038863,6145183,8214754,9775332,10449476,10343430,9226861,7385751,5402239,3725181,2453355,1542555,935378,555968,330023,196258,116422,68926,41044,24613,14891,9115,5616,3448,2116,1280,739,402,236,122,60,39,16,10,3,0,0"
un_least_developed,1809,"5756,9535,15603,25158,39782,62048,96368,152470,250469,430141,768170,1385802,2433900,4037821,6145821,8214597,9772806,10446325,10338553,9219046,7377226,5395722,3721567,2451666,1542245,935402,556030,330119,196333,116482,68962,41054,24617,14888,9109,5616,3441,2113,1279,740,400,234,123,60,39,16,10,3,0,0"
