unicef_region,time,income_mountain_50bracket_shape_for_log
eap,1819,"28587,39597,55582,82322,130682,222979,407078,798968,1650126,3391676,6689033,12547861,22304408,35536761,49462855,60027268,64883020,61281939,49939431,36484037,23518603,13831294,7855347,4356555,2324285,1250616,673606,363899,202978,118160,71983,45333,28996,18574,11772,7342,4497,2708,1590,908,483,245,122,38,7,0,0,0,0,0"
eap,1820,"28851,39962,56114,83172,132185,225767,412603,810482,1674323,3440341,6780667,12712697,22583086,35938066,49960334,60565795,65398966,61687069,50212948,36651844,23607379,13878131,7880977,4370315,2331460,1254463,675721,365055,203639,118539,72203,45481,29082,18627,11804,7365,4508,2718,1598,910,485,246,122,39,7,0,0,0,0,0"
eap,1821,"29150,40338,56651,84020,133650,228461,417891,821846,1699208,3491688,6880889,12899544,22894161,36380175,50479441,61088325,65878483,62030876,50416332,36751422,23647235,13899928,7895181,4380586,2337547,1258313,678334,366667,204604,119129,72583,45722,29243,18732,11876,7408,4539,2730,1606,916,486,247,123,39,7,0,0,0,0,0"
eap,1822,"29428,40707,57190,84916,135264,231524,424084,835181,1727899,3549766,6990709,13098167,23222120,36832956,50999231,61599229,66324606,62319572,50559474,36804342,23656685,13903543,7898937,4384983,2340350,1260257,679837,367618,205167,119466,72795,45858,29329,18789,11913,7427,4556,2740,1613,922,491,247,124,41,7,0,0,0,0,0"
eap,1823,"29691,41047,57685,85731,136731,234335,429784,847556,1754778,3604490,7095016,13288204,23534671,37264112,51490026,62076783,66739044,62583533,50686517,36845399,23658370,13902792,7900324,4388171,2342596,1262001,681285,368567,205745,119834,73023,46007,29422,18859,11959,7453,4572,2750,1623,928,493,250,126,40,7,0,0,0,0,0"
eap,1824,"29991,41471,58371,86968,139139,239229,440183,869670,1800396,3692513,7248940,13547639,23949156,37789762,52056969,62602240,67129958,62743470,50685016,36791992,23604632,13870306,7883458,4380849,2338673,1259938,680290,367928,205271,119465,72756,45829,29307,18777,11912,7436,4561,2750,1614,927,494,252,125,40,7,0,0,0,0,0"
eap,1825,"30237,41777,58782,87615,140240,241210,444004,878343,1820324,3735119,7336706,13716322,24227104,38188734,52514563,63058099,67551833,63050252,50871759,36877423,23638191,13890046,7897278,4391447,2345483,1264362,683372,369901,206492,120245,73254,46158,29521,18913,11994,7486,4591,2763,1629,932,498,257,127,43,7,0,0,0,0,0"
eap,1826,"30485,42066,59146,88108,140993,242360,445953,882981,1832385,3763426,7401947,13856673,24459153,38540550,52932558,63482361,67977038,63403387,51130183,37021321,23708538,13931736,7923881,4409516,2356735,1271535,688202,373021,208465,121512,74092,46714,29886,19145,12139,7568,4640,2790,1646,947,503,259,128,43,8,0,0,0,0,0"
eap,1827,"30761,42418,59667,88963,142519,245260,451825,895785,1860209,3820025,7510093,14055297,24781530,38981741,53428930,63963313,68394972,63672401,51269869,37072512,23720192,13938287,7929983,4415608,2360891,1274367,690314,374390,209302,122036,74422,46925,30019,19229,12194,7604,4665,2804,1653,949,505,259,129,43,8,0,0,0,0,0"
eap,1828,"31055,42819,60274,89995,144448,249030,459644,912696,1896053,3891215,7641325,14285003,25153007,39475555,53971801,64481056,68816067,63901934,51345303,37069722,23696761,13923409,7923415,4414310,2360702,1274577,690826,374750,209495,122124,74466,46941,30038,19233,12198,7608,4672,2809,1657,953,505,260,128,44,8,0,0,0,0,0"
eap,1829,"31321,43188,60851,91018,146406,252950,467913,930555,1933552,3964754,7774035,14512630,25517506,39945423,54472281,64939866,69160461,64044551,51343011,37012407,23640474,13890519,7907400,4408175,2358047,1273514,690629,374690,209409,122034,74384,46885,29993,19208,12192,7605,4670,2812,1657,957,509,260,128,44,8,0,0,0,0,0"
eap,1830,"31514,43446,61277,91798,147964,256150,474780,945682,1965689,4028153,7889415,14713440,25833463,40346875,54886255,65304605,69423072,64136319,51321536,36949217,23585266,13861160,7895354,4405997,2358813,1274958,692138,375680,209956,122316,74533,46974,30037,19248,12210,7623,4680,2820,1663,958,510,260,129,45,8,0,0,0,0,0"
eap,1831,"31598,43568,61458,92104,148521,257257,477064,950299,1974956,4046044,7920668,14766097,25924561,40480018,55065985,65515447,69637077,64328678,51469921,37059930,23667452,13913250,7926363,4425744,2370173,1281313,695862,377742,211068,122909,74867,47172,30166,19319,12265,7650,4700,2835,1667,962,512,261,129,47,8,0,0,0,0,0"
eap,1832,"31641,43626,61537,92233,148712,257600,477699,951545,1977506,4051376,7931228,14785783,25961711,40544586,55164418,65642140,69782747,64481427,51601187,37161232,23744801,13963347,7956510,4445042,2381283,1287512,699552,379816,212203,123558,75233,47405,30310,19418,12325,7693,4726,2851,1678,969,515,265,130,47,8,0,0,0,0,0"
eap,1833,"31631,43590,61445,92001,148175,256376,474872,945616,1966053,4031060,7901487,14745945,25903931,40500568,55146618,65659940,69864304,64633588,51770084,37294366,23844151,14028099,7996179,4470220,2396160,1296083,704770,382904,214029,124675,75939,47865,30609,19601,12440,7766,4763,2875,1690,978,523,269,133,49,8,0,0,0,0,0"
eap,1834,"31619,43564,61380,91846,147840,255607,473089,941810,1958708,4018309,7884644,14730045,25884424,40510052,55191737,65723854,69954887,64754526,51885380,37369707,23896877,14060797,8015738,4485459,2406683,1302810,709360,385915,215900,125807,76581,48200,30761,19643,12436,7746,4740,2850,1674,965,515,262,130,47,8,0,0,0,0,0"
eap,1835,"31612,43588,61451,92035,148302,256725,475717,947383,1969585,4038112,7915493,14771788,25952989,40589640,55280357,65815856,70017377,64778018,51878183,37367580,23912423,14076039,8027466,4496008,2414622,1308279,713138,388184,217094,126406,76844,48332,30827,19683,12464,7761,4755,2855,1686,966,517,263,130,49,8,0,0,0,0,0"
eap,1836,"31647,43652,61565,92250,148735,257636,477666,951293,1977023,4051478,7935929,14800122,25999842,40646544,55351071,65895784,70085741,64828011,51907586,37393361,23943672,14099329,8042254,4506219,2420444,1311204,714840,389071,217525,126614,76951,48390,30852,19699,12481,7768,4764,2859,1690,969,518,264,131,49,8,0,0,0,0,0"
eap,1837,"31613,43588,61407,91902,147969,255905,473760,943117,1961239,4023326,7893674,14744347,25915879,40574345,55308781,65893478,70166119,65003791,52116165,37560244,24065467,14177773,8089900,4536300,2438786,1322412,722009,393523,220255,128320,78035,49079,31301,19992,12660,7879,4826,2897,1709,983,524,269,134,48,8,0,0,0,0,0"
eap,1838,"31637,43614,61457,91984,148108,256156,474236,944019,1962882,4026360,7898767,14751953,25930413,40599818,55351378,65953271,70237448,65085114,52189106,37619828,24119038,14215719,8114590,4553254,2449017,1328069,725366,395392,221242,128860,78329,49256,31420,20067,12707,7913,4844,2906,1720,989,529,274,135,51,8,0,0,0,0,0"
eap,1839,"31672,43674,61572,92200,148518,256998,475978,947490,1969441,4038110,7917077,14776563,25971279,40650617,55414185,66026762,70301826,65134938,52218226,37644063,24149056,14238306,8128861,4562814,2453811,1329799,725999,395506,221163,128738,78246,49214,31385,20046,12698,7907,4841,2916,1728,988,534,273,134,51,9,0,0,0,0,0"
eap,1840,"31594,43558,61359,91771,147660,255201,472122,939540,1954143,4010622,7874346,14719876,25883989,40566631,55355595,66000483,70353266,65281590,52409596,37805953,24272109,14320393,8179888,4595679,2475084,1344257,736234,402259,225416,131391,79903,50226,32016,20444,12935,8055,4930,2968,1752,1008,542,275,138,51,9,0,0,0,0,0"
eap,1841,"31621,43598,61410,91842,147749,255304,472201,939372,1953197,4008126,7868584,14706528,25865773,40550425,55358096,66031626,70408177,65365527,52493212,37877814,24335920,14363062,8206605,4613420,2484943,1348430,737702,402560,225320,131234,79745,50168,31989,20435,12942,8059,4933,2969,1755,1009,542,276,139,51,10,0,0,0,0,0"
eap,1842,"31621,43599,61411,91825,147679,255092,471585,937773,1949482,4000608,7854714,14682013,25829561,40513362,55339934,66043244,70453534,65454828,52594035,37965892,24411519,14413535,8237107,4631909,2494700,1352678,739680,403451,225720,131426,79873,50255,32059,20479,12974,8080,4950,2980,1767,1009,549,277,140,51,10,0,0,0,0,0"
eap,1843,"31576,43564,61380,91819,147717,255308,472249,939147,1951793,4004175,7858163,14679643,25828124,40510349,55346662,66067910,70481710,65492009,52627803,38003394,24459194,14449571,8261015,4649010,2506623,1360754,745367,407040,227813,132616,80536,50623,32276,20611,13055,8130,4987,2997,1771,1018,549,280,142,52,10,0,0,0,0,0"
eap,1844,"31544,43562,61416,91942,148071,256207,474389,943554,1959905,4018037,7876812,14697956,25858467,40537303,55380033,66111456,70505962,65498470,52620103,38009901,24487524,14474892,8278531,4661440,2514892,1366208,749516,409805,229453,133527,81054,50890,32426,20692,13105,8168,5008,3011,1780,1024,556,282,142,52,10,0,0,0,0,0"
eap,1845,"31565,43641,61627,92423,149136,258617,479841,954470,1980240,4053068,7924727,14758768,25949493,40616847,55460598,66180589,70512253,65440142,52538714,37964472,24482019,14479070,8283906,4667301,2519145,1368627,751201,410751,229860,133620,81030,50835,32378,20658,13091,8167,5005,3013,1784,1024,558,284,141,53,11,0,0,0,0,0"
eap,1846,"31558,43663,61713,92637,149664,259860,482731,960119,1990409,4069835,7944642,14782830,25981384,40637899,55489756,66209716,70519619,65436026,52537019,37980902,24515347,14507959,8305975,4685489,2532895,1378209,757977,415167,232432,134952,81652,51133,32523,20745,13142,8194,5029,3033,1792,1030,564,284,140,53,12,0,0,0,0,0"
eap,1847,"31550,43635,61716,92690,149847,260373,484093,962905,1995542,4078060,7952883,14791687,25997217,40651491,55496191,66207704,70526870,65468954,52582935,38033500,24562794,14541274,8327252,4697834,2540563,1384575,764202,420769,236681,137879,83562,52362,33251,21205,13422,8376,5137,3091,1824,1047,571,293,141,53,12,0,0,0,0,0"
eap,1848,"31490,43501,61457,92185,148775,258051,478924,952239,1974693,4041045,7898880,14707145,25872936,40533878,55425365,66221731,70626564,65643736,52761857,38166356,24652900,14597928,8364777,4725229,2562784,1403392,779327,431902,244231,142589,86165,53715,33952,21585,13647,8509,5214,3133,1852,1061,577,295,143,53,13,0,0,0,0,0"
eap,1849,"31462,43501,61501,92354,149297,259425,482331,959200,1987463,4061643,7920641,14731327,25901737,40531427,55387682,66140377,70512697,65525129,52670849,38125629,24643231,14600976,8375146,4741504,2580691,1418979,790253,438195,247435,144142,86734,53754,33860,21492,13575,8460,5179,3120,1844,1055,579,294,142,53,13,0,0,0,0,0"
eap,1850,"31385,43441,61448,92366,149517,260202,484432,963164,1993756,4069270,7920038,14719011,25861773,40434643,55255620,65979640,70328509,65348298,52540943,38060165,24622039,14601495,8387593,4760033,2597101,1429230,794566,439078,247115,143561,86144,53306,33583,21348,13501,8433,5164,3110,1841,1051,578,293,141,53,13,0,0,0,0,0"
eap,1851,"31096,43038,60806,91206,147276,255665,474841,942932,1952088,3989618,7782530,14478577,25492517,39982686,54797846,65605387,70103967,65358560,52677628,38226013,24786374,14717953,8467352,4817408,2637110,1454699,810252,447484,250978,145492,87385,53816,33682,21326,13486,8427,5173,3117,1853,1061,582,295,143,53,14,0,0,0,0,0"
eap,1852,"30841,42753,60473,90767,146698,254922,473760,939422,1941240,3961152,7709838,14334413,25238071,39598446,54366886,65177245,69715291,65110187,52570659,38225945,24847777,14769539,8503524,4847704,2663709,1478334,830564,462402,260165,150339,90037,55262,34216,21419,13469,8398,5152,3107,1846,1055,592,290,144,53,15,0,0,0,0,0"
eap,1853,"30459,42213,59621,89292,143856,249223,461794,914440,1890174,3863637,7541945,14039660,24779894,39019886,53742062,64616579,69310128,64970285,52597447,38318258,24969706,14862545,8566147,4894596,2699780,1507690,854628,480759,272480,157621,94229,57786,35553,22031,13759,8555,5238,3154,1881,1074,598,297,148,55,15,0,0,0,0,0"
eap,1854,"30181,41915,59286,88889,143445,248914,461757,913088,1883105,3840588,7473984,13899599,24516691,38595981,53230490,64070810,68775949,64581071,52400008,38293363,25055289,14961993,8646273,4947515,2728357,1516302,852927,474757,266569,153784,91887,56214,34757,21777,13717,8559,5259,3175,1891,1087,605,304,149,57,15,0,0,0,0,0"
eap,1855,"29788,41357,58389,87310,140335,242584,448406,885532,1827501,3735996,7298904,13594816,24044803,38007548,52587710,63501022,68385076,64479938,52473167,38423100,25208159,15083671,8733303,5008087,2766807,1537405,864054,480130,269233,155413,92870,56805,35222,22159,13984,8736,5375,3243,1932,1115,622,308,152,57,16,0,0,0,0,0"
eap,1856,"29392,40779,57436,85593,136955,235655,433524,854490,1764553,3617295,7101996,13263515,23520208,37366110,51923555,62948836,68039356,64435017,52592820,38562816,25347965,15181824,8796693,5060671,2814557,1584268,906618,514405,293042,169692,101294,61914,37847,23322,14510,9014,5527,3334,1980,1142,638,328,157,57,17,1,0,0,0,0"
eap,1857,"29114,40465,57081,85136,136378,234935,432639,851757,1755557,3592721,7036887,13124867,23274731,36979335,51464812,62483201,67599889,64123007,52420494,38506635,25371637,15217275,8831978,5089469,2833404,1589834,905007,509116,287638,166224,99276,60541,37202,23197,14589,9109,5596,3385,2018,1165,651,333,167,58,17,1,0,0,0,0"
