g77_and_oecd_countries,time,income_mountain_50bracket_shape_for_log
g77,1800,"291497,421219,570041,768699,1041623,1445406,2075630,3084711,4754088,7534326,12095498,19380279,30721931,46436879,63281148,77439753,87040966,90449160,85160901,69236744,47455450,29066269,17004551,9833876,5711937,3358602,2008167,1227335,770380,496155,328584,222194,152548,105205,72481,49302,33045,21745,14043,8927,5588,3472,2152,1338,830,502,282,74,14,3"
g77,1801,"293659,423976,573672,773497,1048132,1454676,2089160,3105506,4786641,7587208,12180332,19518197,30937494,46723543,63588986,77722626,87279766,90640561,85295864,69310813,47487179,29079606,17009751,9836436,5713277,3359415,2008729,1227762,770721,496421,328802,222359,152666,105284,72529,49331,33056,21754,14051,8930,5592,3471,2150,1339,830,501,281,72,14,3"
g77,1802,"295795,426690,577256,778223,1054512,1463719,2102302,3125695,4818321,7639101,12265104,19659342,31164944,47039930,63962147,78132619,87705404,90987156,85445582,69241599,47346975,28977935,16950464,9805329,5697380,3351101,2004464,1225779,769826,496079,328733,222382,152728,105340,72568,49361,33074,21764,14054,8930,5593,3470,2149,1340,830,502,281,70,14,3"
g77,1803,"297707,429203,580600,782693,1060619,1472443,2115049,3145224,4848829,7688419,12343630,19786158,31366120,47324949,64315197,78544125,88152466,91363287,85622276,69191765,47219565,28884484,16896349,9777221,5683173,3343657,2000638,1224023,769036,495791,328695,222425,152801,105408,72620,49397,33101,21772,14058,8936,5596,3469,2151,1337,831,503,281,71,14,3"
g77,1804,"300148,432334,584765,788265,1068222,1483267,2130809,3169261,4886196,7748433,12438588,19937518,31600136,47638427,64675305,78930484,88545695,91683104,85769877,69149061,47110971,28803896,16848746,9752040,5670090,3336690,1996926,1222184,768112,495339,328496,222320,152757,105394,72610,49393,33092,21771,14054,8933,5595,3470,2152,1338,830,503,279,69,14,3"
g77,1805,"302397,435222,588588,793350,1075156,1493179,2145291,3191548,4921056,7805133,12529984,20086950,31837116,47965688,65062265,79357337,88984731,92034354,85916200,69073495,46965061,28699009,16788258,9720700,5654345,3328669,1992945,1220452,767418,495148,328542,222433,152884,105505,72684,49452,33127,21788,14070,8942,5599,3475,2155,1339,831,500,280,68,14,3"
g77,1806,"304732,438199,592560,798678,1082462,1503648,2160571,3215081,4958422,7867910,12633001,20253606,32089583,48297493,65439451,79765024,89408366,92379753,86064390,69000154,46821346,28596548,16729810,9690936,5639743,3321436,1989501,1219090,766987,495143,328720,222627,153073,105652,72794,49526,33176,21819,14088,8952,5615,3477,2158,1339,832,500,280,67,14,3"
g77,1807,"307150,441291,596705,804320,1090366,1515364,2178213,3242774,5001955,7937473,12738394,20413692,32331999,48625134,65821124,80187499,89841544,92694894,86180199,68927943,46699394,28504814,16679402,9667319,5629749,3317628,1987957,1218476,766565,494856,328564,222545,153054,105668,72809,49543,33191,21831,14092,8954,5612,3482,2156,1338,834,499,279,66,14,3"
g77,1808,"310673,445986,602923,812493,1101237,1530277,2198977,3272654,5045609,8002478,12833800,20561606,32566181,48955535,66224253,80635799,90282774,93028948,86313607,68860296,46566064,28406240,16620233,9634908,5612277,3308014,1982722,1215810,765214,494207,328301,222445,153033,105677,72820,49555,33189,21829,14090,8952,5608,3482,2159,1339,833,499,279,66,14,3"
g77,1809,"313136,449145,607180,818304,1109361,1542277,2217081,3300845,5090096,8073074,12940715,20725421,32814381,49292274,66620291,81072766,90736478,93397704,86471800,68782539,46409504,28291603,16552703,9598993,5593591,3298058,1977449,1213204,763928,493617,328070,222356,153021,105682,72820,49556,33187,21826,14089,8947,5606,3478,2158,1338,833,500,278,64,14,3"
