landlocked,time,income_mountain_50bracket_shape_for_log
coastline,1800,"51956,82875,135787,229520,399101,695300,1191083,1955525,3237403,5563147,9925526,17748825,30692211,49441882,72789026,95197783,112832818,120343948,113113212,94065370,69679335,47533194,30624914,18972161,11376537,6735604,4022942,2428680,1466605,882487,533094,325410,198847,120997,73337,43979,26013,15231,8693,4829,2589,1378,716,329,156,70,45,16,10,3"
coastline,1801,"52178,83200,136338,230542,401137,699182,1198442,1968756,3261270,5606169,10002706,17884136,30915977,49767328,73206769,95662885,113307626,120744754,113403703,94253164,69798804,47618211,30667966,18982427,11375036,6732449,4022408,2430249,1468565,884037,534161,326130,199331,121316,73547,44129,26097,15291,8727,4850,2601,1383,719,328,159,70,45,15,10,3"
coastline,1802,"52360,83502,136798,231523,403173,703290,1206458,1983786,3289567,5658037,10096147,18046047,31169641,50133338,73665026,96137088,113755547,121044190,113512552,94244138,69782007,47693900,30804659,19120024,11488372,6808089,4067186,2456581,1483976,892718,538854,328651,200712,122069,73995,44398,26263,15386,8798,4883,2627,1398,723,334,160,72,46,15,10,3"
coastline,1803,"52583,83857,137621,232927,405801,708299,1215879,2000953,3321017,5714472,10196248,18217923,31437212,50518335,74144769,96646776,114257668,121418514,113704538,94311002,69822365,47751445,30874726,19182738,11530246,6827179,4068881,2449521,1474896,885441,534174,325950,198993,121103,73424,44065,26069,15261,8738,4850,2601,1393,715,328,157,66,40,15,4,0"
coastline,1804,"52819,84210,138255,234060,407992,712597,1224431,2017499,3352405,5771495,10297374,18391119,31705170,50901681,74618268,97142291,114730165,121745104,113812161,94294285,69799097,47798546,30990440,19317638,11649259,6911489,4117075,2473251,1485207,889498,535587,326356,198940,121002,73319,43989,26040,15255,8712,4841,2596,1389,712,331,155,66,39,15,4,0"
coastline,1805,"53058,84576,138712,235150,410176,716886,1232795,2033445,3382783,5827554,10398612,18566013,31977813,51299499,75111198,97668541,115255205,122148434,114060326,94402540,69851529,47850361,31003334,19299064,11629605,6904150,4124388,2489467,1501879,901814,543233,330704,201604,122441,74159,44469,26323,15423,8820,4896,2617,1402,722,334,160,72,45,15,10,4"
coastline,1806,"53271,84923,139403,236455,412780,721965,1242650,2051851,3417086,5889997,10510086,18756158,32273663,51725917,75625992,98191002,115730038,122466481,114195529,94434805,69878178,47926610,31105292,19385202,11691274,6937851,4136519,2491689,1500740,900252,542135,330165,201262,122307,74114,44485,26333,15454,8846,4921,2627,1410,727,336,159,69,40,16,5,0"
coastline,1807,"53427,85187,139585,237263,414773,726326,1251623,2069339,3450562,5951809,10620828,18944352,32565203,52145163,76137088,98730155,116241975,122825104,114359694,94459149,69865963,47940150,31138548,19426359,11742263,6990796,4183187,2531940,1532031,920997,554252,336676,204981,124200,75104,45000,26598,15601,8923,4955,2650,1409,721,335,161,74,46,17,10,5"
coastline,1808,"53821,85793,140899,238842,417522,731647,1261968,2088698,3486506,6016808,10736329,19140764,32872046,52594624,76699369,99351426,116871515,123307599,114581368,94493396,69813170,47857136,31112894,19466196,11788306,7018048,4184653,2515603,1510767,903706,543061,330239,201024,122067,73913,44335,26243,15387,8800,4884,2606,1406,716,330,158,67,40,16,5,0"
coastline,1809,"54107,86233,141568,240257,420294,736979,1272169,2107715,3521950,6081401,10851565,19336681,33176666,53034057,77232484,99905825,117387440,123656176,114727273,94517797,69824835,47926127,31194571,19523961,11832826,7048278,4203983,2530750,1522166,910962,547187,332572,202487,122929,74466,44687,26470,15551,8902,4949,2640,1426,724,334,160,72,41,16,6,0"
coastline,1810,"54239,86476,141874,241635,423329,742967,1283822,2129863,3564151,6159973,10994209,19582464,33568510,53619544,77972097,100714675,118184688,124321977,115196937,94771058,69941752,47988928,31160653,19441039,11761217,7011281,4208029,2556606,1551520,934207,562516,341586,207873,125822,76044,45540,26917,15796,9039,5024,2678,1434,726,338,163,77,46,19,10,7"
coastline,1811,"54800,87326,143494,244335,427796,750674,1297596,2154677,3609379,6241939,11140223,19830773,33964279,54211534,78715282,101529681,118976078,124942534,115590903,94999137,70097081,48110637,31212085,19429700,11733262,6989682,4197608,2550788,1546463,930313,560086,340410,207153,125470,75884,45475,26911,15799,9045,5024,2683,1438,734,339,168,80,45,19,10,6"
coastline,1812,"55102,87824,144695,246161,431161,757181,1310271,2179082,3655101,6324918,11286830,20077017,34352897,54783886,79428766,102319091,119763693,125585342,116023165,95298135,70355554,48321635,31374595,19546334,11807759,7029155,4212796,2549194,1537788,922273,554949,337717,205417,124660,75459,45275,26834,15748,9011,5011,2675,1442,739,343,164,76,41,16,7,0"
coastline,1813,"54710,87138,143511,244895,429957,756783,1312624,2188016,3679327,6380232,11399615,20285484,34698346,55325402,80209967,103120572,120360883,125923113,116278638,95643918,70738751,48734132,31766302,19866294,12050117,7202183,4333387,2637318,1600749,963693,580495,353152,214875,130271,78850,47329,28049,16481,9449,5278,2822,1521,777,363,176,82,46,16,9,0"
coastline,1814,"55018,87637,144734,246936,433617,763383,1324471,2208912,3716534,6446443,11516522,20489068,35029894,55814447,80846997,103856707,121168072,126691820,116930438,96163882,71148861,49065595,32017547,20034841,12173283,7290096,4388260,2665297,1611437,966621,580917,353096,214472,130040,78711,47236,28001,16446,9427,5244,2811,1522,770,361,175,82,46,17,9,0"
coastline,1815,"55618,88539,145629,249054,437771,771485,1340684,2240351,3776440,6556137,11703418,20795044,35518363,56482090,81655824,104723982,121991888,127307496,117364707,96472827,71395488,49299575,32193552,20157733,12259412,7367532,4471659,2750534,1684381,1018106,612813,371470,225474,136053,82074,49122,29042,17042,9766,5427,2886,1555,779,368,185,91,53,26,10,10"
coastline,1816,"55868,88893,146790,250539,440162,775476,1347076,2250376,3793254,6586739,11770664,20935512,35749982,56900991,82244374,105457082,122918183,128340869,118337999,97266523,72007465,49696249,32403772,20257625,12289784,7364342,4458801,2728548,1660533,1000470,602683,366702,222771,134912,81581,48927,28989,17037,9768,5435,2900,1566,794,371,181,89,48,19,10,1"
coastline,1817,"56186,89373,147713,252369,443712,782289,1360028,2274407,3837656,6667463,11913895,21179907,36142784,57478531,82974609,106278712,123763742,129073256,118904392,97700387,72385335,50046033,32697831,20480053,12452850,7480245,4539851,2784079,1696441,1022203,615336,374070,227012,137361,83028,49781,29484,17328,9934,5531,2941,1584,808,380,186,90,50,20,10,2"
coastline,1818,"56474,89852,148751,254346,447603,789763,1374160,2300477,3885276,6753196,12063639,21430754,36541198,58050029,83677028,107042733,124510906,129678150,119326363,98044240,72733839,50446521,33127670,20870066,12774495,7714128,4687062,2869183,1742867,1046597,627881,380680,230353,139195,84043,50365,29843,17546,10052,5583,2976,1604,811,385,189,92,50,21,10,2"
coastline,1819,"57446,91388,151364,258157,453481,799187,1389712,2326418,3929705,6830253,12198071,21660702,36910787,58600064,84373009,107835401,125331709,130386897,119873283,98481067,73180986,50902291,33525922,21157395,12953735,7813977,4739817,2892733,1750093,1047631,627748,380456,230071,139122,83988,50343,29836,17511,10017,5553,2957,1593,810,382,187,92,50,22,10,2"
coastline,1820,"57802,91842,151642,259323,456048,804450,1400241,2346747,3968355,6902127,12327346,21883283,37270209,59129469,85035324,108570941,126064006,130975014,120309896,98833366,73594263,51354989,33951857,21482178,13158733,7944432,4839199,2980967,1822556,1098141,658967,399085,241329,145422,87684,52466,31070,18263,10463,5799,3086,1645,844,401,194,97,54,25,10,5"
