STAFF_NAME;College Name;Department;TEACH_TIME;TOTAL_VALID_TIME;PU 2012;PU 2013;PU 2014
anonymous teacher 10039271;COLLEGE OF HUMANITIES;SCHOOL OF APPLIED HUMAN SC;565.84;828.84;;;
anonymous teacher 10061942;"COLLEGE OF AGRICULTURE; ENGINEERING & SCIENCE";"SCHOOL OF MATHS;STATS &COMP SC";2465.23;3750.98;157.8;417.8;406.2
anonymous teacher 10088664;COLLEGE OF HEALTH SCIENCES;SCHOOL OF HEALTH SCIENCES;168.75;168.75;;;
anonymous teacher 10147828;"COLLEGE OF AGRICULTURE; ENGINEERING & SCIENCE";SCHOOL OF CHEMISTRY & PHYSICS;1089.24;1270.24;210;220;165.8
anonymous teacher 10154177;"COLLEGE OF AGRICULTURE; ENGINEERING & SCIENCE";SCHOOL OF ENGINEERING;375;375;;;
anonymous teacher 1023072;COLLEGE OF LAW & MANAGEMENT STUDIES;GRAD SCHOOL OF BUS &LEADERSHIP;112.44;112.44;;;
anonymous teacher 10237858;COLLEGE OF HUMANITIES;SCHOOL OF EDUCATION;90;90;;;
anonymous teacher 10252676;"COLLEGE OF AGRICULTURE; ENGINEERING & SCIENCE";SCHOOL OF LIFE SCIENCES;379.52;560.52;57;83.28;16
anonymous teacher 10255050;"COLLEGE OF AGRICULTURE; ENGINEERING & SCIENCE";SCHOOL OF ENGINEERING;52.47;52.47;;;
anonymous teacher 10281753;"COLLEGE OF AGRICULTURE; ENGINEERING & SCIENCE";SCHOOL OF ENGINEERING;204;204;;;
anonymous teacher 10296946;COLLEGE OF HUMANITIES;SCHOOL OF BUILT ENV & DEV STUD;970.43;1068.43;;;
anonymous teacher 10306348;COLLEGE OF HUMANITIES;SCHOOL OF EDUCATION;90;90;;;
anonymous teacher 1033653;"COLLEGE OF AGRICULTURE; ENGINEERING & SCIENCE";SCHOOL OF ENGINEERING;506.5;506.5;;;
anonymous teacher 10388547;"COLLEGE OF AGRICULTURE; ENGINEERING & SCIENCE";SCHOOL OF ENGINEERING;258.25;258.25;;;
anonymous teacher 10397668;COLLEGE OF HEALTH SCIENCES;SCHOOL OF CLINICAL MEDICINE;1244.75;1359.75;28.6;12;8.4
anonymous teacher 10401218;"COLLEGE OF AGRICULTURE; ENGINEERING & SCIENCE";"SCHOOL OF AGRI; EARTH & ENV SC";90;90;;;
anonymous teacher 10416632;COLLEGE OF HUMANITIES;SCHOOL OF EDUCATION;66;66;;;
anonymous teacher 10432413;COLLEGE OF HUMANITIES;SCHOOL OF EDUCATION;88.35;88.35;;;
anonymous teacher 10450393;COLLEGE OF LAW & MANAGEMENT STUDIES;"SCHOOL OF ACC; ECONOMICS&FIN";49.5;49.5;;;
anonymous teacher 10450419;COLLEGE OF HEALTH SCIENCES;SCHOOL OF CLINICAL MEDICINE;174.87;174.87;;;
anonymous teacher 1045355;COLLEGE OF HEALTH SCIENCES;SCHOOL OF CLINICAL MEDICINE;195;195;;76;8
anonymous teacher 10458408;COLLEGE OF HUMANITIES;"SCHOOL OF REL; PHIL & CLASSICS";243.34;243.34;;;
anonymous teacher 10462609;COLLEGE OF HEALTH SCIENCES;SCHOOL OF CLINICAL MEDICINE;297.75;297.75;;;
anonymous teacher 10474470;COLLEGE OF HEALTH SCIENCES;SCHOOL OF CLINICAL MEDICINE;600.75;600.75;;;
anonymous teacher 10516238;COLLEGE OF HUMANITIES;SCHOOL OF EDUCATION;1050.07;1050.07;;;
anonymous teacher 10532614;"COLLEGE OF AGRICULTURE; ENGINEERING & SCIENCE";"SCHOOL OF MATHS;STATS &COMP SC";1009.5;1009.5;;;
anonymous teacher 10566926;"COLLEGE OF AGRICULTURE; ENGINEERING & SCIENCE";"SCHOOL OF AGRI; EARTH & ENV SC";1286;1286;;;
anonymous teacher 10568716;COLLEGE OF LAW & MANAGEMENT STUDIES;COLLEGE ADMIN OFFICE:L&MS;55.12;55.12;;;
anonymous teacher 10585590;COLLEGE OF HUMANITIES;SCHOOL OF EDUCATION;281.29;847.29;90;19.8;
anonymous teacher 10611418;COLLEGE OF HUMANITIES;SCHOOL OF EDUCATION;526.12;1119.12;46;136;8
anonymous teacher 106208;COLLEGE OF HEALTH SCIENCES;SCHOOL OF CLINICAL MEDICINE;70;70;;;
anonymous teacher 10651017;"COLLEGE OF AGRICULTURE; ENGINEERING & SCIENCE";"SCHOOL OF AGRI; EARTH & ENV SC";951;1289;60;4;56.28
anonymous teacher 10663154;COLLEGE OF HEALTH SCIENCES;SCHOOL OF NURS & PUBLIC HEALTH;393.37;408.37;;;8
anonymous teacher 10667585;"COLLEGE OF AGRICULTURE; ENGINEERING & SCIENCE";SCHOOL OF ENGINEERING;1050.37;1050.37;;;
anonymous teacher 10671717;COLLEGE OF HUMANITIES;SCHOOL OF EDUCATION;90;90;;;
anonymous teacher 10682912;"COLLEGE OF AGRICULTURE; ENGINEERING & SCIENCE";"SCHOOL OF AGRI; EARTH & ENV SC";626.41;916.41;49.8;76;151.2
anonymous teacher 10686528;"COLLEGE OF AGRICULTURE; ENGINEERING & SCIENCE";"SCHOOL OF MATHS;STATS &COMP SC";390.62;390.62;;;
anonymous teacher 10699042;COLLEGE OF HUMANITIES;SCHOOL OF EDUCATION;92.98;92.98;;;
anonymous teacher 107213;"COLLEGE OF AGRICULTURE; ENGINEERING & SCIENCE";"SCHOOL OF AGRI; EARTH & ENV SC";1926.12;1926.12;;;
anonymous teacher 10736815;COLLEGE OF LAW & MANAGEMENT STUDIES;"SCHOOL OF ACC; ECONOMICS&FIN";108.75;108.75;;;
anonymous teacher 10779167;"COLLEGE OF AGRICULTURE; ENGINEERING & SCIENCE";SCHOOL OF LIFE SCIENCES;492;978;180;143.2;119
anonymous teacher 10931676;COLLEGE OF HEALTH SCIENCES;SCHOOL OF CLINICAL MEDICINE;1067.5;1067.5;;;
anonymous teacher 10934155;COLLEGE OF HUMANITIES;SCHOOL OF EDUCATION;0;45;37.8;30;30
anonymous teacher 10939005;COLLEGE OF HEALTH SCIENCES;SCHOOL OF CLINICAL MEDICINE;468.5;468.5;;;
anonymous teacher 10991814;"COLLEGE OF AGRICULTURE; ENGINEERING & SCIENCE";"SCHOOL OF MATHS;STATS &COMP SC";784.99;784.99;;;
anonymous teacher 1112729;COLLEGE OF LAW & MANAGEMENT STUDIES;"SCHOOL OF MAN; INFO TECH &GOV";74.25;104.25;;;
anonymous teacher 1113390;COLLEGE OF HEALTH SCIENCES;SCHOOL OF CLINICAL MEDICINE;382.5;382.5;;;
anonymous teacher 11134659;COLLEGE OF HEALTH SCIENCES;SCHOOL OF CLINICAL MEDICINE;745.62;745.62;59.4;18;54
anonymous teacher 11162146;"COLLEGE OF AGRICULTURE; ENGINEERING & SCIENCE";SCHOOL OF ENGINEERING;391.47;523.47;;;89.1
anonymous teacher 11182434;"COLLEGE OF AGRICULTURE; ENGINEERING & SCIENCE";SCHOOL OF ENGINEERING;342.25;342.25;;;
anonymous teacher 11199165;COLLEGE OF HUMANITIES;"SCHOOL OF REL; PHIL & CLASSICS";508.75;748.75;519;750;340
anonymous teacher 11225211;"COLLEGE OF AGRICULTURE; ENGINEERING & SCIENCE";SCHOOL OF ENGINEERING;48.06;48.06;;;
anonymous teacher 11252917;"COLLEGE OF AGRICULTURE; ENGINEERING & SCIENCE";"SCHOOL OF AGRI; EARTH & ENV SC";79.5;79.5;;;
anonymous teacher 11253190;COLLEGE OF HEALTH SCIENCES;SCHOOL OF HEALTH SCIENCES;0;270;167.2;182;291
anonymous teacher 11339535;"COLLEGE OF AGRICULTURE; ENGINEERING & SCIENCE";SCHOOL OF ENGINEERING;96.5;96.5;;;
anonymous teacher 11355902;COLLEGE OF LAW & MANAGEMENT STUDIES;COLLEGE ADMIN OFFICE:L&MS;100.12;100.12;;;
anonymous teacher 11390213;"COLLEGE OF AGRICULTURE; ENGINEERING & SCIENCE";"SCHOOL OF MATHS;STATS &COMP SC";3221.62;3221.62;;;
anonymous teacher 11396949;COLLEGE OF LAW & MANAGEMENT STUDIES;COLLEGE ADMIN OFFICE:L&MS;81;81;;;
anonymous teacher 11411006;COLLEGE OF HUMANITIES;"SCHOOL OF REL; PHIL & CLASSICS";373.84;373.84;;;
anonymous teacher 11486743;COLLEGE OF HEALTH SCIENCES;SCHOOL OF CLINICAL MEDICINE;591;726;25.5;126.15;135.5
anonymous teacher 11506402;COLLEGE OF HUMANITIES;SCHOOL OF ARTS;564;636;;;60
anonymous teacher 11530008;COLLEGE OF HUMANITIES;SCHOOL OF EDUCATION;633.04;633.04;;;
anonymous teacher 11553519;COLLEGE OF HUMANITIES;SCHOOL OF ARTS;1660.29;1720.29;;;
anonymous teacher 11587145;"COLLEGE OF AGRICULTURE; ENGINEERING & SCIENCE";"SCHOOL OF MATHS;STATS &COMP SC";447.62;447.62;;;
anonymous teacher 11587447;COLLEGE OF HUMANITIES;SCHOOL OF SOCIAL SCIENCES;364.5;949.5;;30;49.8
anonymous teacher 11600253;COLLEGE OF HUMANITIES;SCHOOL OF ARTS;1218.98;1231.98;;;
anonymous teacher 11606840;COLLEGE OF HEALTH SCIENCES;SCHOOL OF CLINICAL MEDICINE;150;150;;;
anonymous teacher 11611199;COLLEGE OF LAW & MANAGEMENT STUDIES;SCHOOL OF LAW;769.71;813.71;30;30;100
anonymous teacher 11699693;COLLEGE OF HUMANITIES;SCHOOL OF ARTS;690.25;690.25;;;
anonymous teacher 11733992;COLLEGE OF HUMANITIES;SCHOOL OF EDUCATION;61.28;61.28;;;
anonymous teacher 11757852;"COLLEGE OF AGRICULTURE; ENGINEERING & SCIENCE";SCHOOL OF CHEMISTRY & PHYSICS;745.87;1009.87;15;30;46
anonymous teacher 11771483;COLLEGE OF HUMANITIES;SCHOOL OF EDUCATION;698.75;991.75;;;60
anonymous teacher 11786715;COLLEGE OF HUMANITIES;"SCHOOL OF REL; PHIL & CLASSICS";4.02;4.02;;;
anonymous teacher 1181310;"COLLEGE OF AGRICULTURE; ENGINEERING & SCIENCE";"SCHOOL OF MATHS;STATS &COMP SC";3545.62;3545.62;;;
anonymous teacher 11847955;COLLEGE OF HUMANITIES;SCHOOL OF ARTS;621;621;;;
anonymous teacher 11882054;"COLLEGE OF AGRICULTURE; ENGINEERING & SCIENCE";SCHOOL OF LIFE SCIENCES;720.68;758.38;60;57.2;62.6
anonymous teacher 11969860;"COLLEGE OF AGRICULTURE; ENGINEERING & SCIENCE";SCHOOL OF ENGINEERING;88.67;88.67;;;
anonymous teacher 12029183;COLLEGE OF HUMANITIES;SCHOOL OF EDUCATION;745.75;745.75;;;
anonymous teacher 12051767;COLLEGE OF HUMANITIES;SCHOOL OF ARTS;1607.6;1607.6;;;
anonymous teacher 12097639;COLLEGE OF LAW & MANAGEMENT STUDIES;"SCHOOL OF ACC; ECONOMICS&FIN";351.15;351.15;;;
anonymous teacher 12203856;COLLEGE OF HUMANITIES;SCHOOL OF APPLIED HUMAN SC;480.74;480.74;;;
anonymous teacher 12208912;"COLLEGE OF AGRICULTURE; ENGINEERING & SCIENCE";"SCHOOL OF MATHS;STATS &COMP SC";194.99;284.99;120;60;60
anonymous teacher 12225961;COLLEGE OF HUMANITIES;SCHOOL OF EDUCATION;128.25;145.25;;;
anonymous teacher 12233456;COLLEGE OF HUMANITIES;SCHOOL OF ARTS;172.5;172.5;;;
anonymous teacher 12263650;COLLEGE OF LAW & MANAGEMENT STUDIES;GRAD SCHOOL OF BUS &LEADERSHIP;149.49;149.49;;;
anonymous teacher 12302614;"COLLEGE OF AGRICULTURE; ENGINEERING & SCIENCE";"SCHOOL OF AGRI; EARTH & ENV SC";179;179;;;
anonymous teacher 1233351;COLLEGE OF HUMANITIES;SCHOOL OF EDUCATION;756.5;835.5;;;
anonymous teacher 12409850;COLLEGE OF HUMANITIES;SCHOOL OF ARTS;928.87;928.87;;;
anonymous teacher 12456392;"COLLEGE OF AGRICULTURE; ENGINEERING & SCIENCE";SCHOOL OF CHEMISTRY & PHYSICS;505.5;799.5;150;120;16
anonymous teacher 12485324;COLLEGE OF HEALTH SCIENCES;SCHOOL OF CLINICAL MEDICINE;297.75;297.75;;;
anonymous teacher 12510015;"COLLEGE OF AGRICULTURE; ENGINEERING & SCIENCE";SCHOOL OF ENGINEERING;164.5;164.5;;;
anonymous teacher 12525891;COLLEGE OF HEALTH SCIENCES;SCHOOL OF CLINICAL MEDICINE;373.25;373.25;;;
anonymous teacher 12567787;COLLEGE OF HUMANITIES;SCHOOL OF EDUCATION;90;90;;;
anonymous teacher 12583697;"COLLEGE OF AGRICULTURE; ENGINEERING & SCIENCE";"SCHOOL OF MATHS;STATS &COMP SC";267.03;447.03;107.6;98;79.8
anonymous teacher 12607547;"COLLEGE OF AGRICULTURE; ENGINEERING & SCIENCE";"SCHOOL OF AGRI; EARTH & ENV SC";167;167;;;
anonymous teacher 12646477;"COLLEGE OF AGRICULTURE; ENGINEERING & SCIENCE";"SCHOOL OF AGRI; EARTH & ENV SC";351;351;;;
anonymous teacher 12652495;COLLEGE OF HUMANITIES;SCHOOL OF EDUCATION;0;210;66.92;46;16
anonymous teacher 12747195;COLLEGE OF HEALTH SCIENCES;SCHOOL OF CLINICAL MEDICINE;391.6;391.6;;;
anonymous teacher 12822848;COLLEGE OF HUMANITIES;SCHOOL OF EDUCATION;90;90;;;
anonymous teacher 12824912;COLLEGE OF HUMANITIES;SCHOOL OF BUILT ENV & DEV STUD;168;168;;;
anonymous teacher 1283516;COLLEGE OF HUMANITIES;SCHOOL OF EDUCATION;347.14;347.14;;;
anonymous teacher 12866137;COLLEGE OF HEALTH SCIENCES;SCHOOL OF CLINICAL MEDICINE;75;75;;;
anonymous teacher 12884302;"COLLEGE OF AGRICULTURE; ENGINEERING & SCIENCE";"SCHOOL OF MATHS;STATS &COMP SC";1011;1011;;;
anonymous teacher 12901215;COLLEGE OF HUMANITIES;SCHOOL OF SOCIAL SCIENCES;652.37;1046.37;412.5;775;721
anonymous teacher 12909750;"COLLEGE OF AGRICULTURE; ENGINEERING & SCIENCE";SCHOOL OF LIFE SCIENCES;696.48;696.48;;;
anonymous teacher 12948881;COLLEGE OF HUMANITIES;"SCHOOL OF REL; PHIL & CLASSICS";135.87;135.87;;;
anonymous teacher 12954208;COLLEGE OF HUMANITIES;SCHOOL OF ARTS;928.87;928.87;;;
anonymous teacher 12973519;"COLLEGE OF AGRICULTURE; ENGINEERING & SCIENCE";"SCHOOL OF AGRI; EARTH & ENV SC";381.12;1209.12;228;228.2;215.8
anonymous teacher 12999057;COLLEGE OF HUMANITIES;SCHOOL OF EDUCATION;90;90;;;
anonymous teacher 13033022;"COLLEGE OF AGRICULTURE; ENGINEERING & SCIENCE";SCHOOL OF ENGINEERING;745.24;745.24;;;
anonymous teacher 13065513;COLLEGE OF LAW & MANAGEMENT STUDIES;GRAD SCHOOL OF BUS &LEADERSHIP;466.87;1186.87;;;
anonymous teacher 13107078;COLLEGE OF HUMANITIES;SCHOOL OF EDUCATION;809.35;1001.35;60;;60
anonymous teacher 13154135;COLLEGE OF LAW & MANAGEMENT STUDIES;"SCHOOL OF ACC; ECONOMICS&FIN";434.47;434.47;;;
anonymous teacher 13156370;COLLEGE OF HUMANITIES;SCHOOL OF EDUCATION;132.76;132.76;;;
anonymous teacher 13195284;"COLLEGE OF AGRICULTURE; ENGINEERING & SCIENCE";SCHOOL OF CHEMISTRY & PHYSICS;2076.25;2227.25;;;
anonymous teacher 1321029;COLLEGE OF HUMANITIES;SCHOOL OF SOCIAL SCIENCES;680.61;680.61;;;
anonymous teacher 1324592;"COLLEGE OF AGRICULTURE; ENGINEERING & SCIENCE";SCHOOL OF ENGINEERING;594.25;767.25;60;150;98
anonymous teacher 13304957;COLLEGE OF HUMANITIES;SCHOOL OF EDUCATION;601.21;601.21;;;
anonymous teacher 13336793;"COLLEGE OF AGRICULTURE; ENGINEERING & SCIENCE";SCHOOL OF ENGINEERING;382;382;;;
anonymous teacher 13384289;COLLEGE OF HEALTH SCIENCES;SCHOOL OF CLINICAL MEDICINE;75;75;;;
anonymous teacher 13406083;COLLEGE OF HUMANITIES;SCHOOL OF EDUCATION;90;90;;;
anonymous teacher 13410162;COLLEGE OF HUMANITIES;SCHOOL OF EDUCATION;120.08;120.08;;;
anonymous teacher 13417360;COLLEGE OF HUMANITIES;"SCHOOL OF REL; PHIL & CLASSICS";685.41;1157.91;;;120
anonymous teacher 13471652;"COLLEGE OF AGRICULTURE; ENGINEERING & SCIENCE";SCHOOL OF ENGINEERING;668.37;668.37;;;
anonymous teacher 13481324;"COLLEGE OF AGRICULTURE; ENGINEERING & SCIENCE";SCHOOL OF CHEMISTRY & PHYSICS;573.75;573.75;;;
