country,time,owid_education_idx
afg,1870,0.06667
afg,1875,0.06667
afg,1880,0.06667
afg,1885,0.06667
afg,1890,0.06667
afg,1895,0.06667
afg,1900,0.06667
afg,1905,0.06667
afg,1910,0.06667
afg,1915,0.13333
afg,1920,0.2
afg,1925,0.26667
afg,1930,0.26667
afg,1935,0.33333
afg,1940,0.4
afg,1945,0.6
afg,1950,0.86667
afg,1955,1.2
afg,1960,1.46667
afg,1965,1.93333
afg,1970,2.33333
afg,1975,4.13333
afg,1980,5.2
afg,1985,7.73333
afg,1990,9.93333
afg,1991,10.66667
afg,1992,10.66667
afg,1993,11.33333
afg,1994,12
afg,1995,12.66667
afg,1996,12.66667
afg,1997,13.33333
afg,1998,13.33333
afg,1999,14
afg,2000,14.66667
afg,2001,14.66667
afg,2002,15.33333
afg,2003,16
afg,2004,16.66667
afg,2005,17.33333
afg,2006,18
afg,2007,19.33333
afg,2008,20
afg,2009,20.66667
afg,2010,21.33333
afg,2011,22
afg,2012,22.66667
afg,2013,23.33333
afg,2014,23.33333
afg,2015,24
afg,2016,24
afg,2017,25.33333
ago,1999,29.33333
ago,2000,29.33333
ago,2001,29.33333
ago,2002,29.33333
ago,2003,29.33333
ago,2004,29.33333
ago,2005,29.33333
ago,2006,30
ago,2007,30
ago,2008,30.66667
ago,2009,31.33333
ago,2010,31.33333
ago,2011,31.33333
ago,2012,32
ago,2013,32.66667
ago,2014,32.66667
ago,2015,33.33333
ago,2016,34
ago,2017,34
alb,1870,0.13333
alb,1875,0.13333
alb,1880,0.13333
alb,1885,0.2
alb,1890,0.26667
alb,1895,0.26667
alb,1900,0.4
alb,1905,0.46667
alb,1910,0.6
alb,1915,1.13333
alb,1920,1.93333
alb,1925,3
alb,1930,4.2
alb,1935,5.46667
alb,1940,6.86667
alb,1945,8.53333
alb,1950,15.4
alb,1955,17.26667
alb,1960,15.46667
alb,1965,19.4
alb,1970,22.06667
alb,1975,26.53333
alb,1980,33
alb,1985,45
alb,1990,52.2
alb,1991,52
alb,1992,52
alb,1993,52
alb,1994,52
alb,1995,53.33333
alb,1996,54.66667
alb,1997,55.33333
alb,1998,56.66667
alb,1999,57.33333
alb,2000,58.66667
alb,2001,58
alb,2002,60
alb,2003,60
alb,2004,60.66667
alb,2005,60.66667
alb,2006,61.33333
alb,2007,61.33333
alb,2008,61.33333
alb,2009,62
alb,2010,62
alb,2011,62
alb,2012,64
alb,2013,64.66667
alb,2014,64.66667
alb,2015,64.66667
alb,2016,66.66667
alb,2017,66.66667
and,2000,44.66667
and,2001,47.33333
and,2002,50.66667
and,2003,67.33333
and,2004,70
and,2005,65.33333
and,2006,67.33333
and,2007,67.33333
and,2008,67.33333
and,2009,67.33333
and,2010,67.33333
and,2011,68
and,2012,68
and,2013,68
and,2014,68
and,2015,68
and,2016,68
and,2017,68
are,1950,4.4
are,1955,6.13333
are,1960,9.2
are,1965,12.4
are,1970,15.93333
are,1975,19.73333
are,1980,23.93333
are,1985,29.8
are,1990,37.53333
are,1991,39.33333
are,1992,41.33333
are,1993,43.33333
are,1994,45.33333
are,1995,47.33333
are,1996,48.66667
are,1997,50.66667
are,1998,52
are,1999,53.33333
are,2000,55.33333
are,2001,56
are,2002,57.33333
are,2003,58
are,2004,59.33333
are,2005,60.66667
are,2006,62
are,2007,62.66667
are,2008,64
are,2009,64.66667
are,2010,66
are,2011,66.66667
are,2012,68
are,2013,68.66667
are,2014,70
are,2015,70.66667
are,2016,72
are,2017,72
arg,1870,1.86667
arg,1875,2.33333
arg,1880,2.93333
arg,1885,3.6
arg,1890,4.26667
arg,1895,4.73333
arg,1900,5.2
arg,1905,6.13333
arg,1910,10.8
arg,1915,14.53333
arg,1920,17.33333
arg,1925,19.6
arg,1930,22.66667
arg,1935,25.33333
arg,1940,27.8
arg,1945,29.8
arg,1950,30.66667
arg,1955,33.26667
arg,1960,35.46667
arg,1965,37.33333
arg,1970,39.46667
arg,1975,42.86667
arg,1980,44.8
arg,1985,49.66667
arg,1990,52.53333
arg,1991,53.33333
arg,1992,53.33333
arg,1993,54
arg,1994,54.66667
arg,1995,55.33333
arg,1996,56.66667
arg,1997,57.33333
arg,1998,58.66667
arg,1999,59.33333
arg,2000,60.66667
arg,2001,60.66667
arg,2002,61.33333
arg,2003,62
arg,2004,61.33333
arg,2005,60.66667
arg,2006,60
arg,2007,59.33333
arg,2008,59.33333
arg,2009,62
arg,2010,65.33333
arg,2011,65.33333
arg,2012,65.33333
arg,2013,65.33333
arg,2014,65.33333
