country,time,bwelfr_idea
aus,1978,67.14342
aus,1979,67.14342
aus,1980,69.7349
aus,1981,70.39839
aus,1982,70.39839
aus,1983,70.61684
aus,1984,71.4816
aus,1985,71.60628
aus,1986,71.4816
aus,1987,71.4816
aus,1988,73.88026
aus,1989,75.12263
aus,1990,75.12263
aus,1991,75.12263
aus,1992,78.04873
aus,1993,77.91437
aus,1994,77.91437
aus,1995,78.25837
aus,1996,79.43118
aus,1997,79.43118
aus,1998,79.32117
aus,1999,79.32117
aus,2000,79.32117
aus,2001,83.02587
aus,2002,83.55791
aus,2003,85.2414
aus,2004,85.2414
aus,2005,85.2414
aus,2006,85.37447
aus,2007,85.37447
aus,2008,85.37447
aus,2009,86.06461
aus,2010,86.23225
aus,2011,86.23225
aus,2012,86.23225
aus,2013,90.48238
aus,2014,90.82471
aus,2015,90.3331
aus,2016,90.66815
aus,2017,90.3331
aus,2018,90.3331
aus,2019,90.23876
aut,1975,61.28138
aut,1976,61.95054
aut,1977,64.11621
aut,1978,64.41571
aut,1979,64.41571
aut,1980,67.10776
aut,1981,67.10776
aut,1982,67.10776
aut,1983,67.10776
aut,1984,67.92488
aut,1985,70.23213
aut,1986,70.32154
aut,1987,70.99196
aut,1988,70.99196
aut,1989,73.48475
aut,1990,74.4713
aut,1991,74.5734
aut,1992,74.5734
aut,1993,77.39536
aut,1994,77.55322
aut,1995,78.46172
aut,1996,78.62934
aut,1997,82.2365
aut,1998,82.49468
aut,1999,82.49468
aut,2000,84.11612
aut,2001,84.11612
aut,2002,84.11612
aut,2003,84.11612
aut,2004,84.50795
aut,2005,84.50795
aut,2006,84.50795
aut,2007,84.50795
aut,2008,86.30201
aut,2009,86.30201
aut,2010,86.86434
aut,2011,93.16424
aut,2012,93.16424
aut,2013,93.16424
aut,2014,93.16424
aut,2015,93.16424
aut,2016,93.16424
aut,2017,91.98683
aut,2018,98.25851
aut,2019,99.16098
aze,1991,40.21553
aze,1992,39.91062
aze,1993,38.3607
aze,1994,38.19356
aze,1995,38.19356
aze,1996,39.00368
aze,1997,38.40844
aze,1998,40.92926
aze,1999,41.08914
aze,2000,40.80381
aze,2001,43.14696
aze,2002,43.29441
aze,2003,46.35847
aze,2004,46.49623
aze,2005,46.74955
aze,2006,50.0288
aze,2007,50.0288
aze,2008,52.57496
aze,2009,53.32058
aze,2010,53.32058
aze,2011,55.96265
aze,2012,56.67894
aze,2013,56.80307
aze,2014,59.17867
aze,2015,59.17867
aze,2016,59.74436
aze,2017,62.06438
aze,2018,62.17757
aze,2019,62.16873
bdi,1975,12.18041
bdi,1976,12.18041
bdi,1977,18.09466
bdi,1978,18.09466
bdi,1979,18.09466
bdi,1980,18.13925
bdi,1981,18.13925
bdi,1982,22.9976
bdi,1983,22.9976
bdi,1984,22.9976
bdi,1985,26.20082
bdi,1986,26.20082
bdi,1987,26.20082
bdi,1988,26.48232
bdi,1989,26.48232
bdi,1990,26.67256
bdi,1991,26.67256
bdi,1992,23.52388
bdi,1993,23.62336
bdi,1994,24.04535
bdi,1995,24.04535
bdi,1996,27.06774
bdi,1997,27.25348
bdi,1998,27.25348
bdi,1999,27.25348
bdi,2000,27.40398
bdi,2001,28.52809
bdi,2002,30.8735
bdi,2003,30.8735
bdi,2004,30.8735
bdi,2005,33.967
bdi,2006,33.967
bdi,2007,33.81525
bdi,2008,36.57253
bdi,2009,36.78771
bdi,2010,38.97676
bdi,2011,39.55035
bdi,2012,39.55035
bdi,2013,41.58258
bdi,2014,41.58258
bdi,2015,41.61912
bdi,2016,44.28477
bdi,2017,44.0727
bdi,2018,44.23496
bdi,2019,44.84963
bel,1975,63.93979
bel,1976,63.93979
bel,1977,64.52633
bel,1978,66.88195
bel,1979,66.88195
bel,1980,67.14052
bel,1981,67.74412
bel,1982,67.82961
bel,1983,70.2975
bel,1984,70.60168
bel,1985,71.17734
bel,1986,71.27322
bel,1987,71.27322
bel,1988,72.18438
bel,1989,74.79229
bel,1990,74.79229
bel,1991,74.89948
bel,1992,74.89948
bel,1993,74.89948
bel,1994,79.32301
bel,1995,79.32301
bel,1996,79.32301
bel,1997,79.32301
bel,1998,79.32301
bel,1999,83.01545
bel,2000,83.43465
bel,2001,83.43465
bel,2002,85.02436
bel,2003,85.02436
bel,2004,85.02436
bel,2005,85.02436
bel,2006,85.57665
bel,2007,85.57665
bel,2008,85.57665
bel,2009,85.57665
bel,2010,85.57665
bel,2011,94.57626
bel,2012,94.57626
bel,2013,97.28121
bel,2014,97.28121
bel,2015,97.28121
bel,2016,97.28121
bel,2017,97.28121
bel,2018,94.78598
bel,2019,94.78598
ben,1975,12.73975
ben,1976,12.73975
ben,1977,12.73975
ben,1978,17.50308
ben,1979,18.05853
ben,1980,17.50308
ben,1981,21.66206
ben,1982,21.66206
ben,1983,21.66206
ben,1984,21.96515
ben,1985,23.17114
ben,1986,23.63815
ben,1987,23.36681
ben,1988,23.63815
ben,1989,24.82365
ben,1990,28.12528
ben,1991,28.42125
ben,1992,28.28994
ben,1993,28.28994
ben,1994,28.42125
ben,1995,28.42125
ben,1996,28.52943
ben,1997,30.91239
ben,1998,31.13935
ben,1999,31.13935
ben,2000,31.82944
ben,2001,31.93859
ben,2002,32.1959
ben,2003,31.9792
ben,2004,34.30716
ben,2005,34.58175
ben,2006,34.78513
ben,2007,35.52067
ben,2008,35.52067
ben,2009,35.52067
ben,2010,35.52067
ben,2011,35.58454
ben,2012,37.70623
ben,2013,37.79294
ben,2014,38.11537
ben,2015,38.67101
ben,2016,38.67101
ben,2017,38.69394
ben,2018,38.80881
ben,2019,40.97824
bfa,1975,12.66468
bfa,1976,12.66468
bfa,1977,20.22302
bfa,1978,20.22302
bfa,1979,20.22302
bfa,1980,21.7215
bfa,1981,21.7215
bfa,1982,21.7215
bfa,1983,21.7215
bfa,1984,21.7215
bfa,1985,25.16717
bfa,1986,25.63641
bfa,1987,25.41335
bfa,1988,25.41335
bfa,1989,25.63641
bfa,1990,26.1196
bfa,1991,25.71992
bfa,1992,25.82905
bfa,1993,25.82905
bfa,1994,25.91201
bfa,1995,25.91201
bfa,1996,25.91201
bfa,1997,26.82283
bfa,1998,26.82283
bfa,1999,29.53725
bfa,2000,29.247
bfa,2001,29.34353
bfa,2002,29.42253
bfa,2003,29.4851
bfa,2004,29.4851
bfa,2005,30.26921
bfa,2006,32.66052
bfa,2007,32.77012
bfa,2008,33.57782
bfa,2009,35.72596
bfa,2010,35.78294
bfa,2011,35.72596
bfa,2012,36.51618
bfa,2013,38.57789
bfa,2014,38.6634
bfa,2015,38.72958
bfa,2016,38.78918
bfa,2017,41.46117
bfa,2018,41.68488
bfa,2019,41.71926
bgd,1975,17.45852
bgd,1976,18.37363
bgd,1977,18.65118
bgd,1978,19.41861
bgd,1979,19.41861
bgd,1980,19.487
bgd,1981,19.487
bgd,1982,20.36928
bgd,1983,24.20762
bgd,1984,23.9634
bgd,1985,24.20762
bgd,1986,24.56487
bgd,1987,24.76616
bgd,1988,24.76616
bgd,1989,27.75979
bgd,1990,28.45876
bgd,1991,28.76597
bgd,1992,31.45064
bgd,1993,31.4539
bgd,1994,31.4539
bgd,1995,31.60965
bgd,1996,34.1532
bgd,1997,34.43139
bgd,1998,34.97482
bgd,1999,37.56864
bgd,2000,37.56864
bgd,2001,37.9653
bgd,2002,40.20782
bgd,2003,40.31944
bgd,2004,40.53535
bgd,2005,43.23718
bgd,2006,43.23718
bgd,2007,43.35219
bgd,2008,46.0907
bgd,2009,46.28349
bgd,2010,46.47972
bgd,2011,49.56368
bgd,2012,49.56368
bgd,2013,49.63193
bgd,2014,49.75258
bgd,2015,53.07614
bgd,2016,53.15961
bgd,2017,53.23878
bgd,2018,55.8885
bgd,2019,56.28423
bgr,1975,59.73862
bgr,1976,60.53195
bgr,1977,59.73862
bgr,1978,59.76627
bgr,1979,62.5244
bgr,1980,62.16263
bgr,1981,62.75219
bgr,1982,62.16263
bgr,1983,62.75219
bgr,1984,64.8826
bgr,1985,64.46974
bgr,1986,65.10304
bgr,1987,65.10304
bgr,1988,65.10304
bgr,1989,65.10304
bgr,1990,64.38119
bgr,1991,64.28641
bgr,1992,64.35756
bgr,1993,64.35756
bgr,1994,63.82197
bgr,1995,63.82197
bgr,1996,63.61505
bgr,1997,63.73773
bgr,1998,63.81348
bgr,1999,64.35396
bgr,2000,64.25139
bgr,2001,66.46566
bgr,2002,66.46566
bgr,2003,66.37622
bgr,2004,66.91463
bgr,2005,69.2842
bgr,2006,69.2842
bgr,2007,69.2842
bgr,2008,69.36492
bgr,2009,69.36492
bgr,2010,69.85906
bgr,2011,72.48818
bgr,2012,72.48818
bgr,2013,72.88541
bgr,2014,72.9032
bgr,2015,72.7611
bgr,2016,75.59771
bgr,2017,75.51424
bgr,2018,75.51424
bgr,2019,75.39486
bhr,1975,49.00669
bhr,1976,49.69467
bhr,1977,49.69467
bhr,1978,52.22585
bhr,1979,53.18838
bhr,1980,53.26554
bhr,1981,55.7022
bhr,1982,56.43513
bhr,1983,56.4721
bhr,1984,56.54242
bhr,1985,56.54242
bhr,1986,59.52188
bhr,1987,59.55997
bhr,1988,59.55997
bhr,1989,59.64911
bhr,1990,60.24385
bhr,1991,60.40564
bhr,1992,60.40564
bhr,1993,60.40564
bhr,1994,62.64202
bhr,1995,62.64202
bhr,1996,63.24124
bhr,1997,65.42699
bhr,1998,65.49356
bhr,1999,65.6413
bhr,2000,68.69227
bhr,2001,68.69227
bhr,2002,68.69227
bhr,2003,68.84282
bhr,2004,68.84282
bhr,2005,68.84282
bhr,2006,69.54438
bhr,2007,72.05258
bhr,2008,72.1263
bhr,2009,72.1263
bhr,2010,72.21266
bhr,2011,72.00293
bhr,2012,74.63001
bhr,2013,74.72814
bhr,2014,75.96715
bhr,2015,75.96715
bhr,2016,76.13268
bhr,2017,76.13268
bhr,2018,76.13268
bhr,2019,76.0328
bih,1992,61.13286
bih,1993,63.04528
bih,1994,63.23621
bih,1995,63.88475
bih,1996,67.30323
bih,1997,68.0318
bih,1998,68.27866
bih,1999,68.24154
bih,2000,70.20912
bih,2001,71.46017
bih,2002,71.46017
bih,2003,71.37048
bih,2004,71.68607
bih,2005,71.68607
bih,2006,71.76557
bih,2007,72.65393
bih,2008,72.65393
bih,2009,75.07232
bih,2010,75.07232
bih,2011,75.64371
bih,2012,75.30651
bih,2013,75.44516
bih,2014,76.29846
bih,2015,76.44807
bih,2016,76.72976
bih,2017,76.61751
bih,2018,79.74292
bih,2019,79.81513
blr,1991,66.68717
blr,1992,66.67256
blr,1993,66.73596
blr,1994,66.73596
blr,1995,66.73596
blr,1996,67.06554
blr,1997,67.06554
blr,1998,67.06554
blr,1999,69.53996
blr,2000,69.62829
blr,2001,69.76958
blr,2002,72.57277
blr,2003,72.34769
blr,2004,72.44996
blr,2005,76.16835
blr,2006,76.3236
blr,2007,76.51104
blr,2008,80.60628
blr,2009,80.60628
blr,2010,80.99935
blr,2011,81.9615
blr,2012,82.67671
blr,2013,87.50144
blr,2014,87.75733
blr,2015,87.50965
blr,2016,87.02492
blr,2017,87.02492
blr,2018,87.02492
blr,2019,87.56868
bol,1975,21.95644
bol,1976,25.27352
bol,1977,25.2022
bol,1978,25.38733
bol,1979,26.52556
bol,1980,26.46054
bol,1981,26.46054
bol,1982,29.03323
bol,1983,29.38172
bol,1984,29.38172
bol,1985,30.52066
bol,1986,30.4343
bol,1987,32.78512
bol,1988,32.78512
bol,1989,33.62697
bol,1990,33.80887
bol,1991,33.80887
bol,1992,35.98473
bol,1993,36.77815
bol,1994,36.77815
bol,1995,37.2433
bol,1996,39.1386
bol,1997,39.92565
bol,1998,39.84187
bol,1999,41.92517
bol,2000,42.03248
bol,2001,42.74978
bol,2002,44.53077
bol,2003,44.59194
bol,2004,44.53077
bol,2005,46.65778
bol,2006,47.30218
bol,2007,47.34138
bol,2008,49.71645
bol,2009,49.71645
bol,2010,50.69446
bol,2011,53.07457
bol,2012,53.88058
bol,2013,53.92732
bol,2014,53.92732
bol,2015,56.79636
bol,2016,56.93817
bol,2017,56.95726
bol,2018,56.82221
bol,2019,59.54952
bra,1975,33.44449
bra,1976,33.71079
bra,1977,33.71079
bra,1978,33.90463
bra,1979,36.22155
bra,1980,36.22155
bra,1981,36.87569
bra,1982,36.87569
bra,1983,39.02522
bra,1984,39.13578
bra,1985,39.13578
bra,1986,39.49435
bra,1987,41.54157
bra,1988,42.54558
bra,1989,42.65098
bra,1990,42.89787
bra,1991,45.21494
bra,1992,45.21494
bra,1993,45.21494
bra,1994,48.0262
bra,1995,48.13589
bra,1996,48.53182
bra,1997,51.42805
bra,1998,51.42805
bra,1999,51.48586
bra,2000,53.7617
bra,2001,54.37626
bra,2002,54.63904
bra,2003,57.00558
bra,2004,57.59387
bra,2005,57.59387
bra,2006,59.725
bra,2007,60.44321
bra,2008,60.52034
bra,2009,60.52034
bra,2010,63.26782
bra,2011,63.39967
bra,2012,63.55781
bra,2013,64.0286
bra,2014,64.0286
bra,2015,64.0286
bra,2016,63.90127
bra,2017,66.96354
bra,2018,66.96354
bra,2019,66.96354
brb,1975,52.88265
brb,1976,56.13731
brb,1977,56.13731
brb,1978,56.96845
brb,1979,59.14412
brb,1980,59.35241
brb,1981,60.10486
brb,1982,59.86127
brb,1983,62.16996
brb,1984,62.6777
brb,1985,62.6777
brb,1986,62.99974
brb,1987,62.99974
brb,1988,62.99974
brb,1989,65.93162
brb,1990,65.80667
brb,1991,65.74835
brb,1992,65.74835
brb,1993,65.6224
brb,1994,66.1225
brb,1995,68.45497
brb,1996,68.53081
brb,1997,68.65161
brb,1998,68.87433
brb,1999,68.99399
brb,2000,68.87433
brb,2001,66.59738
brb,2002,66.59738
brb,2003,66.59738
brb,2004,66.59738
brb,2005,66.74965
brb,2006,66.85212
brb,2007,67.17492
brb,2008,69.55447
brb,2009,69.55447
brb,2010,69.55447
brb,2011,69.81197
brb,2012,69.81197
brb,2013,69.81197
brb,2014,69.81197
brb,2015,69.81197
brb,2016,70.13209
brb,2017,70.13209
brb,2018,70.00735
brb,2019,72.41164
bwa,1975,36.48759
bwa,1976,36.48759
bwa,1977,36.48759
bwa,1978,39.18335
bwa,1979,39.34677
bwa,1980,39.34677
bwa,1981,41.59035
bwa,1982,41.59035
bwa,1983,42.31729
bwa,1984,42.4855
bwa,1985,44.64429
bwa,1986,44.64429
bwa,1987,44.86584
bwa,1988,44.86584
bwa,1989,44.24596
bwa,1990,44.50567
bwa,1991,44.50567
bwa,1992,44.38658
bwa,1993,44.17525
bwa,1994,42.04818
bwa,1995,42.04818
bwa,1996,42.20692
bwa,1997,42.09908
bwa,1998,41.90604
bwa,1999,42.41878
bwa,2000,42.53685
bwa,2001,42.62612
bwa,2002,42.62612
bwa,2003,42.75906
bwa,2004,43.11531
bwa,2005,45.72751
bwa,2006,45.67211
bwa,2007,45.67211
bwa,2008,45.88876
bwa,2009,46.29411
bwa,2010,46.37637
bwa,2011,46.75559
bwa,2012,49.70882
bwa,2013,49.70882
bwa,2014,50.33422
bwa,2015,50.41618
bwa,2016,51.08103
bwa,2017,53.34406
bwa,2018,53.94549
bwa,2019,53.8525
caf,1975,19.97616
caf,1976,23.57251
caf,1977,23.63074
caf,1978,23.57251
caf,1979,23.57251
caf,1980,23.595
caf,1981,23.595
caf,1982,24.93923
caf,1983,24.801
caf,1984,24.40065
caf,1985,24.14692
caf,1986,24.14692
caf,1987,24.56587
caf,1988,23.38833
caf,1989,23.6804
caf,1990,23.71764
caf,1991,23.97782
caf,1992,23.71764
caf,1993,23.39248
caf,1994,23.39248
caf,1995,23.95679
caf,1996,22.80935
caf,1997,23.1247
caf,1998,23.1247
caf,1999,23.1247
caf,2000,23.1247
caf,2001,23.1247
caf,2002,23.36643
caf,2003,23.15576
caf,2004,23.15576
caf,2005,23.15576
caf,2006,22.87782
caf,2007,26.62849
caf,2008,27.53417
caf,2009,27.53417
caf,2010,27.53417
caf,2011,27.53417
caf,2012,27.53417
caf,2013,26.56255
caf,2014,27.57437
caf,2015,30.14263
caf,2016,30.14263
caf,2017,29.36528
caf,2018,30.43769
caf,2019,30.53796
can,1975,64.93152
can,1976,67.12144
can,1977,67.00985
can,1978,67.74145
can,1979,69.98322
can,1980,70.19789
can,1981,70.82047
can,1982,71.1156
can,1983,71.23262
can,1984,73.76755
can,1985,74.14627
can,1986,74.28404
can,1987,75.29747
can,1988,75.05398
can,1989,75.43242
can,1990,78.37712
can,1991,78.48772
can,1992,78.48772
can,1993,78.62345
can,1994,78.77968
can,1995,80.00229
can,1996,80.00229
can,1997,80.69434
can,1998,80.9093
can,1999,80.9093
can,2000,80.9093
can,2001,80.9093
can,2002,80.9093
can,2003,80.9093
can,2004,80.9093
can,2005,80.9093
can,2006,82.11796
can,2007,82.11796
can,2008,86.73756
can,2009,86.73756
can,2010,87.02363
can,2011,87.02363
can,2012,87.02363
can,2013,86.35568
can,2014,86.35568
can,2015,86.0586
can,2016,86.0586
can,2017,86.686
can,2018,86.686
can,2019,86.686
che,1975,68.44177
che,1976,70.71234
che,1977,70.90885
che,1978,71.10821
che,1979,71.80191
che,1980,74.36517
che,1981,74.36517
che,1982,74.57868
che,1983,74.57868
che,1984,75.4968
che,1985,75.36015
che,1986,75.4968
che,1987,75.77847
che,1988,75.77847
che,1989,78.82814
che,1990,78.82814
che,1991,78.65194
che,1992,79.17849
che,1993,80.22171
che,1994,80.22171
che,1995,80.03932
che,1996,84.20357
che,1997,84.20357
che,1998,84.75208
che,1999,84.75208
che,2000,85.02059
che,2001,84.75208
che,2002,86.7428
che,2003,86.7428
che,2004,86.7428
che,2005,87.15809
che,2006,87.44469
che,2007,87.44469
che,2008,87.44469
che,2009,87.44469
che,2010,87.44469
che,2011,87.44469
che,2012,87.15809
