country,time,fppart_idea
afg,1975,26.42584
afg,1976,26.42584
afg,1977,20.56436
afg,1978,19.44513
afg,1979,17.53144
afg,1980,17.53144
afg,1981,17.53144
afg,1982,17.53144
afg,1983,17.53144
afg,1984,17.53144
afg,1985,17.53144
afg,1986,17.53144
afg,1987,17.53144
afg,1988,23.23278
afg,1989,22.23975
afg,1990,22.23975
afg,1991,24.64282
afg,1992,26.01229
afg,1993,24.76877
afg,1994,24.76877
afg,1995,24.76877
afg,1996,20.15596
afg,1997,11.62147
afg,1998,11.62147
afg,1999,11.62147
afg,2000,11.62147
afg,2001,17.53144
afg,2002,50.10926
afg,2003,50.10926
afg,2004,51.11928
afg,2005,53.50922
afg,2006,53.50922
afg,2007,53.50922
afg,2008,53.50922
afg,2009,53.50922
afg,2010,52.084
afg,2011,52.084
afg,2012,52.084
afg,2013,51.11797
afg,2014,47.86789
afg,2015,47.86789
afg,2016,47.95934
afg,2017,47.36816
afg,2018,47.42999
afg,2019,50.69243
ago,1975,7.28822
ago,1976,10.97666
ago,1977,10.97666
ago,1978,10.97666
ago,1979,10.97666
ago,1980,10.97666
ago,1981,10.97666
ago,1982,10.97666
ago,1983,10.97666
ago,1984,10.97666
ago,1985,10.97666
ago,1986,10.97666
ago,1987,10.97666
ago,1988,10.97666
ago,1989,10.97666
ago,1990,16.97846
ago,1991,22.29223
ago,1992,46.46912
ago,1993,44.28164
ago,1994,44.28164
ago,1995,44.28164
ago,1996,44.28164
ago,1997,42.86132
ago,1998,42.86132
ago,1999,42.86132
ago,2000,42.86132
ago,2001,42.86132
ago,2002,47.52475
ago,2003,47.52475
ago,2004,47.52475
ago,2005,47.52475
ago,2006,47.52475
ago,2007,47.52475
ago,2008,52.7319
ago,2009,52.7319
ago,2010,52.7319
ago,2011,52.7319
ago,2012,52.28542
ago,2013,51.84142
ago,2014,51.84142
ago,2015,51.84142
ago,2016,51.84142
ago,2017,50.91053
ago,2018,52.83527
ago,2019,51.84142
alb,1975,15.50366
alb,1976,15.50366
alb,1977,15.50366
alb,1978,15.50366
alb,1979,15.50366
alb,1980,15.50366
alb,1981,15.50366
alb,1982,15.50366
alb,1983,15.50366
alb,1984,15.50366
alb,1985,15.50366
alb,1986,15.50366
alb,1987,15.50366
alb,1988,15.50366
alb,1989,15.50366
alb,1990,25.40386
alb,1991,44.14289
alb,1992,46.55797
alb,1993,47.68834
alb,1994,47.68834
alb,1995,48.88352
alb,1996,48.32225
alb,1997,52.09267
alb,1998,55.46549
alb,1999,55.46549
alb,2000,55.46549
alb,2001,62.71805
alb,2002,65.00476
alb,2003,68.73738
alb,2004,63.96963
alb,2005,67.44905
alb,2006,67.44905
alb,2007,67.44905
alb,2008,67.44905
alb,2009,67.44905
alb,2010,67.44905
alb,2011,67.44905
alb,2012,67.44905
alb,2013,62.21627
alb,2014,62.21627
alb,2015,62.21627
alb,2016,62.21627
alb,2017,62.0596
alb,2018,62.0596
alb,2019,59.43871
are,1975,7.60962
are,1976,7.60962
are,1977,7.60962
are,1978,7.60962
are,1979,7.60962
are,1980,7.60962
are,1981,7.60962
are,1982,7.60962
are,1983,7.60962
are,1984,7.60962
are,1985,7.60962
are,1986,7.60962
are,1987,7.60962
are,1988,7.60962
are,1989,7.60962
are,1990,7.60962
are,1991,7.60962
are,1992,7.60962
are,1993,7.60962
are,1994,7.60962
are,1995,7.60962
are,1996,7.60962
are,1997,7.60962
are,1998,7.60962
are,1999,7.60962
are,2000,7.60962
are,2001,7.60962
are,2002,7.60962
are,2003,7.60962
are,2004,7.60962
are,2005,7.60962
are,2006,12.21036
are,2007,12.21036
are,2008,12.21036
are,2009,12.21036
are,2010,12.21036
are,2011,12.21036
are,2012,12.21036
are,2013,12.21036
are,2014,12.21036
are,2015,13.13595
are,2016,13.13595
are,2017,13.13595
are,2018,13.13595
are,2019,13.13595
arg,1975,55.29619
arg,1976,28.59544
arg,1977,14.49666
arg,1978,14.49666
arg,1979,14.49666
arg,1980,14.49666
arg,1981,18.17048
arg,1982,18.17048
arg,1983,56.26759
arg,1984,78.98505
arg,1985,80.48607
arg,1986,80.48607
arg,1987,80.48607
arg,1988,80.48607
arg,1989,80.48607
arg,1990,81.16615
arg,1991,81.16615
arg,1992,81.16615
arg,1993,81.16615
arg,1994,81.16615
arg,1995,81.16615
arg,1996,81.16615
arg,1997,81.16615
arg,1998,81.16615
arg,1999,80.40401
arg,2000,80.40401
arg,2001,81.16615
arg,2002,81.16615
arg,2003,80.40401
arg,2004,76.6114
arg,2005,80.1092
arg,2006,80.1092
arg,2007,80.1092
arg,2008,79.12859
arg,2009,72.25067
arg,2010,72.25067
arg,2011,72.25067
arg,2012,72.25067
arg,2013,73.41303
arg,2014,73.41303
arg,2015,79.53986
arg,2016,76.4255
arg,2017,78.27934
arg,2018,75.69743
arg,2019,74.73032
arm,1991,60.41639
arm,1992,61.23102
arm,1993,58.05747
arm,1994,54.12909
arm,1995,50.89497
arm,1996,51.45961
arm,1997,46.63931
arm,1998,53.7793
arm,1999,57.84416
arm,2000,57.61372
arm,2001,57.84416
arm,2002,67.23637
arm,2003,59.45022
arm,2004,59.45022
arm,2005,59.62557
arm,2006,59.62557
arm,2007,53.97633
arm,2008,52.97454
arm,2009,52.65748
arm,2010,54.43816
arm,2011,54.43816
arm,2012,54.43816
arm,2013,53.41196
arm,2014,50.15203
arm,2015,50.15203
arm,2016,51.76936
arm,2017,58.47403
arm,2018,64.88821
arm,2019,64.84962
aus,1975,74.10135
aus,1976,74.10135
aus,1977,73.70034
aus,1978,73.70034
aus,1979,73.70034
aus,1980,73.31393
aus,1981,73.31393
aus,1982,73.31393
aus,1983,73.31393
aus,1984,73.31393
aus,1985,73.31393
aus,1986,73.31393
aus,1987,73.31393
aus,1988,73.31393
aus,1989,73.31393
aus,1990,73.31393
aus,1991,73.31393
aus,1992,73.31393
aus,1993,73.70034
aus,1994,73.70034
aus,1995,73.70034
aus,1996,73.31393
