global,time,popcit_500k_1m
world,1950,67471331
world,1955,85405137
world,1960,92779124
world,1965,105474573
world,1970,130937369
world,1975,155516426
world,1980,170247252
world,1985,191861165
world,1990,207591193
world,1995,235807580
world,2000,269040878
world,2005,314621784
world,2010,354550859
world,2015,382399631
world,2020,431400571
world,2025,455243989
world,2030,493629104
world,2035,527264275
