country,time,partner_violence
afg,2018,35
ago,2018,25
alb,2018,6
arg,2018,4
arm,2018,5
aus,2018,3
aut,2018,4
aze,2018,5
bdi,2018,22
bel,2018,5
ben,2018,15
bfa,2018,11
bgd,2018,23
bgr,2018,6
bih,2018,3
blr,2018,6
blz,2018,8
bol,2018,18
bra,2018,6
brb,2018,16.2
brn,2018,3.5
btn,2018,9
bwa,2018,17
caf,2018,21
can,2018,3
che,2018,2
chl,2018,6
chn,2018,8
civ,2018,16
cmr,2018,22
cod,2018,36
cog,2018,33.8
col,2018,12
com,2018,8
cpv,2018,11
cri,2018,7
cub,2018,5
cyp,2018,3
cze,2018,4
dnk,2018,3
dom,2018,10
ecu,2018,8
egy,2018,15
esp,2018,3
est,2018,4
eth,2018,27
fin,2018,8
fji,2018,23
fra,2018,5
fsm,2018,21
gab,2018,22
gbr,2018,4
geo,2018,3
gha,2018,10
gin,2018,21
gmb,2018,10
gnq,2018,29
grc,2018,5
grd,2018,8
gtm,2018,7
guy,2018,10
hkg,2018,3
hnd,2018,7
hrv,2018,4
hti,2018,12
hun,2018,6
idn,2018,9
ind,2018,18
irl,2018,3
irn,2018,18
irq,2018,16.5
isl,2018,3
isr,2018,6
ita,2018,4
jam,2018,7
jor,2018,13
jpn,2018,4
kaz,2018,6
ken,2018,23
kgz,2018,13
khm,2018,9
kir,2018,25
kor,2018,8
lao,2018,8
lbr,2018,27
lca,2018,16.2
lka,2018,4
lso,2018,16
ltu,2018,5
lux,2018,4
lva,2018,6
mar,2018,10
mda,2018,9
mdv,2018,6
mex,2018,10
mhl,2018,19
mkd,2018,4
mli,2018,18
mlt,2018,4
mmr,2018,11
mne,2018,4
mng,2018,12
moz,2018,16
mrt,2018,19.7
mus,2018,13.2
mwi,2018,17
mys,2018,13.1
nam,2018,16
ner,2018,13
nga,2018,13
nic,2018,6
nld,2018,5
nor,2018,4
npl,2018,11
nru,2018,20
nzl,2018,4
pak,2018,16
pan,2018,8
per,2018,11
phl,2018,6
plw,2018,14
png,2018,31
pol,2018,3
prt,2018,4
pry,2018,6
rou,2018,7
rus,2018,8
rwa,2018,23
sdn,2018,17
sen,2018,12
sgp,2018,2
slb,2018,28
sle,2018,20
slv,2018,6
srb,2018,4
ssd,2018,27
stp,2018,18
sur,2018,8
svk,2018,6
svn,2018,3
swe,2018,6
swz,2018,18
tcd,2018,16
tgo,2018,13
tha,2018,9
tjk,2018,14
tls,2018,28
ton,2018,17
tto,2018,8
tun,2018,10
tur,2018,12
tuv,2018,20
tza,2018,24
uga,2018,26
ukr,2018,9
ury,2018,4
usa,2018,6
uzb,2018,7.3
vct,2018,16.1
ven,2018,8
vnm,2018,10
vut,2018,29
wsm,2018,18
zaf,2018,13
zmb,2018,28
zwe,2018,18
