country,time,pcv3_vacc
afg,2014,49
afg,2015,65
afg,2016,62
afg,2017,66
afg,2018,69
afg,2019,68
afg,2020,68
ago,2013,9
ago,2014,45
ago,2015,55
ago,2016,55
ago,2017,52
ago,2018,59
ago,2019,53
ago,2020,47
alb,2011,99
alb,2012,99
alb,2013,99
alb,2014,99
alb,2015,99
alb,2016,98
alb,2017,99
alb,2018,98
alb,2019,96
and,2014,93
and,2015,92
and,2016,92
and,2017,98
and,2018,94
and,2019,96
and,2020,96
are,2010,94
are,2011,95
are,2012,96
are,2013,98
are,2014,99
are,2015,99
are,2016,99
are,2017,96
are,2018,99
are,2019,99
are,2020,84
arg,2012,41
arg,2013,86
arg,2014,89
arg,2015,82
arg,2016,82
arg,2017,76
arg,2018,88
arg,2019,80
arg,2020,75
arm,2015,44
arm,2016,94
arm,2017,94
arm,2018,92
arm,2019,92
aus,2007,91
aus,2008,91
aus,2009,91
aus,2010,91
aus,2011,91
aus,2012,91
aus,2013,91
aus,2014,91
aus,2015,93
aus,2016,94
aus,2017,94
aus,2018,95
aus,2019,96
aus,2020,97
aze,2014,64
aze,2015,94
aze,2016,97
aze,2017,96
aze,2018,95
aze,2019,95
aze,2020,79
bdi,2011,14
bdi,2012,96
bdi,2013,96
bdi,2014,95
bdi,2015,94
bdi,2016,94
bdi,2017,91
bdi,2018,90
bdi,2019,93
bdi,2020,93
bel,2012,93
bel,2013,93
bel,2014,93
bel,2015,94
bel,2016,94
bel,2017,94
bel,2018,94
bel,2019,94
ben,2011,36
ben,2012,67
ben,2013,70
ben,2014,69
ben,2015,72
ben,2016,73
ben,2017,73
ben,2018,73
ben,2019,73
ben,2020,68
bfa,2014,91
bfa,2015,91
bfa,2016,91
bfa,2017,91
bfa,2018,91
bfa,2019,91
bfa,2020,91
bgd,2015,48
bgd,2016,97
bgd,2017,99
bgd,2018,99
bgd,2019,99
bgd,2020,99
bgr,2010,69
bgr,2011,94
bgr,2012,94
bgr,2013,94
bgr,2014,92
bgr,2015,90
bgr,2016,90
bgr,2017,91
bgr,2018,88
bgr,2019,88
bgr,2020,85
bhr,2008,14
bhr,2009,96
bhr,2010,99
bhr,2011,99
bhr,2012,99
bhr,2013,99
bhr,2014,98
bhr,2015,98
bhr,2016,99
bhr,2017,97
bhr,2018,98
bhr,2019,97
bhr,2020,99
bhs,2009,3
bhs,2010,1
bhs,2011,1
bhs,2012,37
bhs,2013,97
bhs,2014,96
bhs,2015,95
bhs,2016,94
bhs,2017,93
bhs,2018,90
bhs,2019,89
bol,2014,56
bol,2015,86
bol,2016,87
bol,2017,83
bol,2018,83
bol,2019,75
bol,2020,68
bra,2010,24
bra,2011,82
bra,2012,88
bra,2013,94
bra,2014,93
bra,2015,94
bra,2016,84
bra,2017,84
bra,2018,84
bra,2019,84
bra,2020,79
brb,2009,75
brb,2010,78
brb,2011,81
brb,2012,84
brb,2013,87
brb,2014,90
brb,2015,97
brb,2016,96
brb,2017,89
brb,2018,89
brb,2019,93
brb,2020,86
btn,2019,26
btn,2020,90
bwa,2012,52
bwa,2013,72
bwa,2014,95
bwa,2015,93
bwa,2016,91
bwa,2017,89
bwa,2018,91
bwa,2019,92
bwa,2020,90
caf,2011,8
caf,2012,47
caf,2013,23
caf,2014,45
caf,2015,44
caf,2016,43
caf,2017,40
caf,2018,40
caf,2019,40
caf,2020,40
can,2002,11
can,2003,9
can,2004,7
can,2005,17
can,2006,26
can,2007,34
can,2008,42
can,2009,50
can,2010,58
can,2011,66
can,2012,73
can,2013,79
can,2014,79
can,2015,80
can,2016,80
can,2017,81
can,2018,81
can,2019,84
can,2020,84
che,2006,1
che,2007,1
che,2008,13
che,2009,25
che,2010,37
che,2011,50
che,2012,62
che,2013,75
che,2014,80
che,2015,80
che,2016,80
che,2017,84
che,2018,84
che,2019,84
che,2020,86
chl,2011,54
chl,2012,82
chl,2013,79
chl,2014,92
chl,2015,90
chl,2016,93
chl,2017,93
chl,2018,93
chl,2019,95
