world_4region,time,percit_more_10m
africa,1950,0
africa,1955,0
africa,1960,0
africa,1965,0
africa,1970,0
africa,1975,0
africa,1980,0
africa,1985,0
africa,1990,0
africa,1995,1.67
africa,2000,1.68
africa,2005,1.66
africa,2010,2.63
africa,2015,3.61
africa,2020,3.71
africa,2025,4.51
africa,2030,5.39
africa,2035,5.73
americas,1950,3.65
americas,1955,3.51
americas,1960,3.36
americas,1965,3.24
americas,1970,3.15
americas,1975,4.75
americas,1980,6.67
americas,1985,9.67
americas,1990,9.55
americas,1995,10.81
americas,2000,10.72
americas,2005,10.55
americas,2010,10.43
americas,2015,10.34
americas,2020,12.32
americas,2025,12.35
americas,2030,12.51
americas,2035,12.66
asia,1950,0.81
asia,1955,0.9
asia,1960,1.62
asia,1965,1.78
asia,1970,1.82
asia,1975,1.81
asia,1980,1.74
asia,1985,2.38
asia,1990,2.66
asia,1995,3.25
asia,2000,3.6
asia,2005,4.28
asia,2010,5.49
asia,2015,6.45
asia,2020,7.49
asia,2025,8.34
asia,2030,9.62
asia,2035,11.1
europe,1950,0
europe,1955,0
europe,1960,0
europe,1965,0
europe,1970,0
europe,1975,0
europe,1980,0
europe,1985,0
europe,1990,0
europe,1995,0
europe,2000,1.24
europe,2005,3.85
europe,2010,4.18
europe,2015,4.4
europe,2020,4.56
europe,2025,4.74
europe,2030,6.11
europe,2035,6.32
