world_4region,time,emigrant_pc
africa,1990,3.25
africa,1995,3.09
africa,2000,2.7
africa,2005,2.74
africa,2010,2.8
africa,2015,2.96
africa,2020,3.01
americas,1990,2.33
americas,1995,2.73
americas,2000,3.15
americas,2005,3.54
americas,2010,3.95
americas,2015,3.93
americas,2020,4.44
asia,1990,1.62
asia,1995,1.55
asia,2000,1.62
asia,2005,1.73
asia,2010,2.02
asia,2015,2.26
asia,2020,2.4
europe,1990,6.8
europe,1995,6.87
europe,2000,6.98
europe,2005,7.04
europe,2010,7.32
europe,2015,7.47
europe,2020,8.21
