country,time,elgov_idea
afg,1975,0
afg,1976,0
afg,1977,0
afg,1978,4.24079
afg,1979,4.24079
afg,1980,4.24079
afg,1981,4.24079
afg,1982,4.24079
afg,1983,4.24079
afg,1984,4.24079
afg,1985,4.24079
afg,1986,4.24079
afg,1987,48.54621
afg,1988,48.54621
afg,1989,51.05528
afg,1990,51.05528
afg,1991,51.05528
afg,1992,48.54621
afg,1993,4.24079
afg,1994,4.24079
afg,1995,4.24079
afg,1996,0
afg,1997,0
afg,1998,0
afg,1999,0
afg,2000,0
afg,2001,4.24079
afg,2002,4.24079
afg,2003,4.24079
afg,2004,4.24079
afg,2005,16.30647
afg,2006,60.19458
afg,2007,60.19458
afg,2008,60.19458
afg,2009,60.19458
afg,2010,60.19458
afg,2011,60.19458
afg,2012,60.19458
afg,2013,60.19458
afg,2014,60.931
afg,2015,60.931
afg,2016,60.931
afg,2017,60.931
afg,2018,60.931
afg,2019,60.931
ago,1975,51.05528
ago,1976,13.42413
ago,1977,13.42413
ago,1978,13.42413
ago,1979,13.42413
ago,1980,13.42413
ago,1981,31.26038
ago,1982,31.26038
ago,1983,31.26038
ago,1984,31.26038
ago,1985,31.26038
ago,1986,31.26038
ago,1987,31.26038
ago,1988,31.26038
ago,1989,31.26038
ago,1990,31.26038
ago,1991,27.53941
ago,1992,27.53941
ago,1993,48.54621
ago,1994,48.54621
ago,1995,48.54621
ago,1996,48.54621
ago,1997,51.05528
ago,1998,51.05528
ago,1999,51.05528
ago,2000,51.05528
ago,2001,51.05528
ago,2002,51.05528
ago,2003,51.05528
ago,2004,51.05528
ago,2005,51.05528
ago,2006,51.05528
ago,2007,51.05528
ago,2008,51.05528
ago,2009,51.05528
ago,2010,60.931
ago,2011,60.931
ago,2012,60.931
ago,2013,60.931
ago,2014,60.931
ago,2015,60.931
ago,2016,60.931
ago,2017,60.931
ago,2018,60.931
ago,2019,60.931
alb,1975,38.50415
alb,1976,38.50415
alb,1977,38.50415
alb,1978,38.50415
alb,1979,38.50415
alb,1980,38.50415
