country,time,judicindep_idea
aus,1978,98.40053
aus,1979,98.40053
aus,1980,98.40053
aus,1981,98.53541
aus,1982,98.53541
aus,1983,98.53541
aus,1984,100
aus,1985,100
aus,1986,100
aus,1987,100
aus,1988,100
aus,1989,100
aus,1990,100
aus,1991,100
aus,1992,100
aus,1993,100
aus,1994,100
aus,1995,100
aus,1996,100
aus,1997,100
aus,1998,100
aus,1999,100
aus,2000,100
aus,2001,100
aus,2002,100
aus,2003,100
aus,2004,100
aus,2005,98.03255
aus,2006,98.03255
aus,2007,98.03255
aus,2008,98.03255
aus,2009,98.03255
aus,2010,98.03255
aus,2011,98.03255
aus,2012,98.03255
aus,2013,87.95367
aus,2014,87.95367
aus,2015,85.89978
aus,2016,89.99277
aus,2017,91.78007
aus,2018,91.78007
aus,2019,89.99277
aut,1975,73.44275
aut,1976,73.44275
aut,1977,73.44275
aut,1978,73.44275
aut,1979,73.44275
aut,1980,73.44275
aut,1981,73.88842
aut,1982,73.88842
aut,1983,73.88842
aut,1984,74.60125
aut,1985,74.60125
aut,1986,74.60125
aut,1987,74.60125
aut,1988,74.60125
aut,1989,74.60125
aut,1990,74.60125
aut,1991,74.60125
aut,1992,74.60125
aut,1993,74.60125
aut,1994,74.60125
aut,1995,74.60125
aut,1996,74.60125
aut,1997,74.60125
aut,1998,74.60125
aut,1999,74.60125
aut,2000,74.60125
aut,2001,74.60125
aut,2002,74.60125
aut,2003,74.60125
aut,2004,74.60125
aut,2005,74.60125
aut,2006,74.60125
aut,2007,74.60125
aut,2008,74.60125
aut,2009,74.60125
aut,2010,74.60125
aut,2011,74.60125
aut,2012,74.60125
aut,2013,73.25811
aut,2014,73.25811
aut,2015,73.25811
aut,2016,73.25811
aut,2017,73.25811
aut,2018,73.25811
aut,2019,73.25811
aze,1991,33.59648
aze,1992,45.59647
aze,1993,36.01457
aze,1994,21.25659
aze,1995,21.25659
aze,1996,21.25659
aze,1997,21.25659
aze,1998,17.75528
aze,1999,18.63272
aze,2000,18.63272
aze,2001,18.63272
aze,2002,18.63272
aze,2003,18.63272
aze,2004,18.63272
aze,2005,17.45813
aze,2006,17.45813
aze,2007,17.45813
aze,2008,17.45813
aze,2009,17.45813
aze,2010,17.45813
aze,2011,17.45813
aze,2012,17.45813
aze,2013,3.06191
aze,2014,3.06191
aze,2015,3.06191
aze,2016,3.06191
aze,2017,3.06191
aze,2018,3.06191
aze,2019,8.94636
bdi,1975,48.09934
bdi,1976,49.02222
bdi,1977,49.02222
bdi,1978,49.65284
bdi,1979,49.65284
bdi,1980,49.65284
bdi,1981,49.57499
bdi,1982,49.57499
bdi,1983,48.33089
bdi,1984,49.57499
bdi,1985,49.57499
bdi,1986,49.57499
bdi,1987,49.57499
bdi,1988,48.76008
bdi,1989,48.76008
bdi,1990,48.76008
bdi,1991,47.41919
bdi,1992,48.76008
bdi,1993,51.23386
bdi,1994,51.23386
bdi,1995,51.23386
bdi,1996,49.85211
bdi,1997,49.85211
bdi,1998,49.85211
bdi,1999,49.85211
bdi,2000,49.85211
bdi,2001,49.85211
bdi,2002,49.85211
bdi,2003,49.85211
bdi,2004,49.85211
bdi,2005,42.59946
bdi,2006,42.59946
bdi,2007,42.59946
bdi,2008,42.59946
bdi,2009,42.59946
bdi,2010,40.44244
bdi,2011,40.44244
bdi,2012,40.44244
bdi,2013,28.28749
bdi,2014,28.28749
bdi,2015,28.28749
bdi,2016,26.31703
bdi,2017,22.71295
bdi,2018,22.7644
bdi,2019,24.54596
bel,1975,73.5736
bel,1976,73.5736
bel,1977,73.5736
