global,time,wn_bothhouses_c
world,1945,3.35
world,1946,6.26
world,1947,3.14
world,1948,4.28
world,1949,4.93
world,1950,7.41
world,1951,4.96
world,1952,5.51
world,1953,5.55
world,1954,10.83
world,1955,3.49
world,1956,4.99
world,1957,5.79
world,1958,7.55
world,1959,3.92
world,1960,5.39
world,1961,5.03
world,1962,9.34
world,1963,7.87
world,1964,4.87
world,1965,5.62
world,1966,10.99
world,1967,8.13
world,1968,3.81
world,1969,5.85
world,1970,10.59
world,1971,10.14
world,1972,6.72
world,1973,6.79
world,1974,9.82
world,1975,12.04
world,1976,12.57
world,1977,6.25
world,1978,6.48
world,1979,10.86
world,1980,9.03
world,1981,14.14
world,1982,9.23
world,1983,6.24
world,1984,12.64
world,1985,11.66
world,1986,12.64
world,1987,9.23
world,1988,8.59
world,1989,9.61
world,1990,8.24
world,1991,10.45
world,1992,7.51
world,1993,10.15
world,1994,13.11
world,1995,9.63
world,1996,9.48
world,1997,11.3
world,1998,12.7
world,1999,13.1
world,2000,13.8
world,2001,14
world,2002,15
world,2003,15.1
world,2004,15.7
world,2005,16.2
world,2006,16.8
world,2007,17.7
world,2008,18.3
world,2009,18.8
world,2010,19
world,2011,19.5
world,2012,20.4
world,2013,21.4
world,2014,21.9
world,2015,22.7
world,2016,23
world,2017,23.5
world,2018,24.1
world,2019,24.6
world,2020,25.1
world,2021,25.9
