country,time,celec_idea
afg,1975,0.63742
afg,1976,0.38881
afg,1977,0.50197
afg,1978,0.52034
afg,1979,0.48286
afg,1980,0.33927
afg,1981,0.37858
afg,1982,0.67291
afg,1983,0.52947
afg,1984,0.28011
afg,1985,0.44657
afg,1986,0.51224
afg,1987,0.52022
afg,1988,26.31027
afg,1989,26.6806
afg,1990,25.0585
afg,1991,25.01643
afg,1992,25.15631
afg,1993,0.39227
afg,1994,0.1872
afg,1995,0.57639
afg,1996,0.34284
afg,1997,0.45024
afg,1998,0.59294
afg,1999,0.4546
afg,2000,0.31243
afg,2001,0.56964
afg,2002,0.46584
afg,2003,0.494
afg,2004,49.87894
afg,2005,49.52001
afg,2006,49.3509
afg,2007,49.56077
afg,2008,49.97854
afg,2009,46.09153
afg,2010,45.81752
afg,2011,46.07309
afg,2012,46.16769
afg,2013,46.68956
afg,2014,46.92296
afg,2015,46.5201
afg,2016,45.26116
afg,2017,43.28393
afg,2018,40.99819
afg,2019,43.66652
ago,1975,0.21356
ago,1976,0.52847
ago,1977,0.18742
ago,1978,0.53704
ago,1979,0.35405
ago,1980,0.36879
ago,1981,0.25586
ago,1982,0.16764
ago,1983,0.58638
ago,1984,0.74236
ago,1985,0.40042
ago,1986,0.35708
ago,1987,0.1925
ago,1988,0.35441
ago,1989,0.50757
ago,1990,0.43598
ago,1991,0.28427
ago,1992,45.29369
ago,1993,0.26322
ago,1994,0.44119
ago,1995,0.27264
ago,1996,0.51875
ago,1997,0.80197
ago,1998,0.31158
ago,1999,0.5855
ago,2000,0.30883
ago,2001,0.36764
ago,2002,0.33142
ago,2003,0.50405
ago,2004,0.66976
ago,2005,0.41189
ago,2006,0.30012
ago,2007,0.18821
ago,2008,40.76556
ago,2009,40.89852
ago,2010,40.9365
ago,2011,41.05071
ago,2012,40.2953
ago,2013,39.95273
ago,2014,39.88465
ago,2015,40.03208
ago,2016,40.09644
ago,2017,43.1111
ago,2018,42.97188
ago,2019,42.94346
alb,1975,20.66139
alb,1976,20.77112
alb,1977,20.92028
alb,1978,20.75372
alb,1979,21.06632
alb,1980,20.67594
alb,1981,20.60465
alb,1982,20.81363
alb,1983,20.84068
alb,1984,20.82122
alb,1985,20.76941
alb,1986,20.75808
alb,1987,20.67866
alb,1988,20.68559
alb,1989,20.603
alb,1990,20.6174
alb,1991,41.83947
alb,1992,50.57156
alb,1993,50.58059
alb,1994,50.40749
alb,1995,50.24849
alb,1996,36.55976
alb,1997,41.99476
alb,1998,42.59795
alb,1999,42.57039
alb,2000,43.95033
alb,2001,53.67477
alb,2002,54.1288
alb,2003,53.96903
alb,2004,54.08491
alb,2005,56.29767
alb,2006,56.24023
alb,2007,56.02012
alb,2008,55.95534
alb,2009,55.11827
alb,2010,55.20208
alb,2011,55.02011
alb,2012,54.92866
alb,2013,57.50206
alb,2014,58.15337
