country,time,matfootp
afg,1990,29640026.6
afg,1991,35904421
afg,1992,28367592.1
afg,1993,27749793.4
afg,1994,25444793.7
afg,1995,26603745.9
afg,1996,25297556.1
afg,1997,22848315.5
afg,1998,17923066.4
afg,1999,16393190.4
afg,2000,12215258.3
afg,2001,18505972.1
afg,2002,20989320.8
afg,2003,23277957
afg,2004,25105791.7
afg,2005,27951049.7
afg,2006,26652618.5
afg,2007,30444960.9
afg,2008,27352196.5
afg,2009,34494329.6
afg,2010,38743634
afg,2011,38363964.3
afg,2012,40704258.1
afg,2013,39833756.1
afg,2014,40799583.2
afg,2015,41647056
afg,2016,42537783.1
afg,2017,43428754
ago,1990,22585838
ago,1991,32611125
ago,1992,32762928
ago,1993,28685868
ago,1994,30098045
ago,1995,25307767
ago,1996,24953506
ago,1997,27791120
ago,1998,31837889
ago,1999,29307975
ago,2000,34049150
ago,2001,41508081
ago,2002,42936092
ago,2003,48165574
ago,2004,51525590
ago,2005,57749613
ago,2006,56225822
ago,2007,69551666
ago,2008,78065219
ago,2009,95732841
ago,2010,85881301
ago,2011,87830110
ago,2012,80104792
ago,2013,100805319
ago,2014,90993520
ago,2015,93809247
ago,2016,96749749
ago,2017,99691842
alb,1990,19497782
alb,1991,23952406
alb,1992,12367065.9
alb,1993,11097961.6
alb,1994,10848049.4
alb,1995,10875672
alb,1996,13232957.5
alb,1997,12470847.2
alb,1998,13528723.2
alb,1999,14748150.4
alb,2000,17340295.8
alb,2001,19063918.5
alb,2002,19154645
alb,2003,23313204.7
alb,2004,25855955.9
alb,2005,28318450.8
alb,2006,27929132.5
alb,2007,26874100
alb,2008,27873886
alb,2009,31917971
alb,2010,26003891
alb,2011,27172141
alb,2012,27698158
alb,2013,28242962
alb,2014,30570731
alb,2015,31454071
alb,2016,32408837
alb,2017,33365718
are,1990,28631586
are,1991,44966480
are,1992,69392085
are,1993,116607269
are,1994,151667200
are,1995,149017610
are,1996,168467460
are,1997,174416830
are,1998,161462510
are,1999,180906370
are,2000,190205820
are,2001,159827430
are,2002,178263610
are,2003,176479150
are,2004,226299370
are,2005,250157720
are,2006,271442510
are,2007,330655150
are,2008,340238400
are,2009,309052930
are,2010,328841560
are,2011,374980520
are,2012,381253350
are,2013,418822570
are,2014,427901810
are,2015,440314320
are,2016,453108930
are,2017,465932120
arg,1990,313471113
arg,1991,376663230
arg,1992,399078740
arg,1993,406503330
arg,1994,438496810
arg,1995,428432450
arg,1996,434808880
arg,1997,472675010
arg,1998,519671920
arg,1999,514054230
arg,2000,491895890
arg,2001,469356000
arg,2002,321941580
arg,2003,355845440
arg,2004,385772460
arg,2005,433009270
arg,2006,434447010
arg,2007,484714650
arg,2008,487048160
arg,2009,463922880
arg,2010,519798960
arg,2011,551677050
arg,2012,538279090
arg,2013,591270090
arg,2014,606069510
arg,2015,620400530
arg,2016,634853420
arg,2017,649313000
arm,1990,13915283
arm,1991,21380819
arm,1992,11643566.5
arm,1993,8930565.3
arm,1994,7535589
arm,1995,9010323.8
arm,1996,9701861.6
arm,1997,8507761.8
arm,1998,9915017.2
arm,1999,9389884.5
arm,2000,7474205.3
arm,2001,8430040.7
arm,2002,8912832
arm,2003,10186553.2
arm,2004,11980772.9
arm,2005,13307754.6
arm,2006,14401655.7
arm,2007,17234292.6
arm,2008,19455612.1
arm,2009,19223429.6
arm,2010,18516224.5
arm,2011,18711172.2
arm,2012,19746894.6
arm,2013,20832821.2
arm,2014,21521154.8
arm,2015,22249193
arm,2016,23066796.3
arm,2017,23884757.2
atg,1990,1211320.7
atg,1991,6736668.1
atg,1992,1630108.6
atg,1993,1631824.9
atg,1994,1699148.2
atg,1995,1655639.6
atg,1996,1685158.8
atg,1997,1726414.9
atg,1998,1590070.4
atg,1999,1617400.9
atg,2000,1763649.7
atg,2001,1615979.1
atg,2002,1741707.3
atg,2003,1726670.5
atg,2004,1754168.3
atg,2005,2013781.3
atg,2006,2482760.3
atg,2007,2249549.4
atg,2008,1702341.1
atg,2009,1202694.2
atg,2010,1190127
atg,2011,1284709.4
atg,2012,1199976.2
atg,2013,1224256.7
atg,2014,1242290.3
atg,2015,1251438.8
atg,2016,1265077.5
atg,2017,1278768.4
aus,1990,688618500
aus,1991,706753500
aus,1992,648585000
aus,1993,627853600
aus,1994,626536300
aus,1995,693829900
aus,1996,718423000
aus,1997,739419600
aus,1998,785531700
aus,1999,787917600
aus,2000,759645500
aus,2001,772547600
aus,2002,783900400
aus,2003,847159300
aus,2004,845966300
aus,2005,871770700
aus,2006,797558100
aus,2007,956837100
aus,2008,805827600
aus,2009,939081400
aus,2010,903879500
aus,2011,922832900
aus,2012,950519900
aus,2013,957918300
aus,2014,995395500
aus,2015,1018331700
aus,2016,1039107000
aus,2017,1059911000
aut,1990,152127120
aut,1991,166434240
aut,1992,182044340
aut,1993,175881060
aut,1994,189425020
aut,1995,189959010
aut,1996,187274210
aut,1997,189309970
aut,1998,201351960
aut,1999,197603430
aut,2000,197961560
aut,2001,197599840
aut,2002,200967870
aut,2003,217344070
aut,2004,235400770
aut,2005,242544580
aut,2006,250952410
aut,2007,261053030
aut,2008,268422190
aut,2009,254981370
aut,2010,252833330
aut,2011,262895850
aut,2012,262770770
aut,2013,265262000
aut,2014,271975880
aut,2015,276766530
aut,2016,282070190
aut,2017,287412480
aze,1990,9049311
aze,1991,19642668
aze,1992,73399922
aze,1993,65373108
aze,1994,46216523
aze,1995,35603215
aze,1996,32840373
aze,1997,25666612
aze,1998,23562320
aze,1999,22787837
aze,2000,20741650
aze,2001,21870234
aze,2002,25173568
aze,2003,29359243
aze,2004,31125397
aze,2005,30044131
aze,2006,30193753
aze,2007,33334101
aze,2008,34049672
aze,2009,43692918
aze,2010,42940925
aze,2011,46202251
aze,2012,47250777
aze,2013,55125120
aze,2014,55216733
aze,2015,57049609
aze,2016,59262303
aze,2017,61478272
bdi,1990,11878543.1
bdi,1991,18679854.2
bdi,1992,12640790.9
bdi,1993,12567486.6
bdi,1994,11857300.2
bdi,1995,12352147.5
bdi,1996,11776314.3
bdi,1997,11377311.37
bdi,1998,11401009.6
bdi,1999,10174129.35
bdi,2000,10116488.7
bdi,2001,11820097.9
bdi,2002,12497259.8
bdi,2003,12657076.4
bdi,2004,12940029
bdi,2005,14175630.5
bdi,2006,14370581.8
bdi,2007,14155953.5
bdi,2008,13597804.2
bdi,2009,15250536.9
bdi,2010,15873994.9
bdi,2011,15990399.6
bdi,2012,13824857.3
bdi,2013,17145372.2
bdi,2014,16408136
bdi,2015,16723105.5
bdi,2016,16948306.9
bdi,2017,17173630.9
bel,1990,152682310
bel,1991,167431010
bel,1992,203313750
bel,1993,196620900
bel,1994,207804710
bel,1995,207221340
bel,1996,207287080
bel,1997,200277180
bel,1998,215768220
bel,1999,222031530
bel,2000,239215230
bel,2001,223370060
bel,2002,227732310
bel,2003,235286020
bel,2004,247044240
bel,2005,252767920
bel,2006,257827850
bel,2007,268061220
bel,2008,275808530
bel,2009,259308050
bel,2010,250121890
bel,2011,245461800
bel,2012,249763490
bel,2013,255026610
bel,2014,259538840
bel,2015,264492240
bel,2016,269951900
bel,2017,275438320
ben,1990,14941648.1
ben,1991,22013606.4
ben,1992,16748450.2
ben,1993,18662516.7
ben,1994,15724708
ben,1995,18332975.8
ben,1996,16921522.8
ben,1997,17816172
ben,1998,15910059.7
ben,1999,18194164.6
ben,2000,18212044.7
ben,2001,22411334.1
ben,2002,21576746.1
ben,2003,23848610.4
ben,2004,24141284.9
ben,2005,24839354.7
ben,2006,30533377.8
ben,2007,32351700.2
ben,2008,34512666.5
ben,2009,36931846.2
ben,2010,36685597.2
ben,2011,39068538.9
ben,2012,40615998.9
ben,2013,43152770.8
ben,2014,45154050.5
ben,2015,46511475.2
ben,2016,47920546.3
ben,2017,49329918
bfa,1990,23565450.7
bfa,1991,46149678
bfa,1992,26211788.4
bfa,1993,25843057.6
bfa,1994,23933890
bfa,1995,24261362.3
bfa,1996,24913863.4
bfa,1997,23005903.2
bfa,1998,25692597.4
bfa,1999,23648109.6
bfa,2000,21312994.5
bfa,2001,23450291.1
bfa,2002,23334412.4
bfa,2003,30469624.9
bfa,2004,31387617.7
bfa,2005,36967665.3
bfa,2006,39280554.9
bfa,2007,39306521.8
bfa,2008,46488109
bfa,2009,47236924.5
bfa,2010,53178878.7
bfa,2011,54960995.7
bfa,2012,59991871.3
bfa,2013,64470186.9
bfa,2014,66324755.3
bfa,2015,69227159.4
bfa,2016,72510210.1
bfa,2017,75793788
bgd,1990,161451176
bgd,1991,180615723
bgd,1992,163491624
bgd,1993,166768870
bgd,1994,175688473
bgd,1995,186328606
bgd,1996,194817935
bgd,1997,195717259
bgd,1998,215166940
bgd,1999,219941371
bgd,2000,228107468
bgd,2001,235734789
bgd,2002,241809224
bgd,2003,239287392
bgd,2004,233159294
bgd,2005,259206751
bgd,2006,254079732
bgd,2007,259658552
bgd,2008,270313464
bgd,2009,284107610
bgd,2010,304989650
bgd,2011,315964111
bgd,2012,327122965
bgd,2013,348930552
bgd,2014,356806097
bgd,2015,367466757
bgd,2016,378167513
bgd,2017,388869764
bgr,1990,89678228
bgr,1991,52540603
bgr,1992,59776998
bgr,1993,65770213
bgr,1994,60534298
bgr,1995,60850579
bgr,1996,43825772
bgr,1997,35798883
bgr,1998,36487303
bgr,1999,39604934
bgr,2000,36818126
bgr,2001,42574729
bgr,2002,44036248
bgr,2003,51671823
bgr,2004,64514137
bgr,2005,70094880
bgr,2006,83691850
bgr,2007,89185690
bgr,2008,97898570
bgr,2009,86385460
bgr,2010,79571550
bgr,2011,84800840
bgr,2012,81539490
bgr,2013,80070930
bgr,2014,83037660
bgr,2015,86613010
bgr,2016,88723360
bgr,2017,90840200
bhr,1990,17054639.9
bhr,1991,25348354
bhr,1992,19569220.8
bhr,1993,18298796.8
bhr,1994,18493392
bhr,1995,16491723.7
bhr,1996,16636697
bhr,1997,16776336.9
bhr,1998,16423089.7
bhr,1999,16275360.3
bhr,2000,13927493.6
bhr,2001,14224397.1
bhr,2002,15449288.2
bhr,2003,14016912.7
bhr,2004,14456571.3
bhr,2005,16225336.8
bhr,2006,15072620.1
bhr,2007,15473349.5
bhr,2008,16990381.9
bhr,2009,18785490.5
bhr,2010,18042469.7
bhr,2011,17500602
bhr,2012,17784580
bhr,2013,19058363
bhr,2014,19693745
bhr,2015,20211442
bhr,2016,20837620
