country,time,cc_vser_t_per
afg,2019,36.8
afg,2021,36.6
alb,2019,54.4
alb,2021,63.9
are,2019,26.3
are,2021,28
arg,2019,74.1
arg,2021,70.7
arm,2019,37.1
arm,2021,39.1
aus,2019,53.3
aus,2021,53.5
aut,2019,63.2
aut,2021,63.5
aze,2019,32.7
bel,2019,56.6
bel,2021,42.9
ben,2019,44
ben,2021,52.6
bfa,2019,56.7
bfa,2021,50.4
bgd,2019,26.4
bgd,2021,43.4
bgr,2019,45.2
bgr,2021,46.7
bhr,2019,29.7
bih,2019,53.7
bih,2021,57.7
blr,2019,43.3
bol,2019,69.7
bol,2021,73.7
bra,2019,71.4
bra,2021,77.3
bwa,2019,52.5
can,2019,57.3
can,2021,62.2
che,2019,51.1
che,2021,57.8
chl,2019,86.9
chl,2021,86.3
chn,2019,22.4
chn,2021,22.6
civ,2019,46.8
civ,2021,52.5
cmr,2019,43.4
cmr,2021,44.2
cog,2019,46.4
cog,2021,41.6
col,2019,74.9
col,2021,69.4
cri,2019,80.9
cri,2021,74
cyp,2019,78.4
cyp,2021,75.7
cze,2021,48.5
deu,2019,52.8
deu,2021,61.8
dnk,2019,40.4
dnk,2021,35.2
dom,2019,57
dom,2021,48.6
dza,2019,27.9
dza,2021,35.1
ecu,2019,73.8
ecu,2021,64.9
egy,2019,17.9
egy,2021,15.3
esp,2019,84.1
esp,2021,80
est,2019,34.5
est,2021,30
eth,2019,18.4
fin,2019,25
fin,2021,34.8
fra,2019,59.7
fra,2021,59.8
gab,2019,52.4
gab,2021,41.9
gbr,2019,68.6
gbr,2021,70.3
geo,2019,58.3
geo,2021,64.4
gha,2019,43.1
gha,2021,43.5
gin,2019,51.4
gin,2021,51.3
gmb,2019,50
grc,2019,81.3
grc,2021,81.1
gtm,2019,61.6
hkg,2019,32.6
hkg,2021,23.9
hnd,2019,65.3
hnd,2021,55.9
hrv,2019,52.2
hrv,2021,70
hun,2019,67.1
hun,2021,64.1
idn,2019,34
idn,2021,33.1
ind,2019,34.1
ind,2021,40.1
irl,2019,63.8
irl,2021,64.7
irn,2019,40.2
irn,2021,44.3
irq,2019,28
irq,2021,38.7
isl,2021,38.2
isr,2019,38.3
isr,2021,33
ita,2019,70.4
ita,2021,68.5
jam,2019,54.3
jam,2021,46.7
jor,2019,25.4
jor,2021,20.1
jpn,2019,60.2
jpn,2021,58.2
kaz,2019,38.1
kaz,2021,30.3
ken,2019,59.5
ken,2021,55.9
kgz,2019,46.3
kgz,2021,44.3
khm,2019,24.2
khm,2021,28.5
kor,2019,54.4
kor,2021,63.1
kwt,2019,34.4
lao,2019,25.8
lao,2021,24.4
lbn,2019,34.2
lbn,2021,25.4
lbr,2019,54.4
lby,2019,26.2
lka,2019,39.2
lka,2021,47.7
lso,2019,78.2
ltu,2019,28
ltu,2021,30.6
lux,2019,53
lva,2019,43.1
lva,2021,34.2
mar,2019,45.4
mar,2021,40.6
mda,2019,47.1
mda,2021,44.8
mdg,2019,43.3
mex,2019,69.3
mex,2021,69.3
mkd,2019,60.2
mkd,2021,63.6
mli,2019,53.5
mli,2021,54.1
mlt,2019,62.4
mlt,2021,61.9
mmr,2019,20.4
mmr,2021,21.6
mne,2019,43.4
mng,2019,35.4
mng,2021,30
moz,2019,43.4
moz,2021,42.4
mrt,2019,40.7
mus,2019,54.8
mus,2021,48
mwi,2019,75.8
mys,2019,40.8
mys,2021,51.2
nam,2019,66.9
nam,2021,47.2
ner,2019,36.8
nga,2019,45.9
nga,2021,37
nic,2019,56.9
nic,2021,55.8
nld,2019,35.8
nld,2021,47.2
nor,2019,40
nor,2021,49.1
npl,2019,34
npl,2021,42.4
nzl,2019,46
nzl,2021,44.4
pak,2019,34.3
pak,2021,30.5
pan,2019,68.1
pan,2021,61.6
per,2019,73.8
per,2021,62.6
phl,2019,57.8
phl,2021,69.5
pol,2019,52.4
pol,2021,69.2
prt,2019,85.4
prt,2021,78.5
pry,2019,70.8
pry,2021,50.2
pse,2019,28.9
rou,2019,75.5
rou,2021,78.2
rus,2019,40.4
rus,2021,36.5
rwa,2019,52.6
sau,2019,20.7
sau,2021,8.5
sen,2019,45.4
sen,2021,47.7
sgp,2019,70.2
sgp,2021,51.6
sle,2019,48.4
sle,2021,63.8
slv,2019,63.5
slv,2021,58.1
srb,2019,53.5
srb,2021,63.5
svk,2019,44.6
svk,2021,65.4
svn,2019,50.9
svn,2021,58.5
swe,2019,40.7
swe,2021,49.8
swz,2019,70
tcd,2019,46.7
tgo,2019,44.2
tgo,2021,53.3
tha,2019,36.5
tha,2021,43.3
tjk,2019,52.8
tjk,2021,37.2
tkm,2019,34.3
tun,2019,33.9
tun,2021,34.1
tur,2019,52.2
tur,2021,67.7
twn,2019,62.3
twn,2021,56.7
tza,2019,41.2
tza,2021,36.4
uga,2019,56.1
uga,2021,57.3
ukr,2019,53.8
ukr,2021,55.3
ury,2019,74.5
ury,2021,61.3
usa,2019,46.3
usa,2021,50.4
uzb,2019,22.7
uzb,2021,25.6
ven,2019,62.7
ven,2021,60.7
vnm,2019,63.2
vnm,2021,66.9
yem,2019,15.1
zaf,2019,59.6
zaf,2021,47.7
zmb,2019,66.7
zmb,2021,51.7
zwe,2019,61.6
zwe,2021,50.1
