world_4region,time,ihme_conflict_death
africa,1990,1.03918
africa,1991,0.53266
africa,1992,0.17571
africa,1993,0.24784
africa,1994,5.84507
africa,1995,0.34471
africa,1996,0.67207
africa,1997,0.81308
africa,1998,0.84744
africa,1999,1.08573
africa,2000,0.91367
africa,2001,0.33768
africa,2002,0.4175
africa,2003,0.39495
africa,2004,0.34053
africa,2005,0.19848
africa,2006,0.09702
africa,2007,0.09437
africa,2008,0.14619
africa,2009,0.22591
africa,2010,0.11455
africa,2011,0.20103
africa,2012,0.14895
africa,2013,0.25749
africa,2014,0.37778
africa,2015,0.33714
africa,2016,0.23849
africa,2017,0.28438
africa,2018,0.25002
africa,2019,0.1457
americas,1990,0.12189
americas,1991,0.13897
americas,1992,0.1048
americas,1993,0.03322
americas,1994,0.06007
americas,1995,0.04701
americas,1996,0.05072
americas,1997,0.04677
americas,1998,0.04499
americas,1999,0.04453
americas,2000,0.04125
americas,2001,0.12231
americas,2002,0.05914
americas,2003,0.03347
americas,2004,0.05076
americas,2005,0.04798
americas,2006,0.03087
americas,2007,0.02711
americas,2008,0.01799
americas,2009,0.0193
americas,2010,0.01914
americas,2011,0.01688
americas,2012,0.0127
americas,2013,0.00934
americas,2014,0.00811
americas,2015,0.00613
americas,2016,0.00335
americas,2017,0.00123
americas,2018,0.00301
americas,2019,0.00044
asia,1990,0.1004
asia,1991,0.10204
asia,1992,0.09615
asia,1993,0.10691
asia,1994,0.07244
asia,1995,0.06913
asia,1996,0.06554
asia,1997,0.06308
asia,1998,0.0838
asia,1999,0.06202
asia,2000,0.07812
asia,2001,0.08193
asia,2002,0.06878
asia,2003,0.10347
asia,2004,0.11151
asia,2005,0.12836
asia,2006,0.22703
asia,2007,0.21543
asia,2008,0.16914
asia,2009,0.16982
asia,2010,0.14437
asia,2011,0.14566
asia,2012,0.33108
asia,2013,0.31127
asia,2014,0.49695
asia,2015,0.44524
asia,2016,0.45559
asia,2017,0.34314
asia,2018,0.25609
asia,2019,0.15745
europe,1990,0.02414
europe,1991,0.10564
europe,1992,0.20918
europe,1993,0.14457
europe,1994,0.11885
europe,1995,0.18392
europe,1996,0.07614
europe,1997,0.05479
europe,1998,0.04674
europe,1999,0.20689
europe,2000,0.08518
europe,2001,0.05788
europe,2002,0.03375
europe,2003,0.01746
europe,2004,0.03391
europe,2005,0.01945
europe,2006,0.01022
europe,2007,0.01247
europe,2008,0.02207
europe,2009,0.0147
europe,2010,0.01862
europe,2011,0.01552
europe,2012,0.03009
europe,2013,0.03217
europe,2014,0.08775
europe,2015,0.05146
europe,2016,0.04347
europe,2017,0.01355
europe,2018,0.02235
europe,2019,0.00625
