global,time,percit_500k_1m
world,1950,2.66
world,1955,3.08
world,1960,3.06
world,1965,3.16
world,1970,3.54
world,1975,3.81
world,1980,3.82
world,1985,3.94
world,1990,3.9
world,1995,4.11
world,2000,4.38
world,2005,4.81
world,2010,5.1
world,2015,5.18
world,2020,5.53
world,2025,5.56
world,2030,5.77
world,2035,5.93
