country,time,ajustice_idea
aus,1979,92.7811
aus,1980,92.8873
aus,1981,92.89431
aus,1982,92.85485
aus,1983,92.82695
aus,1984,92.83471
aus,1985,92.89036
aus,1986,92.64338
aus,1987,92.8045
aus,1988,92.82513
aus,1989,92.70886
aus,1990,92.86588
aus,1991,92.86904
aus,1992,92.74745
aus,1993,92.63734
aus,1994,92.82575
aus,1995,92.76603
aus,1996,92.88743
aus,1997,92.89804
aus,1998,92.74166
aus,1999,92.79543
aus,2000,92.81733
aus,2001,92.81828
aus,2002,92.83283
aus,2003,92.76863
aus,2004,92.78227
aus,2005,92.7821
aus,2006,92.68828
aus,2007,92.84646
aus,2008,92.76484
aus,2009,92.70559
aus,2010,92.93046
aus,2011,92.72708
aus,2012,92.73017
aus,2013,92.12524
aus,2014,92.32127
aus,2015,91.64852
aus,2016,91.75145
aus,2017,89.91329
aus,2018,90.77125
aus,2019,92.31687
aut,1975,83.02794
aut,1976,84.99438
aut,1977,84.85861
aut,1978,85.12571
aut,1979,85.11136
aut,1980,85.09915
aut,1981,85.49773
aut,1982,85.36913
aut,1983,85.38127
aut,1984,85.43702
aut,1985,85.59871
aut,1986,86.01021
aut,1987,86.07425
aut,1988,86.11919
aut,1989,85.944
aut,1990,86.0682
aut,1991,86.06041
aut,1992,85.99657
aut,1993,86.04942
aut,1994,86.02777
aut,1995,86.01728
aut,1996,85.8523
aut,1997,86.01186
aut,1998,85.99691
aut,1999,85.93277
aut,2000,86.04055
aut,2001,85.95474
aut,2002,85.99733
aut,2003,86.03731
aut,2004,86.0433
aut,2005,86.16087
aut,2006,86.13731
aut,2007,86.00333
aut,2008,86.13721
aut,2009,86.06589
aut,2010,86.00873
aut,2011,86.16526
aut,2012,86.11123
aut,2013,85.55918
aut,2014,85.51793
aut,2015,85.46706
aut,2016,85.53408
aut,2017,85.52868
aut,2018,77.41931
aut,2019,82.17914
aze,1991,51.22514
aze,1992,54.99429
aze,1993,54.38887
aze,1994,45.08841
aze,1995,44.89078
aze,1996,44.97212
aze,1997,44.73054
aze,1998,40.77692
aze,1999,40.74511
aze,2000,40.26373
aze,2001,40.33074
aze,2002,40.22617
aze,2003,40.43499
aze,2004,40.37359
aze,2005,40.28895
aze,2006,40.15407
aze,2007,40.09818
aze,2008,40.35552
aze,2009,40.43235
aze,2010,40.5731
aze,2011,40.41012
aze,2012,40.25616
aze,2013,37.36649
aze,2014,35.97958
aze,2015,36.22455
aze,2016,36.64227
aze,2017,40.67607
aze,2018,39.72338
aze,2019,41.41253
bdi,1975,44.96105
bdi,1976,51.21888
bdi,1977,51.61735
bdi,1978,51.50149
bdi,1979,51.57794
bdi,1980,51.65355
bdi,1981,51.50171
bdi,1982,51.76963
bdi,1983,55.86701
bdi,1984,55.75719
bdi,1985,55.67882
bdi,1986,56.0215
bdi,1987,51.35855
bdi,1988,51.33037
bdi,1989,51.16862
bdi,1990,50.90364
bdi,1991,51.07018
bdi,1992,57.54395
bdi,1993,55.72197
bdi,1994,55.65784
bdi,1995,55.79782
bdi,1996,55.672
bdi,1997,55.79646
bdi,1998,55.72238
