country,time,fassoas_idea
afg,1975,36.7449
afg,1976,36.7449
afg,1977,35.68853
afg,1978,21.54627
afg,1979,10.88564
afg,1980,14.61548
afg,1981,13.97327
afg,1982,13.97327
afg,1983,13.97327
afg,1984,13.97327
afg,1985,13.97327
afg,1986,13.97327
afg,1987,13.97327
afg,1988,13.97327
afg,1989,16.3829
afg,1990,16.3829
afg,1991,16.3829
afg,1992,26.56997
afg,1993,33.65194
afg,1994,27.62591
afg,1995,27.62591
afg,1996,2.65116
afg,1997,2.65116
afg,1998,2.65116
afg,1999,2.65116
afg,2000,2.65116
afg,2001,32.89582
afg,2002,52.7904
afg,2003,56.20695
afg,2004,57.86579
afg,2005,55.51193
afg,2006,55.51193
afg,2007,55.51193
afg,2008,55.67064
afg,2009,52.7904
afg,2010,55.67064
afg,2011,57.16351
afg,2012,62.01784
afg,2013,59.28391
afg,2014,59.28391
afg,2015,58.01458
afg,2016,59.28391
afg,2017,56.25308
afg,2018,58.77763
afg,2019,53.20681
ago,1975,10.88564
ago,1976,10.88564
ago,1977,3.13121
ago,1978,3.13121
ago,1979,3.13121
ago,1980,10.88564
ago,1981,10.44074
ago,1982,10.44074
ago,1983,10.44074
ago,1984,10.44074
ago,1985,10.44074
ago,1986,10.44074
ago,1987,10.44074
ago,1988,10.44074
ago,1989,10.44074
ago,1990,14.64232
ago,1991,36.13051
ago,1992,45.70786
ago,1993,48.42063
ago,1994,40.81183
ago,1995,36.75311
ago,1996,36.75311
ago,1997,36.75311
ago,1998,42.21052
ago,1999,40.81183
ago,2000,44.55666
ago,2001,40.81183
ago,2002,41.92746
ago,2003,41.92746
ago,2004,39.25635
ago,2005,39.25635
ago,2006,39.25635
ago,2007,40.60998
ago,2008,38.22509
ago,2009,38.28235
ago,2010,41.86289
ago,2011,38.28235
ago,2012,39.59276
ago,2013,39.76203
ago,2014,39.76203
ago,2015,39.76203
ago,2016,41.11406
ago,2017,44.66396
ago,2018,49.54325
ago,2019,49.54325
alb,1975,0.38773
alb,1976,0.38773
alb,1977,0.38773
alb,1978,0.38773
alb,1979,0.38773
alb,1980,0.38773
alb,1981,0
alb,1982,0
alb,1983,0
alb,1984,0
alb,1985,6.34709
alb,1986,6.34709
alb,1987,6.34709
alb,1988,6.34709
alb,1989,6.34709
alb,1990,24.51003
alb,1991,45.63051
alb,1992,59.4488
alb,1993,57.98366
alb,1994,60.41843
alb,1995,60.41843
alb,1996,58.60526
alb,1997,57.0418
alb,1998,63.83538
alb,1999,65.53615
alb,2000,61.39393
alb,2001,66.69337
alb,2002,65.6286
alb,2003,63.61991
alb,2004,63.61991
alb,2005,65.6286
alb,2006,69.60696
alb,2007,72.75205
alb,2008,72.75205
alb,2009,69.60696
alb,2010,72.75205
alb,2011,72.75205
alb,2012,68.72874
alb,2013,71.12942
alb,2014,71.12942
alb,2015,71.12942
alb,2016,71.12942
alb,2017,71.12942
alb,2018,73.13229
alb,2019,72.03668
are,1975,29.889
are,1976,29.889
are,1977,29.889
are,1978,29.889
are,1979,29.889
are,1980,29.889
are,1981,28.98258
are,1982,28.98258
are,1983,27.23256
are,1984,29.93662
are,1985,29.93662
are,1986,29.93662
are,1987,35.1303
are,1988,35.1303
are,1989,35.1303
are,1990,35.1303
are,1991,35.1303
are,1992,35.1303
are,1993,35.1303
are,1994,35.1303
are,1995,35.1303
are,1996,35.1303
are,1997,35.1303
are,1998,35.1303
are,1999,35.1303
are,2000,35.1303
are,2001,26.37512
are,2002,26.37512
are,2003,26.37512
are,2004,25.34371
are,2005,25.34371
are,2006,25.34371
are,2007,29.49332
are,2008,27.45042
are,2009,27.45042
are,2010,27.45042
are,2011,27.45042
are,2012,24.47209
are,2013,24.47209
are,2014,24.47209
are,2015,24.47209
are,2016,24.47209
are,2017,24.47209
are,2018,25.98115
are,2019,27.45042
arg,1975,42.42319
arg,1976,25.52233
arg,1977,19.60551
arg,1978,19.60551
arg,1979,19.60551
arg,1980,20.43262
arg,1981,28.2601
arg,1982,30.7087
arg,1983,44.47633
arg,1984,74.08955
arg,1985,75.25812
arg,1986,80.63108
arg,1987,77.3507
arg,1988,80.63108
arg,1989,80.63108
arg,1990,80.63108
arg,1991,76.23065
arg,1992,80.63108
arg,1993,77.3507
arg,1994,76.23065
arg,1995,79.48075
arg,1996,80.63108
arg,1997,80.63108
arg,1998,77.3507
arg,1999,78.5375
arg,2000,77.06861
arg,2001,75.1251
arg,2002,77.3507
arg,2003,79.48075
