country,time,matfootp_cap
afg,1990,2.46
afg,1991,2.81
afg,1992,2.06
afg,1993,1.87
afg,1994,1.6
afg,1995,1.59
afg,1996,1.45
afg,1997,1.27
afg,1998,0.97
afg,1999,0.86
afg,2000,0.62
afg,2001,0.9
afg,2002,0.98
afg,2003,1.03
afg,2004,1.07
afg,2005,1.15
afg,2006,1.06
afg,2007,1.18
afg,2008,1.03
afg,2009,1.27
afg,2010,1.39
afg,2011,1.33
afg,2012,1.37
afg,2013,1.3
afg,2014,1.29
afg,2015,1.28
afg,2016,1.2
afg,2017,1.2
ago,1990,2.03
ago,1991,2.84
ago,1992,2.77
ago,1993,2.34
ago,1994,2.38
ago,1995,1.94
ago,1996,1.86
ago,1997,2.01
ago,1998,2.24
ago,1999,2.01
ago,2000,2.26
ago,2001,2.67
ago,2002,2.67
ago,2003,2.89
ago,2004,2.98
ago,2005,3.22
ago,2006,3.03
ago,2007,3.63
ago,2008,3.93
ago,2009,4.67
ago,2010,4.05
ago,2011,4
ago,2012,3.53
ago,2013,4.3
ago,2014,3.76
ago,2015,3.75
ago,2016,3.35
ago,2017,3.34
alb,1990,5.94
alb,1991,7.31
alb,1992,3.82
alb,1993,3.48
alb,1994,3.45
alb,1995,3.5
alb,1996,4.28
alb,1997,4.03
alb,1998,4.36
alb,1999,4.73
alb,2000,5.55
alb,2001,6.1
alb,2002,6.13
alb,2003,7.48
alb,2004,8.33
alb,2005,9.19
alb,2006,9.15
alb,2007,8.93
alb,2008,9.39
alb,2009,10.89
alb,2010,8.96
alb,2011,9.42
alb,2012,9.62
alb,2013,9.8
alb,2014,10.58
alb,2015,10.86
alb,2016,11.23
alb,2017,11.57
are,1990,15.81
are,1991,23.5
are,1992,34.37
are,1993,54.8
are,1994,67.76
are,1995,63.41
are,1996,68.27
are,1997,67.21
are,1998,59.06
are,1999,62.72
are,2000,62.36
are,2001,49.67
are,2002,52.52
are,2003,48.67
are,2004,56.92
are,2005,55.81
are,2006,52.49
are,2007,55.02
are,2008,49.31
are,2009,40.11
are,2010,39.48
are,2011,42.93
are,2012,42.59
are,2013,46.33
are,2014,47.09
are,2015,48.09
are,2016,48.4
are,2017,49.11
arg,1990,9.58
arg,1991,11.35
arg,1992,11.86
arg,1993,11.92
arg,1994,12.69
arg,1995,12.24
arg,1996,12.28
arg,1997,13.19
arg,1998,14.34
arg,1999,14.03
arg,2000,13.27
arg,2001,12.53
arg,2002,8.5
arg,2003,9.29
arg,2004,9.96
arg,2005,11.06
arg,2006,10.98
arg,2007,12.13
arg,2008,12.06
arg,2009,11.37
arg,2010,12.61
arg,2011,13.24
arg,2012,12.79
arg,2013,13.9
arg,2014,14.1
arg,2015,14.29
arg,2016,14.59
arg,2017,14.78
arm,1990,3.93
arm,1991,6.1
arm,1992,3.38
arm,1993,2.65
arm,1994,2.29
arm,1995,2.8
arm,1996,3.06
arm,1997,2.71
arm,1998,3.19
arm,1999,3.04
arm,2000,2.43
arm,2001,2.75
arm,2002,2.92
arm,2003,3.35
arm,2004,3.96
arm,2005,4.41
arm,2006,4.8
arm,2007,5.77
arm,2008,6.54
arm,2009,6.48
arm,2010,6.25
arm,2011,6.3
arm,2012,6.63
arm,2013,6.96
arm,2014,7.16
arm,2015,7.37
arm,2016,7.86
arm,2017,8.11
atg,1990,19.57
atg,1991,107.94
atg,1992,25.7
atg,1993,25.16
atg,1994,25.53
atg,1995,24.22
atg,1996,23.99
atg,1997,23.9
atg,1998,21.43
atg,1999,21.27
atg,2000,22.71
atg,2001,20.46
atg,2002,21.76
atg,2003,21.34
atg,2004,21.47
atg,2005,24.39
atg,2006,29.75
atg,2007,26.65
atg,2008,19.95
atg,2009,13.94
atg,2010,13.64
atg,2011,14.57
atg,2012,13.47
atg,2013,13.61
atg,2014,13.67
atg,2015,13.63
atg,2016,13.38
atg,2017,13.4
aus,1990,40.28
aus,1991,40.79
aus,1992,36.98
aus,1993,35.4
aus,1994,34.94
aus,1995,38.28
aus,1996,39.22
aus,1997,39.94
aus,1998,41.99
aus,1999,41.67
aus,2000,39.76
aus,2001,40.01
aus,2002,40.17
aus,2003,42.93
aus,2004,42.33
aus,2005,43
aus,2006,38.7
aus,2007,45.62
aus,2008,37.71
aus,2009,43.14
aus,2010,40.78
aus,2011,40.94
aus,2012,41.49
aus,2013,41.16
aus,2014,42.14
aus,2015,42.49
aus,2016,42.83
aus,2017,43.11
aut,1990,19.74
aut,1991,21.46
aut,1992,23.3
aut,1993,22.34
aut,1994,23.89
aut,1995,23.83
aut,1996,23.41
aut,1997,23.62
aut,1998,25.1
aut,1999,24.6
aut,2000,24.59
aut,2001,24.46
aut,2002,24.77
aut,2003,26.65
aut,2004,28.72
aut,2005,29.45
aut,2006,30.35
aut,2007,31.45
aut,2008,32.22
aut,2009,30.5
aut,2010,30.13
aut,2011,31.21
aut,2012,31.08
aut,2013,31.26
aut,2014,31.93
aut,2015,32.39
aut,2016,32.25
aut,2017,32.59
aze,1990,1.25
aze,1991,2.67
aze,1992,9.85
aze,1993,8.64
aze,1994,6.02
aze,1995,4.58
aze,1996,4.18
aze,1997,3.24
aze,1998,2.95
aze,1999,2.83
aze,2000,2.56
aze,2001,2.67
aze,2002,3.04
aze,2003,3.51
aze,2004,3.68
aze,2005,3.51
aze,2006,3.49
aze,2007,3.8
aze,2008,3.84
aze,2009,4.87
aze,2010,4.72
aze,2011,5.01
aze,2012,5.05
aze,2013,5.8
aze,2014,5.73
aze,2015,5.85
aze,2016,6.09
aze,2017,6.24
bdi,1990,2.12
bdi,1991,3.24
bdi,1992,2.14
bdi,1993,2.09
bdi,1994,1.93
bdi,1995,1.98
bdi,1996,1.86
bdi,1997,1.77
bdi,1998,1.75
bdi,1999,1.54
bdi,2000,1.49
bdi,2001,1.7
bdi,2002,1.75
bdi,2003,1.71
bdi,2004,1.69
bdi,2005,1.79
bdi,2006,1.75
bdi,2007,1.66
bdi,2008,1.54
bdi,2009,1.67
bdi,2010,1.68
bdi,2011,1.63
bdi,2012,1.37
bdi,2013,1.64
bdi,2014,1.52
bdi,2015,1.5
bdi,2016,1.62
bdi,2017,1.59
bel,1990,15.3
bel,1991,16.72
bel,1992,20.23
bel,1993,19.48
bel,1994,20.51
bel,1995,20.39
bel,1996,20.35
bel,1997,19.63
bel,1998,21.12
bel,1999,21.69
bel,2000,23.3
bel,2001,21.66
bel,2002,21.97
bel,2003,22.57
bel,2004,23.54
bel,2005,23.93
bel,2006,24.25
bel,2007,25.04
bel,2008,25.59
bel,2009,23.89
bel,2010,22.88
bel,2011,22.3
bel,2012,22.54
bel,2013,22.87
bel,2014,23.12
bel,2015,23.41
bel,2016,23.78
bel,2017,24.12
ben,1990,2.99
ben,1991,4.25
ben,1992,3.11
ben,1993,3.34
ben,1994,2.72
ben,1995,3.06
ben,1996,2.74
ben,1997,2.8
ben,1998,2.43
ben,1999,2.7
ben,2000,2.62
ben,2001,3.12
ben,2002,2.91
ben,2003,3.11
ben,2004,3.05
ben,2005,3.04
ben,2006,3.62
ben,2007,3.72
ben,2008,3.85
ben,2009,4
ben,2010,3.86
ben,2011,3.99
ben,2012,4.04
ben,2013,4.18
ben,2014,4.26
ben,2015,4.28
ben,2016,4.41
ben,2017,4.41
bfa,1990,2.67
bfa,1991,5.1
bfa,1992,2.82
bfa,1993,2.71
bfa,1994,2.44
bfa,1995,2.4
bfa,1996,2.4
bfa,1997,2.16
bfa,1998,2.34
bfa,1999,2.1
bfa,2000,1.84
bfa,2001,1.96
bfa,2002,1.9
bfa,2003,2.41
bfa,2004,2.41
bfa,2005,2.75
bfa,2006,2.84
bfa,2007,2.76
bfa,2008,3.16
bfa,2009,3.11
bfa,2010,3.4
bfa,2011,3.41
bfa,2012,3.62
bfa,2013,3.77
bfa,2014,3.77
bfa,2015,3.82
bfa,2016,3.89
bfa,2017,3.95
bgd,1990,1.52
bgd,1991,1.66
bgd,1992,1.47
bgd,1993,1.47
bgd,1994,1.52
bgd,1995,1.57
bgd,1996,1.61
bgd,1997,1.58
bgd,1998,1.71
bgd,1999,1.71
bgd,2000,1.74
bgd,2001,1.76
bgd,2002,1.78
bgd,2003,1.73
bgd,2004,1.66
bgd,2005,1.81
bgd,2006,1.75
bgd,2007,1.77
bgd,2008,1.82
bgd,2009,1.9
bgd,2010,2.01
bgd,2011,2.06
bgd,2012,2.11
bgd,2013,2.22
bgd,2014,2.24
bgd,2015,2.28
bgd,2016,2.39
bgd,2017,2.44
bgr,1990,10.17
bgr,1991,6.01
bgr,1992,6.91
bgr,1993,7.69
bgr,1994,7.16
bgr,1995,7.28
bgr,1996,5.3
bgr,1997,4.37
bgr,1998,4.49
bgr,1999,4.91
bgr,2000,4.6
bgr,2001,5.37
bgr,2002,5.6
bgr,2003,6.62
bgr,2004,8.33
bgr,2005,9.12
bgr,2006,10.98
bgr,2007,11.78
bgr,2008,13.03
bgr,2009,11.58
bgr,2010,10.74
bgr,2011,11.53
bgr,2012,11.16
bgr,2013,11.04
bgr,2014,11.53
bgr,2015,12.11
bgr,2016,12.41
bgr,2017,12.79
bhr,1990,34.39
bhr,1991,49.74
bhr,1992,37.44
bhr,1993,34.16
bhr,1994,33.68
bhr,1995,29.25
bhr,1996,28.69
bhr,1997,28.06
bhr,1998,26.57
bhr,1999,25.39
bhr,2000,20.89
bhr,2001,20.47
bhr,2002,21.3
bhr,2003,18.4
bhr,2004,17.89
bhr,2005,18.71
bhr,2006,16.02
bhr,2007,15.07
bhr,2008,15.23
bhr,2009,15.7
bhr,2010,14.3
bhr,2011,13.4
bhr,2012,13.34
bhr,2013,14.12
bhr,2014,14.46
bhr,2015,14.68
bhr,2016,14.61
bhr,2017,14.37
bhs,1990,41.35
bhs,1991,62.66
bhs,1992,36.26
bhs,1993,36.63
bhs,1994,36.66
bhs,1995,36.09
bhs,1996,34.85
bhs,1997,37.52
bhs,1998,35.95
bhs,1999,36.76
bhs,2000,39.32
bhs,2001,30.73
bhs,2002,30.31
bhs,2003,26.31
bhs,2004,25.67
bhs,2005,29.2
bhs,2006,28.77
bhs,2007,24.34
bhs,2008,21.47
bhs,2009,20.75
bhs,2010,22.25
bhs,2011,20.03
bhs,2012,20.01
bhs,2013,20.54
bhs,2014,21.35
bhs,2015,20.89
bhs,2016,21.3
bhs,2017,20.93
bih,1990,5.4
bih,1991,6.44
bih,1992,7.5
bih,1993,6.78
bih,1994,3.73
bih,1995,3.45
bih,1996,3.08
bih,1997,4.3
bih,1998,4.8
bih,1999,4.76
bih,2000,4.66
bih,2001,5.51
bih,2002,6.2
bih,2003,7.56
bih,2004,7.91
bih,2005,8.12
bih,2006,8.71
bih,2007,9.02
bih,2008,9.53
bih,2009,8.88
bih,2010,8.05
bih,2011,8.31
bih,2012,8
bih,2013,8.3
bih,2014,8.42
bih,2015,8.79
bih,2016,10.21
bih,2017,10.64
blr,1990,0.01
blr,1991,0.26
blr,1992,0.22
blr,1993,0.05
blr,1994,0.04
blr,1995,0.11
blr,1996,0.16
blr,1997,0.21
blr,1998,0.03
blr,1999,0.03
blr,2000,0.07
blr,2001,0.03
blr,2002,0.08
blr,2003,0.03
blr,2004,0.03
blr,2005,0.04
blr,2006,0.05
blr,2007,0.05
blr,2008,0.04
blr,2009,0.04
blr,2010,0.17
blr,2011,0.07
blr,2012,0.07
blr,2013,0.38
blr,2014,0.39
blr,2015,0.4
blr,2016,0.42
blr,2017,0.43
blz,1990,8.79
blz,1991,34.09
blz,1992,11.06
blz,1993,10.81
blz,1994,10.95
blz,1995,9.41
blz,1996,10.22
blz,1997,9.8
blz,1998,9.09
blz,1999,9.07
blz,2000,10.64
blz,2001,12.85
blz,2002,11.14
blz,2003,12.06
blz,2004,10.1
blz,2005,8.71
blz,2006,8.91
blz,2007,9.43
blz,2008,9.93
blz,2009,8.18
blz,2010,7.52
blz,2011,7.79
blz,2012,7.86
blz,2013,7.98
blz,2014,8.05
blz,2015,7.95
blz,2016,7.83
blz,2017,7.76
bol,1990,5.8
bol,1991,6.81
bol,1992,5.44
bol,1993,5.67
bol,1994,5.26
bol,1995,5.03
bol,1996,4.65
bol,1997,4.48
bol,1998,4.77
bol,1999,4.88
bol,2000,4.54
bol,2001,4.27
bol,2002,4.56
bol,2003,4.4
bol,2004,4.07
bol,2005,4.05
bol,2006,4.09
bol,2007,4.22
bol,2008,4.38
bol,2009,4.91
bol,2010,4.41
bol,2011,4.47
bol,2012,4.9
bol,2013,5.26
bol,2014,5.31
bol,2015,5.39
bol,2016,5.39
bol,2017,5.46
bra,1990,9.96
bra,1991,9.68
bra,1992,9.29
bra,1993,9.09
bra,1994,9.93
bra,1995,11.25
bra,1996,10.56
bra,1997,10.56
bra,1998,11.31
bra,1999,10.19
bra,2000,10.92
bra,2001,10.52
bra,2002,10.37
bra,2003,10.26
bra,2004,10.42
bra,2005,11.01
bra,2006,11.64
bra,2007,12.71
bra,2008,13.76
bra,2009,14.27
bra,2010,15.61
bra,2011,15.95
bra,2012,15.63
bra,2013,16.11
bra,2014,16.03
bra,2015,16.43
bra,2016,17.1
bra,2017,17.49
brb,1990,21.92
brb,1991,43.63
brb,1992,21.34
brb,1993,19.76
brb,1994,20.18
brb,1995,20.21
brb,1996,21.95
brb,1997,22.02
brb,1998,21.92
brb,1999,21.2
brb,2000,20.71
brb,2001,17.82
brb,2002,17.79
brb,2003,15.74
brb,2004,16.27
brb,2005,20.25
brb,2006,20.11
brb,2007,14.33
brb,2008,17.15
brb,2009,15.88
brb,2010,10.79
brb,2011,11.66
brb,2012,11.52
brb,2013,11.13
brb,2014,11.15
brb,2015,11.1
brb,2016,11.05
brb,2017,11.05
brn,1990,20.29
brn,1991,43.42
brn,1992,20.56
brn,1993,20.63
brn,1994,20.05
brn,1995,22.24
brn,1996,21.4
brn,1997,21.73
brn,1998,17.32
brn,1999,14.92
brn,2000,13.38
brn,2001,13.29
brn,2002,13.48
brn,2003,14.1
brn,2004,15.11
brn,2005,14.79
brn,2006,14.7
brn,2007,18.19
brn,2008,16.87
brn,2009,19.08
brn,2010,18.31
brn,2011,20.16
brn,2012,19.99
brn,2013,19.74
brn,2014,19.51
brn,2015,19.55
brn,2016,20.05
brn,2017,20.18
btn,1990,7.32
btn,1991,19.45
btn,1992,8.67
btn,1993,7.31
btn,1994,7.15
btn,1995,6.88
btn,1996,7.13
btn,1997,7.49
btn,1998,6.6
btn,1999,6.48
btn,2000,5.12
btn,2001,6.36
btn,2002,7.16
btn,2003,7.17
btn,2004,7.59
btn,2005,7.73
btn,2006,7.11
btn,2007,7.77
btn,2008,7.61
btn,2009,7.89
btn,2010,9.17
btn,2011,9.79
btn,2012,9.73
btn,2013,10.01
btn,2014,10.1
btn,2015,10.22
btn,2016,11.06
btn,2017,11.23
bwa,1990,28.96
bwa,1991,33.18
bwa,1992,27.54
bwa,1993,26.68
bwa,1994,26.33
bwa,1995,27.33
bwa,1996,25.76
bwa,1997,27.74
bwa,1998,27.36
bwa,1999,28.85
bwa,2000,30.71
bwa,2001,31
bwa,2002,31.97
bwa,2003,34.95
bwa,2004,37.55
bwa,2005,36.77
bwa,2006,35.56
bwa,2007,35.06
bwa,2008,34.62
bwa,2009,32.93
bwa,2010,34.88
bwa,2011,32.29
bwa,2012,32.45
bwa,2013,34.41
bwa,2014,33.68
bwa,2015,33.59
bwa,2016,35.69
bwa,2017,35.45
caf,1990,2.83
caf,1991,4.73
caf,1992,2.91
caf,1993,2.79
caf,1994,2.45
caf,1995,2.41
caf,1996,2.31
caf,1997,1.95
caf,1998,1.97
caf,1999,1.78
caf,2000,1.79
caf,2001,1.93
caf,2002,1.98
caf,2003,1.86
caf,2004,2.1
caf,2005,2.24
caf,2006,2.2
caf,2007,2.33
caf,2008,2.44
caf,2009,2.62
caf,2010,2.52
caf,2011,2.59
caf,2012,2.59
caf,2013,2.37
caf,2014,2.33
caf,2015,2.33
caf,2016,2.56
caf,2017,2.58
can,1990,35.43
can,1991,34.25
can,1992,33.55
can,1993,32.32
can,1994,32.04
can,1995,31.05
can,1996,29.89
can,1997,30.96
can,1998,30.65
can,1999,29.55
can,2000,29.91
can,2001,28.43
can,2002,28.56
can,2003,30.4
can,2004,31.28
can,2005,32
can,2006,33.03
can,2007,33.14
can,2008,32.25
can,2009,31.97
can,2010,33.23
can,2011,33.58
can,2012,34.44
can,2013,35.07
can,2014,35.1
can,2015,34.89
can,2016,34.81
can,2017,34.84
che,1990,19.96
che,1991,20.64
che,1992,20.04
che,1993,18.76
che,1994,20.17
che,1995,20.98
che,1996,19.93
che,1997,19.26
che,1998,20.25
che,1999,20.77
che,2000,23.46
che,2001,25.95
che,2002,26.74
che,2003,26.2
che,2004,28.01
che,2005,29.82
che,2006,31.08
che,2007,32.06
che,2008,31.02
che,2009,28.19
che,2010,29.02
che,2011,30.23
che,2012,30.71
che,2013,31.2
che,2014,31.5
che,2015,31.67
che,2016,31.92
che,2017,32.19
chl,1990,9.66
chl,1991,11.44
chl,1992,11.53
chl,1993,12.62
chl,1994,12.89
chl,1995,13.81
chl,1996,16.29
chl,1997,17.17
chl,1998,16.88
chl,1999,17.21
chl,2000,15.77
chl,2001,17.31
chl,2002,17.4
chl,2003,17.45
chl,2004,16.16
chl,2005,16.48
chl,2006,15.28
chl,2007,14.54
chl,2008,14.67
chl,2009,14.8
chl,2010,15.84
chl,2011,16.24
chl,2012,16.18
chl,2013,17.1
chl,2014,17.02
chl,2015,17.07
chl,2016,17.11
chl,2017,17.15
chn,1990,4.64
chn,1991,5.41
chn,1992,6.02
chn,1993,6.59
chn,1994,6.69
chn,1995,6.91
chn,1996,7.45
chn,1997,7.47
chn,1998,7.8
chn,1999,7.92
chn,2000,7.69
chn,2001,8.4
chn,2002,8.51
chn,2003,9.24
chn,2004,9.79
chn,2005,10.17
chn,2006,10.95
chn,2007,11.74
chn,2008,12.69
chn,2009,14.85
chn,2010,16.28
chn,2011,17.58
chn,2012,18.17
chn,2013,19.16
chn,2014,19.49
chn,2015,19.94
chn,2016,20.11
chn,2017,20.71
civ,1990,2.33
civ,1991,2.95
civ,1992,1.87
civ,1993,1.69
civ,1994,1.29
civ,1995,1.46
