world_4region,time,ihme_hiv_death
africa,1990,3.34572
africa,1991,4.25913
africa,1992,5.28934
africa,1993,6.38939
africa,1994,7.08618
africa,1995,8.6451
africa,1996,9.68198
africa,1997,10.68965
africa,1998,11.6544
africa,1999,12.50561
africa,2000,13.27908
africa,2001,13.98099
africa,2002,14.44843
africa,2003,14.76414
africa,2004,14.94512
africa,2005,14.82877
africa,2006,14.31326
africa,2007,13.56853
africa,2008,12.68745
africa,2009,11.86209
africa,2010,11.21797
africa,2011,10.60099
africa,2012,9.95596
africa,2013,9.34272
africa,2014,8.85016
africa,2015,8.49997
africa,2016,8.26604
africa,2017,7.93084
africa,2018,7.47541
africa,2019,7.21306
americas,1990,0.91232
americas,1991,1.09138
americas,1992,1.26817
americas,1993,1.43342
americas,1994,1.61062
americas,1995,1.69143
americas,1996,1.51868
americas,1997,1.24271
americas,1998,1.16202
americas,1999,1.2023
americas,2000,1.20606
americas,2001,1.20952
americas,2002,1.20307
americas,2003,1.20256
americas,2004,1.18548
americas,2005,1.15527
americas,2006,1.12582
americas,2007,1.08518
americas,2008,1.03904
americas,2009,0.99384
americas,2010,0.92831
americas,2011,0.92821
americas,2012,0.89953
americas,2013,0.87968
americas,2014,0.86175
americas,2015,0.83643
americas,2016,0.80195
americas,2017,0.76987
americas,2018,0.73424
americas,2019,0.70316
asia,1990,0.02987
asia,1991,0.04373
asia,1992,0.0655
asia,1993,0.09816
asia,1994,0.14125
asia,1995,0.19741
asia,1996,0.26525
asia,1997,0.34267
asia,1998,0.43507
asia,1999,0.53596
asia,2000,0.63287
asia,2001,0.72555
asia,2002,0.80486
asia,2003,0.8646
asia,2004,0.91652
asia,2005,0.93954
asia,2006,0.93698
asia,2007,0.90286
asia,2008,0.8522
asia,2009,0.80405
asia,2010,0.74233
asia,2011,0.691
asia,2012,0.6448
asia,2013,0.6147
asia,2014,0.5832
asia,2015,0.54725
asia,2016,0.51158
asia,2017,0.47443
asia,2018,0.44928
asia,2019,0.43488
europe,1990,0.19343
europe,1991,0.23212
europe,1992,0.268
europe,1993,0.30215
europe,1994,0.33802
europe,1995,0.36992
europe,1996,0.35938
europe,1997,0.27662
europe,1998,0.23215
europe,1999,0.25415
europe,2000,0.26278
europe,2001,0.25676
europe,2002,0.25336
europe,2003,0.26513
europe,2004,0.27036
europe,2005,0.30878
europe,2006,0.31303
europe,2007,0.32568
europe,2008,0.33518
europe,2009,0.3361
europe,2010,0.34183
europe,2011,0.35795
europe,2012,0.35587
europe,2013,0.33238
europe,2014,0.36287
europe,2015,0.37824
europe,2016,0.40486
europe,2017,0.37274
europe,2018,0.35301
europe,2019,0.33494
