country,time,vacc_rate
afg,1980,11
afg,1981,3
afg,1982,10
afg,1983,10
afg,1984,16
afg,1985,17
afg,1986,18
afg,1987,31
afg,1988,40
afg,1989,38
afg,1990,30
afg,1991,23
afg,1992,22
afg,1993,25
afg,1994,40
afg,1995,41
afg,1996,47
afg,1997,43
afg,1998,35
afg,1999,38
afg,2000,30
afg,2001,43
afg,2002,46
afg,2003,44
afg,2004,51
afg,2005,58
afg,2006,60
afg,2007,63
afg,2008,66
afg,2009,64
afg,2010,68
afg,2011,71
afg,2012,78
afg,2013,72
afg,2014,74
afg,2015,76
afg,2016,78
afg,2017,84
afg,2018,89
afg,2019,86
afg,2020,87
ago,1983,26
ago,1984,35
ago,1985,44
ago,1986,44
ago,1987,55
ago,1988,56
ago,1989,48
ago,1990,48
ago,1991,53
ago,1992,47
ago,1993,53
ago,1994,48
ago,1995,60
ago,1996,65
ago,1997,78
ago,1998,60
ago,1999,49
ago,2000,53
ago,2001,70
ago,2002,76
ago,2003,54
ago,2004,63
ago,2005,51
ago,2006,54
ago,2007,75
ago,2008,73
ago,2009,70
ago,2010,79
ago,2011,74
ago,2012,73
ago,2013,71
ago,2014,72
ago,2015,64
ago,2016,59
ago,2017,69
ago,2018,72
ago,2019,69
ago,2020,58
alb,1980,94
alb,1981,94
alb,1982,95
alb,1983,96
alb,1984,96
alb,1985,96
alb,1986,96
alb,1987,96
alb,1988,96
alb,1989,96
alb,1990,94
alb,1991,82
alb,1992,97
alb,1993,98
alb,1994,99
alb,1995,98
alb,1996,99
alb,1997,99
alb,1998,97
alb,1999,97
alb,2000,97
alb,2001,97
alb,2002,98
alb,2003,97
alb,2004,99
alb,2005,98
alb,2006,98
alb,2007,99
alb,2008,99
alb,2009,98
alb,2010,99
alb,2011,99
alb,2012,99
alb,2013,99
alb,2014,99
alb,2015,99
alb,2016,99
alb,2017,99
alb,2018,99
alb,2019,99
and,1997,90
and,1998,90
and,1999,97
and,2000,98
and,2001,97
and,2002,98
and,2003,99
and,2004,99
and,2005,98
and,2006,93
and,2007,96
and,2008,99
and,2009,99
and,2010,99
and,2011,99
and,2012,99
and,2013,96
and,2014,97
and,2015,97
and,2016,98
