world_4region,time,fisfod_cons_pc
africa,1961,5.11
africa,1962,5.18
africa,1963,5.55
africa,1964,6.02
africa,1965,5.96
africa,1966,6.26
africa,1967,6.38
africa,1968,5.96
africa,1969,6.13
africa,1970,6.84
africa,1971,7.43
africa,1972,7.72
africa,1973,7.74
africa,1974,7.88
africa,1975,8.32
africa,1976,8.76
africa,1977,8.97
africa,1978,9.25
africa,1979,9.2
africa,1980,9.04
africa,1981,9.89
africa,1982,10.08
africa,1983,9.15
africa,1984,8.76
africa,1985,8.38
africa,1986,8.67
africa,1987,9.37
africa,1988,9.38
africa,1989,9.48
africa,1990,9.87
africa,1991,8.65
africa,1992,8.57
africa,1993,7.54
africa,1994,6.99
africa,1995,7.41
africa,1996,7.6
africa,1997,7.84
africa,1998,7.88
africa,1999,8.16
africa,2000,8
africa,2001,8.48
africa,2002,8.09
africa,2003,8.44
africa,2004,9.11
africa,2005,9.27
africa,2006,9.99
africa,2007,10.54
africa,2008,10.31
africa,2009,10.1
africa,2010,10.64
africa,2011,11.21
africa,2012,11.07
africa,2013,10.89
africa,2014,11.11
africa,2015,10.89
africa,2016,10.53
africa,2017,10.35
africa,2018,10.27
americas,1961,8.96
americas,1962,9.37
americas,1963,9.31
americas,1964,9.2
americas,1965,9.02
americas,1966,9.42
americas,1967,9.24
americas,1968,9.96
americas,1969,9.45
americas,1970,10.13
americas,1971,10.07
americas,1972,10.93
americas,1973,11.38
americas,1974,10.66
americas,1975,10.28
americas,1976,10.58
americas,1977,10.71
americas,1978,11.58
americas,1979,12.01
americas,1980,11.82
americas,1981,12.53
americas,1982,11.78
americas,1983,11.67
americas,1984,12.55
americas,1985,12.54
americas,1986,12.94
americas,1987,13.83
americas,1988,13.14
americas,1989,14.12
americas,1990,13.99
americas,1991,13.01
americas,1992,13.22
americas,1993,13.86
americas,1994,13.79
americas,1995,13.9
americas,1996,13.88
americas,1997,13.84
americas,1998,13.64
americas,1999,13.39
americas,2000,13.51
americas,2001,13.64
americas,2002,13.79
americas,2003,14.28
americas,2004,14.63
americas,2005,14.04
americas,2006,14.66
americas,2007,14.3
americas,2008,14.05
americas,2009,13.99
americas,2010,14.02
americas,2011,14.14
americas,2012,14.16
americas,2013,14.19
americas,2014,14.78
americas,2015,14.63
americas,2016,14.7
americas,2017,14.77
americas,2018,14.65
asia,1961,7.97
asia,1962,8.06
asia,1963,8.21
asia,1964,8.09
asia,1965,8.51
asia,1966,8.63
asia,1967,8.79
asia,1968,9.19
asia,1969,9.03
asia,1970,9.01
asia,1971,9.42
asia,1972,9.62
asia,1973,9.76
asia,1974,10.12
asia,1975,10.06
asia,1976,10.19
asia,1977,10.09
asia,1978,9.95
asia,1979,9.6
asia,1980,9.68
asia,1981,9.81
asia,1982,9.98
asia,1983,10.24
asia,1984,10.65
asia,1985,10.93
asia,1986,11.4
asia,1987,11.93
asia,1988,12.21
asia,1989,12.53
asia,1990,12.55
asia,1991,12.49
asia,1992,12.92
asia,1993,13.86
asia,1994,15.09
asia,1995,16.29
asia,1996,16.83
asia,1997,16.8
asia,1998,16.8
asia,1999,17.33
asia,2000,17.63
asia,2001,17.77
asia,2002,18.04
asia,2003,18.17
asia,2004,18.59
asia,2005,18.86
asia,2006,19.21
asia,2007,19.79
asia,2008,20.36
asia,2009,20.91
asia,2010,21.37
asia,2011,21.5
asia,2012,22.01
asia,2013,21.66
asia,2014,22.95
asia,2015,23.63
asia,2016,23.85
asia,2017,24.33
asia,2018,24.11
europe,1961,13.71
europe,1962,13.72
europe,1963,14.57
europe,1964,14.96
europe,1965,15.54
europe,1966,15.14
europe,1967,15.67
europe,1968,16.13
europe,1969,15.64
europe,1970,16.29
europe,1971,16
europe,1972,15.93
europe,1973,15.87
europe,1974,16.11
europe,1975,15.94
europe,1976,15.99
europe,1977,15.43
europe,1978,15.4
europe,1979,15.2
europe,1980,15.79
europe,1981,16.11
europe,1982,16.32
europe,1983,16.95
europe,1984,16.95
europe,1985,17.92
europe,1986,18.06
europe,1987,18.5
europe,1988,18.84
europe,1989,18.57
europe,1990,18.61
europe,1991,18.27
europe,1992,17.23
europe,1993,15.96
europe,1994,15.88
europe,1995,17.5
europe,1996,18.22
europe,1997,18.47
europe,1998,19.32
europe,1999,18.13
europe,2000,18.14
europe,2001,18.93
europe,2002,18.37
europe,2003,18.55
europe,2004,18.63
europe,2005,19.47
europe,2006,19.91
europe,2007,20.77
europe,2008,20.77
europe,2009,20.48
europe,2010,20.2
europe,2011,20.16
europe,2012,20.07
europe,2013,20.13
europe,2014,20.01
europe,2015,19.38
europe,2016,19.56
europe,2017,19.52
europe,2018,19.43
