world_4region,time,ihme_cardio_death
africa,1990,11.43306
africa,1991,11.47109
africa,1992,11.54315
africa,1993,11.56224
africa,1994,10.89863
africa,1995,11.49178
africa,1996,11.43302
africa,1997,11.48232
africa,1998,11.48529
africa,1999,11.43978
africa,2000,11.40108
africa,2001,11.52624
africa,2002,11.64728
africa,2003,11.78785
africa,2004,11.91398
africa,2005,12.09348
africa,2006,12.38646
africa,2007,12.68969
africa,2008,13.08902
africa,2009,13.48796
africa,2010,13.87002
africa,2011,14.26471
africa,2012,14.79848
africa,2013,15.23452
africa,2014,15.61727
africa,2015,16.20665
africa,2016,16.62408
africa,2017,17.04486
africa,2018,17.54366
africa,2019,17.96545
americas,1990,32.49753
americas,1991,32.26574
americas,1992,32.23878
americas,1993,32.2681
americas,1994,32.13956
americas,1995,32.08592
americas,1996,32.078
americas,1997,32.0033
americas,1998,31.78289
americas,1999,31.66631
americas,2000,31.56922
americas,2001,31.2978
americas,2002,31.06473
americas,2003,30.82628
americas,2004,30.44516
americas,2005,30.1827
americas,2006,29.91773
americas,2007,29.648
americas,2008,29.41638
americas,2009,29.17477
americas,2010,28.03579
americas,2011,28.97919
americas,2012,28.89419
americas,2013,28.84378
americas,2014,28.84408
americas,2015,28.89592
americas,2016,28.95359
americas,2017,29.00302
americas,2018,29.17915
americas,2019,29.34081
asia,1990,21.9478
asia,1991,22.12015
asia,1992,22.55944
asia,1993,22.95988
asia,1994,23.31947
asia,1995,23.55301
asia,1996,24.04861
asia,1997,24.47271
asia,1998,24.82251
asia,1999,25.28102
asia,2000,25.89944
asia,2001,26.50714
asia,2002,27.17669
asia,2003,27.74665
asia,2004,27.94732
asia,2005,28.52776
asia,2006,28.94627
asia,2007,29.39796
asia,2008,29.70179
asia,2009,30.56651
asia,2010,31.1832
asia,2011,31.68926
asia,2012,32.10494
asia,2013,32.5233
asia,2014,32.87623
asia,2015,33.22625
asia,2016,33.66603
asia,2017,33.99949
asia,2018,34.2837
asia,2019,34.59651
europe,1990,48.29346
europe,1991,48.21525
europe,1992,48.08579
europe,1993,48.30695
europe,1994,48.35584
europe,1995,48.22004
europe,1996,48.28399
europe,1997,48.32375
europe,1998,48.19826
europe,1999,48.01909
europe,2000,48.04759
europe,2001,48.01306
europe,2002,48.05506
europe,2003,47.92173
europe,2004,47.55953
europe,2005,47.46828
europe,2006,47.06209
europe,2007,46.72091
europe,2008,46.46937
europe,2009,46.09417
europe,2010,45.87962
europe,2011,45.40639
europe,2012,45.07338
europe,2013,44.76697
europe,2014,44.44922
europe,2015,44.4247
europe,2016,44.26043
europe,2017,44.22033
europe,2018,44.36691
europe,2019,44.4435
