global,time,percit_more_10m
world,1950,0.93
world,1955,0.97
world,1960,1.37
world,1965,1.45
world,1970,1.48
world,1975,1.7
world,1980,1.94
world,1985,2.73
world,1990,2.88
world,1995,3.61
world,2000,3.99
world,2005,4.7
world,2010,5.56
world,2015,6.27
world,2020,7.14
world,2025,7.77
world,2030,8.8
world,2035,9.7
