country,time,emigrant_n
cyp,2005,153973
cyp,2010,163471
cyp,2015,166585
cyp,2020,173210
cze,1990,564746
cze,1995,620286
cze,2000,723333
cze,2005,752058
cze,2010,779438
cze,2015,819776
cze,2020,1026108
deu,1990,2929448
deu,1995,3045354
deu,2000,3235247
deu,2005,3442933
deu,2010,3696638
deu,2015,3630278
deu,2020,3855268
dji,1990,5308
dji,1995,6964
dji,2000,9055
dji,2005,11987
dji,2010,13797
dji,2015,16969
dji,2020,18365
dma,1990,40563
dma,1995,44210
dma,2000,48275
dma,2005,64037
dma,2010,73583
dma,2015,72585
dma,2020,78191
dnk,1990,201514
dnk,1995,207707
dnk,2000,217761
dnk,2005,224462
dnk,2010,233531
dnk,2015,236832
dnk,2020,257025
dom,1990,458021
dom,1995,667015
dom,2000,889451
dom,2005,1014070
dom,2010,1184417
dom,2015,1454602
dom,2020,1608567
dza,1990,921665
dza,1995,979641
dza,2000,1037985
dza,2005,1599647
dza,2010,1655264
dza,2015,1836502
dza,2020,2022337
ecu,1990,214008
ecu,1995,326230
ecu,2000,446380
ecu,2005,986599
ecu,2010,1152897
ecu,2015,1130774
ecu,2020,1127891
egy,1990,1321915
egy,1995,1492004
egy,2000,1708296
egy,2005,1807941
egy,2010,2586643
egy,2015,3151069
egy,2020,3610461
eri,1990,170603
eri,1995,375257
eri,2000,511506
eri,2005,299311
eri,2010,328366
eri,2015,624757
eri,2020,802822
esp,1990,1439004
esp,1995,1362409
esp,2000,1290614
esp,2005,1114465
esp,2010,1087071
esp,2015,1269283
esp,2020,1489823
est,1990,113860
est,1995,129586
est,2000,141821
est,2005,150101
est,2010,153633
est,2015,189109
est,2020,206631
eth,1990,1689941
eth,1995,816420
eth,2000,445886
eth,2005,524038
eth,2010,680290
eth,2015,842496
eth,2020,946129
fin,1990,250610
fin,1995,288655
fin,2000,315861
fin,2005,300562
fin,2010,291883
fin,2015,282223
fin,2020,311889
fji,1990,90161
fji,1995,106488
fji,2000,131908
fji,2005,157045
fji,2010,183607
fji,2015,208568
fji,2020,233856
fra,1990,1215837
fra,1995,1353297
fra,2000,1555391
fra,2005,1725216
fra,2010,1956818
fra,2015,2119266
fra,2020,2341908
fsm,1990,7713
fsm,1995,12138
fsm,2000,16914
fsm,2005,18346
fsm,2010,19404
fsm,2015,20633
fsm,2020,24945
gab,1990,15347
gab,1995,16610
gab,2000,18041
gab,2005,41357
gab,2010,36933
gab,2015,43075
gab,2020,48392
gbr,1990,3789316
gbr,1995,3708650
gbr,2000,3860006
gbr,2005,4145206
gbr,2010,4432928
gbr,2015,4379366
gbr,2020,4732510
geo,1990,919438
geo,1995,953280
geo,2000,967022
geo,2005,885523
geo,2010,805539
geo,2015,828931
geo,2020,861077
gha,1990,371157
gha,1995,428051
gha,2000,495887
gha,2005,665731
gha,2010,762002
gha,2015,892253
gha,2020,1004324
gin,1990,352763
gin,1995,365862
gin,2000,377019
gin,2005,404677
gin,2010,455866
gin,2015,493411
gin,2020,550790
gmb,1990,36280
gmb,1995,38384
gmb,2000,45427
gmb,2005,61209
gmb,2010,77440
gmb,2015,96963
gmb,2020,139210
gnb,1990,55406
gnb,1995,67149
gnb,2000,77664
gnb,2005,82846
gnb,2010,91546
gnb,2015,98151
gnb,2020,111790
gnq,1990,36175
gnq,1995,46412
gnq,2000,59930
gnq,2005,71789
gnq,2010,84390
gnq,2015,116947
gnq,2020,128774
grc,1990,1022125
grc,1995,1004201
grc,2000,982685
grc,2005,867619
grc,2010,789457
grc,2015,820119
grc,2020,1088507
grd,1990,43237
grd,1995,54075
grd,2000,63791
