country,time,actual_progress
afg,2021,88.5
ago,2021,56
alb,2021,98.8
and,2021,99.5
are,2021,99.33333
arg,2021,97.66667
arm,2021,96.66667
atg,2021,99.4
aus,2021,97.33333
aut,2021,94.33333
aze,2021,96.90909
bdi,2021,66.33333
bel,2021,99
ben,2021,76
bfa,2021,63.66667
bgd,2021,91
bgr,2021,94
bhr,2021,99
bhs,2021,86.66667
bih,2021,97.5
blr,2021,97.66667
blz,2021,99
bol,2021,89.66667
bra,2021,96.7
brb,2021,96.90909
brn,2021,98.33333
btn,2021,95.66667
bwa,2021,79.14286
caf,2021,53
can,2021,97
che,2021,98.66667
chl,2021,97.9
chn,2021,99.28571
civ,2021,84.66667
cmr,2021,78.66667
cod,2021,54
cog,2021,73.85714
col,2021,97.9
com,2021,85.6
cpv,2021,95.2
cri,2021,98.33333
cub,2021,99.1
cyp,2021,98
cze,2021,95.33333
deu,2021,95.66667
dji,2021,73.41667
dma,2021,99.1
dnk,2021,98.66667
dom,2021,97.66667
dza,2021,99.69231
ecu,2021,94.66667
egy,2021,98.2
eri,2021,67
esp,2021,98.33333
est,2021,95.33333
eth,2021,69.69231
fin,2021,98.33333
fji,2021,99.33333
fra,2021,98.33333
fsm,2021,83.66667
gab,2021,92.625
gbr,2021,97.66667
geo,2021,99.33333
gha,2021,87.90909
gin,2021,65
gmb,2021,77.33333
gnb,2021,57.5
gnq,2021,65.33333
grc,2021,99
grd,2021,95.9
gtm,2021,91.45455
guy,2021,95.25
hnd,2021,86.66667
hrv,2021,98.66667
hti,2021,59.5
hun,2021,98.8
idn,2021,94.8
ind,2021,96.125
irl,2021,98
irn,2021,99.7
irq,2021,99
isl,2021,98.33333
isr,2021,98.33333
ita,2021,97.625
jam,2021,90.85714
jor,2021,92.33333
jpn,2021,99.5
kaz,2021,99.33333
ken,2021,87.14286
kgz,2021,99
khm,2021,93.90909
kir,2021,98.33333
kna,2021,98.33333
kor,2021,98.6
kwt,2021,96.1
lao,2021,89.33333
lbn,2021,92.5
lbr,2021,52
lby,2021,70.5
lca,2021,98
lie,2021,99.5
lka,2021,99.42857
lso,2021,79.3
ltu,2021,99
lux,2021,99
lva,2021,98.66667
mar,2021,99.3
mco,2021,99.5
mda,2021,95.66667
mdg,2021,67.66667
mdv,2021,98
mex,2021,95.5
mhl,2021,87.6
mkd,2021,96.66667
mli,2021,64.33333
mlt,2021,99.33333
mmr,2021,85
mne,2021,96.66667
mng,2021,98.54545
moz,2021,73
mrt,2021,72.5
mus,2021,97
mwi,2021,59.85714
mys,2021,99.7
nam,2021,82
ner,2021,55
nga,2021,63.71429
nic,2021,93.5
nld,2021,97.66667
nor,2021,99
npl,2021,95.33333
nru,2021,97.66667
nzl,2021,97
omn,2021,97.7
pak,2021,74
pan,2021,95.8
per,2021,95.09091
phl,2021,88.33333
plw,2021,97.66667
png,2021,63.7
pol,2021,97.33333
prk,2021,73
prt,2021,99
pry,2021,93.57143
pse,2021,98.28571
qat,2021,99
rou,2021,94
rus,2021,98.8
rwa,2021,82.78571
sau,2021,97.1
sdn,2021,72
sen,2021,80.66667
sgp,2021,99.33333
slb,2021,76
sle,2021,75.9
slv,2021,88.69231
smr,2021,95
som,2021,41
srb,2021,98.8
ssd,2021,38.33333
stp,2021,86.66667
sur,2021,87.54545
svk,2021,93.66667
svn,2021,97.66667
swe,2021,99
swz,2021,86
syc,2021,97.33333
syr,2021,80.66667
tcd,2021,53.33333
tgo,2021,82.7
tha,2021,98.75
tjk,2021,98.7
tkm,2021,99.5
tls,2021,91.72727
ton,2021,99
tto,2021,99.5
tun,2021,98
tur,2021,98
tuv,2021,95.66667
tza,2021,69.66667
uga,2021,77.33333
ukr,2021,95.5
ury,2021,99.66667
usa,2021,97
uzb,2021,98.66667
vct,2021,99
ven,2021,94.33333
vnm,2021,98.66667
vut,2021,83.66667
wsm,2021,95.8
yem,2021,71.9
zaf,2021,89
zmb,2021,73.33333
zwe,2021,77
