global,time,percit_5_10m
world,1950,1.27
world,1955,2.06
world,1960,1.96
world,1965,2.58
world,1970,2.9
world,1975,2.65
world,1980,3.13
world,1985,2.64
world,1990,2.93
world,1995,2.83
world,2000,3.48
world,2005,3.79
world,2010,3.87
world,2015,4.2
world,2020,4.47
world,2025,4.94
world,2030,5.24
world,2035,5.54
